Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.106-10.42.0.211-443-46221-6,10.42.0.211,46221,172.217.3.106,443,6,13/06/2017 10:52:50,37113,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.88947269150972,37113.0,0.0,37113.0,37113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.94473634575486,26.94473634575486,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
208.80.154.224-10.42.0.211-80-44891-6,10.42.0.211,44891,208.80.154.224,80,6,13/06/2017 10:52:52,5060137,4,4,372.0,495.0,372.0,0.0,93.0,186.0,495.0,0.0,123.75,247.5,171.33923449108195,1.5809848626628094,722876.7142857142,1881781.770870869,4990263.0,120.0,69874.0,23291.333333333332,20425.26615085672,38686.0,120.0,5031440.0,1677146.6666666667,2877884.151804991,5000193.0,148.0,0,0,0,0,136,136,0.7904924313314047,0.7904924313314047,0.0,495.0,96.33333333333333,193.6130160913775,37486.0,0,0,0,1,0,0,0,0,1.0,108.375,93.0,123.75,136,0,0,0,0,0,0,4,372,4,495,65535,59,1,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
208.80.154.224-10.42.0.211-80-44891-6,10.42.0.211,44891,208.80.154.224,80,6,13/06/2017 10:52:58,4937178,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4050897091415379,4937178.0,0.0,4937178.0,4937178.0,4937178.0,4937178.0,0.0,4937178.0,4937178.0,0,0,0,0,0,0,0,0,0,64,0,0.4050897091415379,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
208.80.154.224-10.42.0.211-443-47090-6,10.42.0.211,47090,208.80.154.224,443,6,13/06/2017 10:52:53,10619483,6,4,298.0,160.0,247.0,0.0,49.66666666666667,98.80215922067019,160.0,0.0,40.0,80.0,43.12827658370939,0.9416654275919082,1179942.5555555555,3488185.248659004,1.0481569E7,348.0,1.0619483E7,2123896.6,4711174.700588942,1.055145E7,348.0,109135.0,36378.33333333333,36722.457384185676,73763.0,356.0,0,0,0,0,200,136,0.5649992565551449,0.37666617103676325,0.0,247.0,41.63636363636363,83.74995251016293,7014.054545454545,0,0,0,1,0,0,0,0,0.0,45.8,49.666666666666664,40.0,200,0,0,0,0,0,0,6,298,4,160,65535,59,2,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
208.80.154.224-10.42.0.211-443-47091-6,10.42.0.211,47091,208.80.154.224,443,6,13/06/2017 10:52:53,10617184,6,4,298.0,160.0,247.0,0.0,49.66666666666667,98.80215922067019,160.0,0.0,40.0,80.0,43.13761539783054,0.941869331830361,1179687.111111111,3487113.0761173144,1.0478433E7,44.0,1.0617184E7,2123436.8,4711538.46982795,1.0551647E7,348.0,109739.0,36579.66666666667,39137.90316730488,77883.0,44.0,0,0,0,0,200,136,0.5651215990982166,0.3767477327321444,0.0,247.0,41.63636363636363,83.74995251016293,7014.054545454545,0,0,0,1,0,0,0,0,0.0,45.8,49.666666666666664,40.0,200,0,0,0,0,0,0,6,298,4,160,65535,59,2,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-50187-6,10.42.0.211,50187,172.217.3.110,443,6,13/06/2017 10:53:23,36882,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.6104332736837,54.226994197711626,36882.0,0.0,36882.0,36882.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.113497098855813,27.113497098855813,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-55156-6,10.42.0.211,55156,172.217.3.110,443,6,13/06/2017 10:53:23,36516,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.77051155657794,36516.0,0.0,36516.0,36516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.38525577828897,27.38525577828897,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1818,371,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.106-10.42.0.211-443-38823-6,10.42.0.211,38823,172.217.3.106,443,6,13/06/2017 10:53:24,37141,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,834.6571174712582,80.7732694327024,18570.5,25921.827491517644,36900.0,241.0,0,0,0,0,0,241.0,241.0,0.0,241.0,241.0,1,0,0,0,32,64,26.924423144234133,53.848846288468266,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2154,426,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.106-10.42.0.211-443-54739-6,10.42.0.211,54739,172.217.3.106,443,6,13/06/2017 10:53:25,36942,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.13892046992583,36942.0,0.0,36942.0,36942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.069460234962914,27.069460234962914,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-41324-6,10.42.0.211,41324,172.217.3.110,443,6,13/06/2017 10:53:26,36861,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.9657090149481,54.25788774043027,36861.0,0.0,36861.0,36861.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.128943870215135,27.128943870215135,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
172.217.3.110-10.42.0.211-443-47269-6,10.42.0.211,47269,172.217.3.110,443,6,13/06/2017 10:53:30,36552,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.2405340337053,54.71656817684395,36552.0,0.0,36552.0,36552.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.358284088421975,27.358284088421975,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1638,362,0,32,0,0,0,0,0,0,0,0,ADWARE_KEMOGE
