Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
151.101.21.140-10.42.0.211-80-48852-6,10.42.0.211,48852,151.101.21.140,80,6,14/06/2017 10:51:52,52024,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,13935.875749654006,134.55328310010765,8670.666666666666,11806.004517476124,23851.0,15.0,28115.0,14057.5,19276.437961926473,27688.0,427.0,28290.0,9430.0,16283.01566049729,28232.0,15.0,0,0,0,0,104,136,57.66569275718899,76.88759034291866,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
151.101.21.140-10.42.0.211-80-48852-6,10.42.0.211,48852,151.101.21.140,80,6,14/06/2017 10:51:53,8051,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,248.41634579555333,8051.0,0.0,8051.0,8051.0,8051.0,8051.0,0.0,8051.0,8051.0,0,0,0,0,0,0,0,0,0,64,0,248.41634579555333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-120.55.139.130-41979-8787-6,10.42.0.211,41979,120.55.139.130,8787,6,14/06/2017 10:51:55,3011648,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.664088233419045,3011648.0,0.0,3011648.0,3011648.0,3011648.0,3011648.0,0.0,3011648.0,3011648.0,0,0,0,0,0,0,0,0,0,40,0,0.664088233419045,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-120.55.139.130-36143-8787-6,10.42.0.211,36143,120.55.139.130,8787,6,14/06/2017 10:51:55,4447936,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4496467575073022,4447936.0,0.0,4447936.0,4447936.0,4447936.0,4447936.0,0.0,4447936.0,4447936.0,0,0,0,0,0,0,0,0,0,40,0,0.4496467575073022,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-74.217.63.11-34343-443-6,10.42.0.211,34343,74.217.63.11,443,6,14/06/2017 10:52:06,220015,9,10,706.0,8592.0,361.0,0.0,78.44444444444444,131.70811583868996,1460.0,0.0,859.2,682.9362748862851,42260.75494852624,86.35774833534077,12223.055555555557,15754.59036924205,44071.0,6.0,188037.0,23504.625,25891.199155242473,75252.0,81.0,189222.0,21024.666666666668,33433.00905916187,86947.0,6.0,0,0,0,0,200,212,40.906301843056156,45.45144649228462,0.0,1460.0,464.90000000000003,626.2411591980235,392177.9894736842,0,0,0,1,0,0,0,0,1.0,489.36842105263156,78.44444444444444,859.2,200,0,0,0,0,0,0,9,706,10,8592,65535,131,3,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-74.217.63.11-34343-443-6,10.42.0.211,34343,74.217.63.11,443,6,14/06/2017 10:52:06,2578,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1163.6927851047324,1289.0,650.5382386916237,1749.0,829.0,2578.0,1289.0,650.5382386916237,1749.0,829.0,0,0,0,0,0,0,0,0,0,60,0,1163.6927851047324,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,1597,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-74.217.63.11-34345-443-6,10.42.0.211,34345,74.217.63.11,443,6,14/06/2017 10:52:07,184818,8,7,974.0,3637.0,630.0,0.0,121.75,220.94456318271335,1460.0,0.0,519.5714285714286,654.2180719869223,24948.868616693177,81.16092588384248,13201.285714285714,14233.30653204535,34420.0,6.0,153975.0,21996.428571428572,21742.69973927757,58527.0,517.0,154615.0,25769.166666666668,28770.1961788005,57985.0,6.0,0,0,0,0,180,152,43.28582713804932,37.87509874579316,0.0,1460.0,288.18750000000006,489.1595811525451,239277.09583333335,0,0,0,1,0,0,0,0,0.0,307.4,121.75,519.5714285714286,180,0,0,0,0,0,0,8,974,7,3637,65535,133,3,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
172.217.11.14-10.42.0.211-443-36747-6,10.42.0.211,36747,172.217.11.14,443,6,14/06/2017 10:52:10,85,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,270588.23529411765,23529.41176470588,85.0,0.0,85.0,85.0,85.0,85.0,0.0,85.0,85.0,0,0,0,0,0,1,0,0,0,64,0,23529.41176470588,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
172.217.3.106-10.42.0.211-443-35463-6,10.42.0.211,35463,172.217.3.106,443,6,14/06/2017 10:52:12,37106,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,835.4444025225031,53.89963887241955,37106.0,0.0,37106.0,37106.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.949819436209776,26.949819436209776,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1548,391,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-120.55.139.130-41979-8787-6,10.42.0.211,41979,120.55.139.130,8787,6,14/06/2017 10:52:04,12029826,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.1662534437322701,1.2029826E7,0.0,1.2029826E7,1.2029826E7,1.2029826E7,1.2029826E7,0.0,1.2029826E7,1.2029826E7,0,0,0,0,0,0,0,0,0,40,0,0.1662534437322701,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-120.55.139.130-36143-8787-6,10.42.0.211,36143,120.55.139.130,8787,6,14/06/2017 10:52:09,17732148,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.11278949397444687,1.7732148E7,0.0,1.7732148E7,1.7732148E7,1.7732148E7,1.7732148E7,0.0,1.7732148E7,1.7732148E7,0,0,0,0,0,0,0,0,0,40,0,0.11278949397444687,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-31.13.71.3-43823-443-6,10.42.0.211,43823,31.13.71.3,443,6,14/06/2017 10:53:01,35881,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,863.9670020345029,83.60970987430673,17940.5,25308.058805447723,35836.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,32,64,27.869903291435577,55.739806582871154,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-31.13.71.1-40388-443-6,10.42.0.211,40388,31.13.71.1,443,6,14/06/2017 10:53:01,420617,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.754919558648367,420617.0,0.0,420617.0,420617.0,420617.0,420617.0,0.0,420617.0,420617.0,0,0,0,0,0,0,0,0,0,64,0,4.754919558648367,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-119.146.74.34-36458-80-6,10.42.0.211,36458,119.146.74.34,80,6,14/06/2017 10:53:02,776336,13,29,346.0,32779.0,346.0,0.0,26.615384615384617,95.96313394696463,1340.0,0.0,1130.3103448275858,472.3398521833523,42668.380701139715,54.100286473897896,18935.024390243896,60506.32545341346,253948.0,6.0,529178.0,44098.166666666664,85929.70588889219,257856.0,11.0,522388.0,18656.71428571429,59377.79864678015,259751.0,6.0,0,0,0,0,292,604,16.7453267657303,37.3549597081676,0.0,1340.0,770.3488372093026,652.8197404418162,426173.6135105203,0,0,0,1,0,0,0,0,2.0,788.6904761904761,26.615384615384617,1130.3103448275863,292,0,0,0,0,0,0,13,346,29,32779,65535,4380,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-119.146.74.34-36458-80-6,10.42.0.211,36458,119.146.74.34,80,6,14/06/2017 10:53:03,116,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17241.379310344826,116.0,0.0,116.0,116.0,116.0,116.0,0.0,116.0,116.0,0,0,0,0,0,0,0,0,0,40,0,17241.379310344826,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,2491,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-52.40.87.241-34385-443-6,10.42.0.211,34385,52.40.87.241,443,6,14/06/2017 10:52:02,62205519,11,8,1551.0,3365.0,1209.0,0.0,141.00000000000003,361.32007970772946,1448.0,0.0,420.625,642.654747901235,79.0283575963734,0.3054391363570168,3455862.1666666665,1.4270516807141405E7,6.062753E7,22.0,6.2205519E7,6220551.9,1.912179071758667E7,6.0633653E7,104.0,6.099429E7,8713470.0,2.2910599060432058E7,6.0669678E7,22.0,0,0,0,0,360,264,0.17683318420669394,0.12860595215032286,0.0,1448.0,245.8,493.2331145241141,243278.90526315785,0,0,0,1,0,0,0,0,0.0,258.7368421052632,141.0,420.625,360,0,0,0,0,0,0,11,1551,8,3365,65535,119,3,32,452351.0,0.0,452351.0,452351.0,6.062753E7,0.0,6.062753E7,6.062753E7,ADWARE_KOODOUS
10.42.0.211-52.40.87.241-34386-443-6,10.42.0.211,34386,52.40.87.241,443,6,14/06/2017 10:52:02,62184117,9,8,1577.0,3365.0,1235.0,0.0,175.22222222222223,404.8813955276834,1448.0,0.0,420.625,642.654747901235,79.47367010132186,0.27338170613566803,3886507.3125,1.513320827861407E7,6.0626754E7,6.0,6.2184117E7,7773014.625,2.136198674232054E7,6.0633355E7,69.0,6.0973736E7,8710533.714285715,2.2910029018342372E7,6.0665463E7,6.0,0,0,0,0,296,264,0.14473149148358896,0.12865021465207907,0.0,1448.0,274.5555555555556,516.626070511377,266902.4967320262,0,0,0,1,0,0,0,0,0.0,290.70588235294116,175.22222222222223,420.625,296,0,0,0,0,0,0,9,1577,8,3365,65535,128,3,32,430834.0,0.0,430834.0,430834.0,6.0626754E7,0.0,6.0626754E7,6.0626754E7,ADWARE_KOODOUS
10.42.0.211-52.22.102.34-56223-443-6,10.42.0.211,56223,52.22.102.34,443,6,14/06/2017 10:52:02,62145367,10,8,934.0,3418.0,589.0,0.0,93.4,189.59676509195336,1448.0,0.0,427.25,640.731445860343,70.02935552701781,0.2896434741466729,3655609.823529412,1.4599841410176612E7,6.0293081E7,13.0,6.2145367E7,6905040.777777778,2.002767716196388E7,6.0295621E7,274.0,6.054412E7,8649160.0,2.279011745295627E7,6.0332226E7,13.0,0,0,0,0,328,264,0.16091304119259606,0.12873043295407685,0.0,1448.0,229.05263157894743,456.31488563688254,208223.2748538012,0,0,0,1,0,0,0,0,0.0,241.77777777777777,93.4,427.25,328,0,0,0,0,0,0,10,934,8,3418,65535,79,3,32,301774.0,0.0,301774.0,301774.0,6.0293081E7,0.0,6.0293081E7,6.0293081E7,ADWARE_KOODOUS
10.42.0.211-31.13.71.1-40388-443-6,10.42.0.211,40388,31.13.71.1,443,6,14/06/2017 10:53:02,1709420,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.169987481133952,1709420.0,0.0,1709420.0,1709420.0,1709420.0,1709420.0,0.0,1709420.0,1709420.0,0,0,0,0,0,0,0,0,0,64,0,1.169987481133952,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
175.100.207.232-10.42.0.211-80-42914-6,10.42.0.211,42914,175.100.207.232,80,6,14/06/2017 10:53:01,5511914,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7257007275512644,1837304.6666666667,2962468.445121793,5254961.0,2230.0,256953.0,256953.0,0.0,256953.0,256953.0,5257191.0,5257191.0,0.0,5257191.0,5257191.0,0,0,0,0,60,52,0.3628503637756322,0.3628503637756322,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
175.100.207.232-10.42.0.211-80-42916-6,10.42.0.211,42916,175.100.207.232,80,6,14/06/2017 10:53:01,5527329,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7236768428295113,1842443.0,2964131.1066774693,5261887.0,3782.0,265442.0,265442.0,0.0,265442.0,265442.0,5265669.0,5265669.0,0.0,5265669.0,5265669.0,0,0,0,0,60,52,0.36183842141475564,0.36183842141475564,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
175.100.207.232-10.42.0.211-80-42915-6,10.42.0.211,42915,175.100.207.232,80,6,14/06/2017 10:53:01,5776868,12,18,400.0,19036.0,400.0,0.0,33.333333333333336,115.47005383792516,1460.0,0.0,1057.5555555555557,667.7800115238923,3364.452848844737,5.193125409824146,199202.34482758623,876079.5398017432,4738077.0,18.0,1038791.0,94435.54545454544,136094.13644486203,419304.0,101.0,5529618.0,325271.64705882355,1141644.2360055158,4745141.0,18.0,0,0,0,0,260,372,2.0772501639296586,3.115875245894488,0.0,1460.0,626.967741935484,723.1112170738776,522889.8322580645,0,0,0,1,0,0,0,0,1.0,647.8666666666667,33.333333333333336,1057.5555555555557,260,0,0,0,0,0,0,12,400,18,19036,65535,30,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-61.135.162.162-44953-80-6,10.42.0.211,44953,61.135.162.162,80,6,14/06/2017 10:53:09,626132,3,4,1002.0,242.0,1002.0,0.0,334.0,578.504969728005,242.0,0.0,60.5,121.00000000000001,1986.8015051139375,11.179751234563957,104355.33333333333,159411.50594818013,316999.0,22.0,309059.0,154529.5,217890.0048751663,308601.0,458.0,323012.0,107670.66666666666,186426.97987505278,322938.0,22.0,0,0,0,0,80,100,4.7913219576702675,6.38842927689369,0.0,1002.0,155.5,352.3646650032565,124160.85714285716,0,0,0,1,0,0,0,0,1.0,177.71428571428572,334.0,60.5,80,0,0,0,0,0,0,3,1002,4,242,65535,520,1,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
10.42.0.211-61.135.162.162-44953-80-6,10.42.0.211,44953,61.135.162.162,80,6,14/06/2017 10:53:09,130,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,15384.615384615387,130.0,0.0,130.0,130.0,130.0,130.0,0.0,130.0,130.0,0,0,0,0,0,0,0,0,0,40,0,15384.615384615387,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
205.185.216.42-10.42.0.211-443-57637-6,10.42.0.211,57637,205.185.216.42,443,6,14/06/2017 10:53:08,1331367,23,43,1627.0,51999.0,664.0,0.0,70.73913043478261,187.86170382184298,1448.0,0.0,1209.2790697674416,435.441064055494,40278.90130970649,49.5731079409359,20482.56923076923,142392.01506711688,1149285.0,5.0,1331367.0,60516.681818181816,243639.99470674648,1149285.0,10.0,145667.0,3468.2619047619055,12816.53361122974,69158.0,5.0,0,0,0,0,744,1384,17.275477009720085,32.297630931215814,0.0,1448.0,800.3880597014925,660.74778471576,436587.6350067843,0,0,0,1,0,0,0,0,1.0,812.5151515151515,70.73913043478261,1209.2790697674418,744,0,0,0,0,0,0,23,1627,43,51999,65535,30,4,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
205.185.216.42-10.42.0.211-443-57637-6,205.185.216.42,443,10.42.0.211,57637,6,14/06/2017 10:53:09,8321,5,2,806.0,0.0,400.0,0.0,161.2,207.1586348670989,0.0,0.0,0.0,0.0,96863.35776949885,841.2450426631415,1386.8333333333333,1808.9950156555617,4284.0,54.0,8321.0,2080.25,3582.383505898459,7431.0,54.0,158.0,158.0,0.0,158.0,158.0,0,0,0,0,160,40,600.8893161879581,240.35572647518327,0.0,400.0,100.75,177.43469623659132,31483.07142857143,0,0,0,0,1,0,0,0,0.0,115.14285714285714,161.2,0.0,160,0,0,0,0,0,0,5,806,2,0,29,0,3,32,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
175.100.207.232-10.42.0.211-443-51015-6,10.42.0.211,51015,175.100.207.232,443,6,14/06/2017 10:53:05,5504226,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7267143463949336,1834742.0,2959596.85866099,5249308.0,5936.0,254918.0,254918.0,0.0,254918.0,254918.0,5255244.0,5255244.0,0.0,5255244.0,5255244.0,0,0,0,0,60,52,0.3633571731974668,0.3633571731974668,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
175.100.207.232-10.42.0.211-80-42914-6,10.42.0.211,42914,175.100.207.232,80,6,14/06/2017 10:53:07,3399804,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5882692061071756,3399804.0,0.0,3399804.0,3399804.0,3399804.0,3399804.0,0.0,3399804.0,3399804.0,0,0,0,0,0,0,0,0,0,40,0,0.5882692061071756,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1369,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_KOODOUS
