Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-31.13.71.3-58762-443-6,10.42.0.211,58762,31.13.71.3,443,6,14/06/2017 07:06:00,36714,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,844.364547584028,81.71269815329303,18357.0,25947.99044242155,36705.0,9.0,0,0,0,0,0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,32,64,27.237566051097676,54.47513210219535,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
10.42.0.211-31.13.71.1-38627-443-6,10.42.0.211,38627,31.13.71.1,443,6,14/06/2017 07:06:00,232589,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.598858931419802,232589.0,0.0,232589.0,232589.0,232589.0,232589.0,0.0,232589.0,232589.0,0,0,0,0,0,0,0,0,0,64,0,8.598858931419802,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
10.42.0.211-31.13.71.1-38627-443-6,10.42.0.211,38627,31.13.71.1,443,6,14/06/2017 07:06:00,956852,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.09018740620284,956852.0,0.0,956852.0,956852.0,956852.0,956852.0,0.0,956852.0,956852.0,0,0,0,0,0,0,0,0,0,64,0,2.09018740620284,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.2.170-10.42.0.211-443-46067-6,10.42.0.211,46067,172.217.2.170,443,6,14/06/2017 07:06:07,319,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,97178.68338557993,6269.592476489028,319.0,0.0,319.0,319.0,319.0,319.0,0.0,319.0,319.0,0,0,0,0,0,1,0,0,0,64,0,6269.592476489028,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.2.170-10.42.0.211-443-46067-6,172.217.2.170,443,10.42.0.211,46067,6,14/06/2017 07:06:07,7,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,285714.28571428574,7.0,0.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,0,0,0,0,0,64,0,285714.28571428574,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,383,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
10.42.0.211-31.13.71.1-38627-443-6,10.42.0.211,38627,31.13.71.1,443,6,14/06/2017 07:06:03,3851333,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5193007200364134,3851333.0,0.0,3851333.0,3851333.0,3851333.0,3851333.0,0.0,3851333.0,3851333.0,0,0,0,0,0,0,0,0,0,64,0,0.5193007200364134,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
10.42.0.211-31.13.71.1-38627-443-6,10.42.0.211,38627,31.13.71.1,443,6,14/06/2017 07:06:15,15405244,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12982592161474366,1.5405244E7,0.0,1.5405244E7,1.5405244E7,1.5405244E7,1.5405244E7,0.0,1.5405244E7,1.5405244E7,0,0,0,0,0,0,0,0,0,64,0,0.12982592161474366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
205.204.101.182-10.42.0.211-443-43544-6,10.42.0.211,43544,205.204.101.182,443,6,14/06/2017 07:06:27,5318244,7,9,739.0,3637.0,402.0,0.0,105.57142857142858,154.9105732811215,1452.0,0.0,404.1111111111111,610.0236561897507,822.8279860796158,3.0085118321009716,354549.6,1284039.8724034347,4994654.0,2.0,323582.0,53930.333333333336,45732.00674655187,100540.0,496.0,5231140.0,653892.5,1756907.2430207739,5000407.0,2.0,0,0,0,0,160,200,1.316223926544175,1.6922879055567965,0.0,1452.0,257.4117647058824,470.5283013304739,221396.8823529412,0,0,0,1,0,0,0,0,1.0,273.5,105.57142857142857,404.1111111111111,160,0,0,0,0,0,0,7,739,9,3637,65535,16616,3,20,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.2.161-10.42.0.211-443-46966-6,172.217.2.161,443,10.42.0.211,46966,6,14/06/2017 07:06:23,9835877,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3050058474704391,4917938.5,6780951.09193279,9712795.0,123082.0,0,0,0,0,0,9712795.0,9712795.0,0.0,9712795.0,9712795.0,0,0,0,0,32,64,0.10166861582347969,0.20333723164695938,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,350,1594,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
172.217.0.228-10.42.0.211-443-33004-6,172.217.0.228,443,10.42.0.211,33004,6,14/06/2017 07:06:23,9896080,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031503383157776,4948040.0,6739682.218862399,9713715.0,182365.0,0,0,0,0,0,9713715.0,9713715.0,0.0,9713715.0,9713715.0,0,0,0,0,32,64,0.10105011277192585,0.2021002255438517,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,349,1593,0,32,0,0,0,0,0,0,0,0,ADWARE_MOBIDASH
