Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.19.195-10.42.0.151-443-40986-6,10.42.0.151,40986,172.217.19.195,443,6,14/06/2017 08:21:01,118786,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.837000993383057,118786.0,0.0,118786.0,118786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.418500496691529,8.418500496691529,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1502,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-104.46.62.41-33590-443-6,10.42.0.151,33590,104.46.62.41,443,6,14/06/2017 08:21:00,1014732,11,8,3091.0,3931.0,1428.0,0.0,281.0,475.94243349379974,1448.0,0.0,491.375,627.0000996810129,6920.053767891423,18.724155737672607,56374.0,60626.41797686783,168368.0,6.0,713133.0,71313.3,71950.76746413327,172263.0,165.0,892933.0,127561.85714285714,91102.45318765858,213517.0,6.0,0,0,0,0,360,264,10.84030069023151,7.883855047441098,0.0,1448.0,351.1,530.7322548289197,281676.72631578945,0,0,0,1,0,0,0,0,0.0,369.57894736842104,281.0,491.375,360,0,0,0,0,0,0,11,3091,8,3931,65535,513,5,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-104.46.62.41-33590-443-6,10.42.0.151,33590,104.46.62.41,443,6,14/06/2017 08:21:01,15630,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,5438.259756877798,127.95905310300702,15630.0,0.0,15630.0,15630.0,15630.0,15630.0,0.0,15630.0,15630.0,0,0,0,0,0,1,0,0,0,64,0,127.95905310300702,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,64,0,0,0,0,0,0,2,85,0,0,1550,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
191.239.8.125-10.42.0.151-443-51222-6,10.42.0.151,51222,191.239.8.125,443,6,14/06/2017 08:20:59,2667547,12,7,1391.0,4224.0,885.0,0.0,115.91666666666667,255.45946425761542,1448.0,0.0,603.4285714285714,632.8685638010622,2104.9301099474537,7.122648635619167,148197.05555555553,302178.62824445846,1287052.0,10.0,2667547.0,242504.27272727274,366944.4234295136,1287052.0,235.0,1203145.0,200524.1666666667,231333.5967363294,487659.0,10.0,0,0,0,0,392,232,4.498514927759474,2.624133707859693,0.0,1448.0,280.75000000000006,473.2141915165179,223931.67105263163,0,0,0,1,0,0,0,0,0.0,295.5263157894737,115.91666666666667,603.4285714285714,392,0,0,0,0,0,0,12,1391,7,4224,65535,510,4,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
191.239.8.125-10.42.0.151-443-51222-6,191.239.8.125,443,10.42.0.151,51222,6,14/06/2017 08:21:02,1741,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1148.7650775416428,1741.0,0.0,1741.0,1741.0,1741.0,1741.0,0.0,1741.0,1741.0,0,0,0,0,0,0,0,0,0,64,0,1148.7650775416428,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,510,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.12.138-10.42.0.151-443-42330-6,10.42.0.151,42330,172.217.12.138,443,6,14/06/2017 08:21:00,2404466,7,4,2583.0,857.0,1368.0,0.0,369.0,537.167571619881,565.0,0.0,214.25,246.1522225507352,1430.6710928746757,4.574820355122509,240446.6,717088.3418767872,2279888.0,20.0,2404466.0,400744.3333333333,921202.7785421985,2279888.0,20.0,84986.0,28328.666666666664,48679.03238904131,84538.0,47.0,1,0,0,0,224,128,2.911249316896142,1.6635710382263669,0.0,1368.0,321.1666666666667,424.6309270913086,180311.42424242423,0,1,0,0,1,0,0,0,0.0,350.3636363636364,369.0,214.25,224,0,0,0,0,0,0,7,2583,4,857,1546,477,2,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-48978-6,10.42.0.151,48978,216.58.219.238,443,6,14/06/2017 08:21:03,36533,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.745025045848955,36533.0,0.0,36533.0,36533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.372512522924477,27.372512522924477,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,426,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-38621-6,10.42.0.151,38621,216.58.219.238,443,6,14/06/2017 08:21:03,36748,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.42473059758354,36748.0,0.0,36748.0,36748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.21236529879177,27.21236529879177,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1901,533,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.12.193-10.42.0.151-443-43748-6,10.42.0.151,43748,172.217.12.193,443,6,14/06/2017 08:21:03,37072,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.949072075960295,37072.0,0.0,37072.0,37072.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.974536037980148,26.974536037980148,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2255,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
216.58.219.238-10.42.0.151-443-33172-6,10.42.0.151,33172,216.58.219.238,443,6,14/06/2017 08:21:03,36547,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7240539579172,36547.0,0.0,36547.0,36547.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.3620269789586,27.3620269789586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,349,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
