Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-31.13.71.1-38833-443-6,31.13.71.1,443,10.42.0.151,38833,6,14/06/2017 04:26:15,13,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,3230769.230769231,153846.15384615384,13.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,0,1,0,0,0,64,0,153846.15384615384,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,159,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-31.13.71.1-38833-443-6,10.42.0.151,38833,31.13.71.1,443,6,14/06/2017 04:26:15,24906,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.30193527664017,24906.0,0.0,24906.0,24906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,40.15096763832008,40.15096763832008,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1390,159,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-31.13.71.1-38833-443-6,10.42.0.151,38833,31.13.71.1,443,6,14/06/2017 04:26:15,163,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,257668.7116564417,12269.938650306749,163.0,0.0,163.0,163.0,163.0,163.0,0.0,163.0,163.0,0,0,0,0,0,1,0,0,0,64,0,12269.938650306749,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1390,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.6.237-10.42.0.151-443-41420-6,10.42.0.151,41420,172.217.6.237,443,6,14/06/2017 04:26:15,277972,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.194969277481185,277972.0,0.0,277972.0,277972.0,277972.0,277972.0,0.0,277972.0,277972.0,0,0,0,0,0,0,0,0,0,64,0,7.194969277481185,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.6.237-10.42.0.151-443-41420-6,10.42.0.151,41420,172.217.6.237,443,6,14/06/2017 04:26:16,1123796,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.7796824334665722,1123796.0,0.0,1123796.0,1123796.0,1123796.0,1123796.0,0.0,1123796.0,1123796.0,0,0,0,0,0,0,0,0,0,64,0,1.7796824334665722,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
175.100.207.233-10.42.0.151-80-36229-6,10.42.0.151,36229,175.100.207.233,80,6,14/06/2017 04:26:17,5555847,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7199622307813732,1851949.0,2944520.1668664115,5250103.0,54836.0,305744.0,305744.0,0.0,305744.0,305744.0,5304939.0,5304939.0,0.0,5304939.0,5304939.0,0,0,0,0,60,52,0.3599811153906866,0.3599811153906866,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_SHUANET
175.100.207.233-10.42.0.151-80-36231-6,10.42.0.151,36231,175.100.207.233,80,6,14/06/2017 04:26:17,5508734,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261196492696871,1836244.6666666667,2960419.4618143784,5251688.0,5464.0,257046.0,257046.0,0.0,257046.0,257046.0,5257152.0,5257152.0,0.0,5257152.0,5257152.0,0,0,0,0,60,52,0.36305982463484354,0.36305982463484354,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_SHUANET
175.100.207.233-10.42.0.151-80-36230-6,10.42.0.151,36230,175.100.207.233,80,6,14/06/2017 04:26:17,6086284,6,5,824.0,1436.0,430.0,0.0,137.33333333333334,213.0602418722617,718.0,0.0,287.2,393.2647962887093,371.3267405858813,1.8073425426746434,608628.4,1534769.2481859862,4965975.0,266.0,1120309.0,224061.8,128536.60357734679,304544.0,350.0,5840401.0,1460100.25,2370392.6938193697,5000441.0,266.0,0,0,0,0,140,112,0.9858232050952601,0.8215193375793834,0.0,718.0,188.33333333333331,293.18791161156616,85959.15151515152,0,0,0,1,0,0,0,0,0.0,205.45454545454547,137.33333333333334,287.2,140,0,0,0,0,0,0,6,824,5,1436,65535,31,2,20,0,0,0,0,0,0,0,0,ADWARE_SHUANET
172.217.6.237-10.42.0.151-443-41420-6,10.42.0.151,41420,172.217.6.237,443,6,14/06/2017 04:26:20,4489204,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4455132803053726,4489204.0,0.0,4489204.0,4489204.0,4489204.0,4489204.0,0.0,4489204.0,4489204.0,0,0,0,0,0,0,0,0,0,64,0,0.4455132803053726,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_SHUANET
10.42.0.151-104.254.66.16-53753-80-6,10.42.0.151,53753,104.254.66.16,80,6,14/06/2017 04:26:16,10189236,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3925711407607008,3396412.0,5794806.563255844,1.0087541E7,13731.0,101695.0,101695.0,0.0,101695.0,101695.0,1.0101272E7,1.0101272E7,0.0,1.0101272E7,1.0101272E7,0,0,0,0,60,52,0.1962855703803504,0.1962855703803504,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,ADWARE_SHUANET
