Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.211-443-60828-6,10.42.0.211,60828,216.58.219.202,443,6,15/06/2017 10:34:36,37746,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,821.2790759285751,79.47862025115244,18873.0,26349.627094135507,37505.0,241.0,0,0,0,0,0,241.0,241.0,0.0,241.0,241.0,1,0,0,0,32,64,26.492873417050813,52.985746834101626,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2154,426,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
216.58.219.202-10.42.0.211-443-39253-6,10.42.0.211,39253,216.58.219.202,443,6,15/06/2017 10:34:30,33466585,16,18,2591.0,7891.0,680.0,0.0,161.9375,257.4147027010436,1418.0,0.0,438.3888888888889,446.08547570391363,313.20793561697434,1.0159387341134447,1014138.9393939395,5564213.3754187515,3.2007048E7,9.0,3.3466585E7,2231105.6666666665,8237799.406724509,3.2007048E7,1174.0,1378778.0,81104.58823529411,111078.0468291658,359675.0,9.0,0,0,0,0,520,584,0.47808881605338577,0.537849918060059,0.0,1418.0,299.48571428571427,387.9243688741228,150485.31596638652,0,0,0,1,0,0,0,0,1.0,308.29411764705884,161.9375,438.3888888888889,520,0,0,0,0,0,0,16,2591,18,7891,65535,377,6,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-50765-6,10.42.0.211,50765,172.217.10.142,443,6,15/06/2017 10:35:04,36384,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,632.145998240985,54.96921723834652,36384.0,0.0,36384.0,36384.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.48460861917326,27.48460861917326,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1520,426,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-58733-6,10.42.0.211,58733,172.217.10.142,443,6,15/06/2017 10:35:05,36397,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,631.920213204385,54.949583756903046,36397.0,0.0,36397.0,36397.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.474791878451523,27.474791878451523,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-59307-6,10.42.0.211,59307,172.217.10.142,443,6,15/06/2017 10:35:06,120,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,191666.66666666666,16666.666666666668,120.0,0.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0,0,0,0,0,1,0,0,0,64,0,16666.666666666668,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-59307-6,172.217.10.142,443,10.42.0.211,59307,6,15/06/2017 10:35:06,261,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7662.835249042146,261.0,0.0,261.0,261.0,261.0,261.0,0.0,261.0,261.0,0,0,0,0,0,0,0,0,0,64,0,7662.835249042146,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.142-10.42.0.211-443-56649-6,10.42.0.211,56649,172.217.10.142,443,6,15/06/2017 10:34:35,34297227,15,11,8508.0,747.0,1368.0,0.0,567.1999999999999,678.6567826018012,425.0,0.0,67.9090909090909,132.11468846835655,269.8468887878312,0.7580787799550092,1371889.0799999998,6793636.493703353,3.3981234E7,3.0,3.426006E7,2447147.142857143,9076179.782265494,3.3981234E7,3.0,3.4260247E7,3426024.6999999997,1.0765129895189859E7,3.4064046E7,339.0,0,0,0,0,488,360,0.43735314228173605,0.3207256376732731,0.0,1368.0,342.77777777777777,565.9114726454968,320255.79487179493,0,0,0,1,0,0,0,0,0.0,355.96153846153845,567.2,67.9090909090909,488,0,0,0,0,0,0,15,8508,11,747,65535,468,10,32,278826.0,0.0,278826.0,278826.0,3.3981234E7,0.0,3.3981234E7,3.3981234E7,ADWARE_YOUMI
216.58.219.202-10.42.0.211-443-36573-6,10.42.0.211,36573,216.58.219.202,443,6,15/06/2017 10:34:34,48859847,22,40,1269.0,48419.0,1015.0,0.0,57.68181818181819,217.4322853241871,1418.0,0.0,1210.475,463.51903606526434,1016.9495618764422,1.2689356149641646,800981.0983606557,6205945.630231361,4.8476185E7,5.0,4.8859847E7,2326659.380952381,1.0574223685798535E7,4.8476185E7,25.0,342498.0,8782.0,27496.81685500878,143938.0,5.0,0,0,0,0,712,1288,0.4502674762776068,0.8186681386865579,0.0,1418.0,788.6984126984125,682.3382387747399,465585.472094214,0,0,0,1,0,0,0,0,1.0,801.4193548387096,57.68181818181818,1210.475,712,0,0,0,0,0,0,22,1269,40,48419,65535,362,3,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
10.42.0.211-31.13.71.3-45691-443-6,10.42.0.211,45691,31.13.71.3,443,6,15/06/2017 10:35:44,35662,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,869.2726151085188,84.1231563008244,17831.0,24982.082579320722,35496.0,166.0,0,0,0,0,0,166.0,166.0,0.0,166.0,166.0,0,0,0,0,32,64,28.041052100274804,56.08210420054961,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
157.240.0.17-10.42.0.211-443-53962-6,10.42.0.211,53962,157.240.0.17,443,6,15/06/2017 10:35:44,442381,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4.520989825512397,442381.0,0.0,442381.0,442381.0,442381.0,442381.0,0.0,442381.0,442381.0,0,0,0,0,0,0,0,0,0,64,0,4.520989825512397,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1547,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
