Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.142-10.42.0.211-443-44360-6,10.42.0.211,44360,172.217.12.142,443,6,15/06/2017 07:02:17,128,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,242187.5,15625.0,128.0,0.0,128.0,128.0,128.0,128.0,0.0,128.0,128.0,0,0,0,0,0,1,0,0,0,64,0,15625.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1727,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.12.142-10.42.0.211-443-32821-6,10.42.0.211,32821,172.217.12.142,443,6,15/06/2017 07:02:17,36406,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,631.763994945888,54.935999560512,36406.0,0.0,36406.0,36406.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.467999780256,27.467999780256,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1486,404,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.12.142-10.42.0.211-443-43769-6,10.42.0.211,43769,172.217.12.142,443,6,15/06/2017 07:02:22,36958,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.3280480545484,54.11548243952595,36958.0,0.0,36958.0,36958.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.057741219762974,27.057741219762974,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1594,362,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
198.11.132.221-10.42.0.211-443-52412-6,10.42.0.211,52412,198.11.132.221,443,6,15/06/2017 07:02:32,5323382,9,9,739.0,3637.0,402.0,0.0,82.11111111111111,142.00391230917234,1452.0,0.0,404.1111111111111,610.0236561897507,822.0338123395992,3.3813091001171816,313140.1176470588,1207536.4835392595,4997522.0,1.0,325605.0,40700.625,48586.73087799501,103285.0,9.0,5235860.0,654482.5,1756493.5458693998,4999889.0,1.0,0,0,0,0,200,200,1.6906545500585908,1.6906545500585908,0.0,1452.0,230.31578947368428,450.9817750236797,203384.56140350885,0,0,0,1,0,0,0,0,1.0,243.11111111111111,82.11111111111111,404.1111111111111,200,0,0,0,0,0,0,9,739,9,3637,65535,16616,3,20,0,0,0,0,0,0,0,0,ADWARE_YOUMI
198.11.132.221-10.42.0.211-443-52412-6,10.42.0.211,52412,198.11.132.221,443,6,15/06/2017 07:02:37,10058,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,198.8466892026248,10058.0,0.0,10058.0,10058.0,10058.0,10058.0,0.0,10058.0,10058.0,0,0,0,0,0,0,0,0,0,40,0,198.8466892026248,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,ADWARE_YOUMI
198.11.189.2-10.42.0.211-443-48708-6,10.42.0.211,48708,198.11.189.2,443,6,15/06/2017 07:02:32,5811716,8,9,1123.0,3725.0,785.0,0.0,140.375,272.39778554795294,1280.0,0.0,413.88888888888886,523.3878687083902,834.1770313621657,2.925125728786472,363232.25,1239886.338268445,4997875.0,1.0,813830.0,116261.42857142858,135947.3903266225,295390.0,369.0,5588386.0,698548.2500000001,1742822.6814408,5000214.0,1.0,0,0,0,0,180,200,1.3765297547230457,1.5485959740634265,0.0,1280.0,269.33333333333337,427.34006296129627,182619.52941176467,0,0,0,1,0,0,0,0,1.0,285.1764705882353,140.375,413.8888888888889,180,0,0,0,0,0,0,8,1123,9,3725,65535,16485,3,20,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.10.138-10.42.0.211-443-54878-6,10.42.0.211,54878,172.217.10.138,443,6,15/06/2017 07:02:40,36358,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.00852632157984,36358.0,0.0,36358.0,36358.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.50426316078992,27.50426316078992,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4349,383,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.0.234-10.42.0.211-443-37976-6,10.42.0.211,37976,172.217.0.234,443,6,15/06/2017 07:02:40,22231,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.9644640367055,22231.0,0.0,22231.0,22231.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.98223201835275,44.98223201835275,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,377,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.12.142-10.42.0.211-443-51077-6,10.42.0.211,51077,172.217.12.142,443,6,15/06/2017 07:02:41,325,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,70769.23076923077,6153.846153846154,325.0,0.0,325.0,325.0,325.0,325.0,0.0,325.0,325.0,0,0,0,0,0,1,0,0,0,64,0,6153.846153846154,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
172.217.12.142-10.42.0.211-443-60150-6,10.42.0.211,60150,172.217.12.142,443,6,15/06/2017 07:02:42,36863,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.9318557903589,54.25494398177034,36863.0,0.0,36863.0,36863.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.12747199088517,27.12747199088517,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,468,0,32,0,0,0,0,0,0,0,0,ADWARE_YOUMI
