Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
209.85.144.100-10.42.0.211-443-53614-6,10.42.0.211,53614,209.85.144.100,443,6,04/08/2017 03:03:40,87,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,264367.816091954,22988.505747126437,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,1,0,0,0,64,0,22988.505747126437,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-34.201.238.65-60529-443-6,34.201.238.65,443,10.42.0.211,60529,6,04/08/2017 03:03:42,5000578,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.199283362843255,0.5999306480170892,2500289.0,3393565.24904679,4899902.0,100676.0,5000578.0,5000578.0,0.0,5000578.0,5000578.0,0,0,0,0,0,1,0,0,0,64,32,0.39995376534472615,0.19997688267236308,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,151,1776,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-59779-6,10.42.0.211,59779,172.217.10.10,443,6,04/08/2017 03:03:48,37181,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.79091471450472,37181.0,0.0,37181.0,37181.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.89545735725236,26.89545735725236,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-34.201.238.65-60529-443-6,10.42.0.211,60529,34.201.238.65,443,6,04/08/2017 03:03:47,2309631,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,13.422057462858787,1.2989087867282696,1154815.5,1631847.5945934718,2308706.0,925.0,2309631.0,1154815.5,1631847.5945934718,2308706.0,925.0,0,0,0,0,0,0,0,0,0,96,0,1.2989087867282696,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,1776,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.174.10.10-49526-80-6,10.42.0.211,49526,108.174.10.10,80,6,04/08/2017 03:03:51,62098,3,4,371.0,170.0,371.0,0.0,123.66666666666667,214.19694986935116,170.0,0.0,42.5,85.0,8712.03581435795,112.72504750555574,10349.666666666666,14454.611231944866,29056.0,51.0,32431.0,16215.5,22616.810396251723,32208.0,223.0,33042.0,11014.0,18376.16796288062,32229.0,51.0,0,0,0,0,104,136,48.31073464523817,64.41431286031757,0.0,371.0,67.625,136.25389902678015,18565.125000000004,0,0,0,1,0,0,0,0,1.0,77.28571428571429,123.66666666666667,42.5,104,0,0,0,0,0,0,3,371,4,170,65535,16,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.174.10.10-49526-80-6,10.42.0.211,49526,108.174.10.10,80,6,04/08/2017 03:03:51,9476,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,211.05951878429718,9476.0,0.0,9476.0,9476.0,9476.0,9476.0,0.0,9476.0,9476.0,0,0,0,0,0,0,0,0,0,64,0,211.05951878429718,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-50374-443-6,10.42.0.211,50374,65.52.108.74,443,6,04/08/2017 03:04:02,50094,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.88741166606779,25047.0,35346.85377795314,50041.0,53.0,0,0,0,0,0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,32,64,19.96247055535593,39.92494111071186,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.173.205.111-36809-443-6,10.42.0.211,36809,52.173.205.111,443,6,04/08/2017 03:04:02,92746,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.564272313630777,92746.0,0.0,92746.0,92746.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.782136156815389,10.782136156815389,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.116.26-45351-443-6,10.42.0.211,45351,23.101.116.26,443,6,04/08/2017 03:04:02,92896,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.529452290733722,92896.0,0.0,92896.0,92896.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.764726145366861,10.764726145366861,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2093,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.216.59-35662-12350-6,10.42.0.211,35662,91.190.216.59,12350,6,04/08/2017 03:04:02,119701,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.708298176289254,119701.0,0.0,119701.0,119701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.354149088144627,8.354149088144627,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.93.152.202-34878-443-6,10.42.0.211,34878,13.93.152.202,443,6,04/08/2017 03:04:02,165735,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.101185627658612,82867.5,103497.0982419314,156051.0,9684.0,0,0,0,0,0,9684.0,9684.0,0.0,9684.0,9684.0,0,0,0,0,32,64,6.033728542552871,12.067457085105742,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-54554-40010-6,10.42.0.211,54554,111.221.77.148,40010,6,04/08/2017 03:04:02,246046,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.128561325930924,246046.0,0.0,246046.0,246046.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.064280662965462,4.064280662965462,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1417,35,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-50980-6,10.42.0.211,50980,172.217.10.10,443,6,04/08/2017 03:04:05,37004,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04821100421576,37004.0,0.0,37004.0,37004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.02410550210788,27.02410550210788,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-59690-6,10.42.0.211,59690,172.217.10.10,443,6,04/08/2017 03:04:08,36812,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.1167010757363,81.49516462023254,18406.0,25658.076662135063,36549.0,263.0,0,0,0,0,0,263.0,263.0,0.0,263.0,263.0,1,0,0,0,32,64,27.165054873410845,54.33010974682169,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2245,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-44024-6,10.42.0.211,44024,172.217.10.10,443,6,04/08/2017 03:04:31,118,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,262711.8644067797,16949.15254237288,118.0,0.0,118.0,118.0,118.0,118.0,0.0,118.0,118.0,0,0,0,0,0,1,0,0,0,64,0,16949.15254237288,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-44024-6,172.217.10.10,443,10.42.0.211,44024,6,04/08/2017 03:04:31,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-34.196.176.138-44651-443-6,10.42.0.211,44651,34.196.176.138,443,6,04/08/2017 03:03:50,65642350,11,11,1170.0,5690.0,527.0,0.0,106.36363636363636,208.91350972460958,1448.0,0.0,517.2727272727273,621.3609403412947,104.50570401577642,0.33514948809724215,3125826.1904761903,1.3089790438477062E7,6.0080148E7,6.0,6.0919576E7,6091957.6,1.9050538850050982E7,6.0310457E7,412.0,6.5591229E7,6559122.9,1.8877724465776138E7,6.0125133E7,6.0,0,0,0,0,372,360,0.16757474404862108,0.16757474404862108,0.0,1448.0,298.2608695652173,491.7039221275067,241772.74703557315,0,0,0,1,0,0,0,0,1.0,311.8181818181818,106.36363636363636,517.2727272727273,372,0,0,0,0,0,0,11,1170,11,5690,65535,122,3,32,561971.0,0.0,561971.0,561971.0,6.0080148E7,0.0,6.0080148E7,6.0080148E7,BENIGN
172.217.10.35-10.42.0.211-443-52519-6,10.42.0.211,52519,172.217.10.35,443,6,04/08/2017 03:05:05,10359107,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,86.97660908416141,0.9653341740750434,1151011.888888889,3380931.270451843,1.0166602E7,27.0,1.0359107E7,2071821.4,4567526.407696216,1.0242405E7,2481.0,156267.0,52089.0,56158.84831440189,111601.0,27.0,0,0,0,0,200,136,0.579200504445026,0.38613366963001733,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,349,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.211-443-52518-6,10.42.0.211,52518,172.217.10.35,443,6,04/08/2017 03:05:05,10359922,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,86.96976676079223,0.9652582326392033,1151102.4444444445,3375877.764404804,1.0153193E7,40.0,1.0359922E7,2071984.4,4560590.460381452,1.0230158E7,2674.0,169435.0,56478.333333333336,62979.07965613132,124414.0,40.0,0,0,0,0,200,136,0.579154939583522,0.38610329305568136,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,349,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.196-10.42.0.211-443-43183-6,172.217.6.196,443,10.42.0.211,43183,6,04/08/2017 03:05:34,714868,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.196578948840905,357434.0,187964.53878857044,490345.0,224523.0,0,0,0,0,0,490345.0,490345.0,0.0,490345.0,490345.0,0,0,0,0,32,64,1.398859649613635,2.79771929922727,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,175,1637,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.211-443-45904-6,10.42.0.211,45904,172.217.12.138,443,6,04/08/2017 03:05:39,110,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,209090.9090909091,18181.81818181818,110.0,0.0,110.0,110.0,110.0,110.0,0.0,110.0,110.0,0,0,0,0,0,1,0,0,0,64,0,18181.81818181818,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1820,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.104-10.42.0.211-443-35964-6,10.42.0.211,35964,172.217.3.104,443,6,04/08/2017 03:03:40,259123,7,6,1370.0,555.0,810.0,0.0,195.7142857142857,330.9353986735751,416.0,0.0,92.5,167.95207649802964,7428.904419908692,50.16922465392883,21593.583333333332,23505.65689924771,76686.0,250.0,259123.0,43187.16666666667,38113.36712187296,88516.0,332.0,185553.0,37110.6,32405.41187517912,84828.0,250.0,0,0,0,0,232,200,27.014197890577062,23.155026763351767,0.0,810.0,137.5,256.1441150842777,65609.80769230769,0,0,0,1,0,0,0,0,0.0,148.07692307692307,195.71428571428572,92.5,232,0,0,0,0,0,0,7,1370,6,555,65535,177,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.161-10.42.0.211-443-49297-6,172.217.12.161,443,10.42.0.211,49297,6,04/08/2017 03:05:35,9822681,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054155988573792,4911340.5,6887124.589341513,9781273.0,41408.0,0,0,0,0,0,9781273.0,9781273.0,0.0,9781273.0,9781273.0,0,0,0,0,32,64,0.10180519961912639,0.20361039923825278,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,350,1594,0,32,0,0,0,0,0,0,0,0,BENIGN
