Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-36312-6,157.240.18.36,443,10.42.0.211,36312,6,04/08/2017 12:58:47,55,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,763636.3636363636,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,1,0,0,0,64,0,36363.63636363636,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-36312-6,157.240.18.36,443,10.42.0.211,36312,6,04/08/2017 12:58:47,47637,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,881.6676113105359,104.96042991792095,11909.25,10882.4981009264,27168.0,1826.0,0,0,0,0,0,20469.0,6823.0,4735.347188960911,11244.0,1826.0,0,0,0,0,32,140,20.99208598358419,83.96834393433676,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,148,1453,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-46848-40010-6,10.42.0.211,46848,111.221.77.148,40010,6,04/08/2017 12:58:50,4331089,3,2,271.0,4.0,271.0,0.0,90.33333333333334,156.46192295038858,4.0,0.0,2.0,2.8284271247461903,63.49442368882283,1.154444067069506,1082772.25,2000846.0972189365,4079240.0,44.0,4331089.0,2165544.5,2706374.130352361,4079240.0,251849.0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,96,64,0.6926664402417035,0.4617776268278024,0.0,271.0,91.0,139.43600682750494,19442.4,0,1,0,0,1,0,0,0,0.0,109.2,90.33333333333333,2.0,96,0,0,0,0,0,0,3,271,2,4,1417,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.156.39-41901-443-6,10.42.0.211,41901,104.208.156.39,443,6,04/08/2017 12:58:45,8505172,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,33.74417354522637,0.7054531054751156,1701034.4,3709976.9936293806,8337519.0,10881.0,8505172.0,2835057.3333333335,4765271.586687828,8337519.0,83820.0,60883.0,60883.0,0.0,60883.0,60883.0,1,0,0,0,128,64,0.47030207031674376,0.23515103515837188,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.219.45-44023-12350-6,10.42.0.211,44023,91.190.219.45,12350,6,04/08/2017 12:58:50,4334379,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,2.307135578130108,0.9228542312520432,1444793.0,2383415.9017066243,4196717.0,39555.0,4334379.0,2167189.5,2870185.3157091616,4196717.0,137662.0,0,0,0,0,0,1,0,0,0,96,32,0.6921406734390324,0.2307135578130108,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-13.107.3.128-44400-443-6,10.42.0.211,44400,13.107.3.128,443,6,04/08/2017 12:58:54,35986,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.36575334852444,17993.0,25136.23185761939,35767.0,219.0,0,0,0,0,0,219.0,219.0,0.0,219.0,219.0,0,0,0,0,32,64,27.788584449508143,55.577168899016286,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-42249-443-6,10.42.0.211,42249,52.179.184.189,443,6,04/08/2017 12:58:54,50292,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.76775630318937,50292.0,0.0,50292.0,50292.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.883878151594686,19.883878151594686,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.189.71-54259-443-6,10.42.0.211,54259,52.179.189.71,443,6,04/08/2017 12:58:54,50064,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.948865452221156,50064.0,0.0,50064.0,50064.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.974432726110578,19.974432726110578,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-40642-443-6,10.42.0.211,40642,65.52.108.74,443,6,04/08/2017 12:58:54,50149,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.82173124090211,25074.5,35377.25936954416,50090.0,59.0,0,0,0,0,0,59.0,59.0,0.0,59.0,59.0,0,0,0,0,32,64,19.940577080300706,39.88115416060141,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.158.111-38697-443-6,10.42.0.211,38697,23.101.158.111,443,6,04/08/2017 12:58:54,50264,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.78990927900684,50264.0,0.0,50264.0,50264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.89495463950342,19.89495463950342,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
