Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-59140-6,157.240.18.36,443,10.42.0.211,59140,6,04/08/2017 06:53:19,63,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,666666.6666666666,31746.031746031746,63.0,0.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,0,0,0,0,0,1,0,0,0,64,0,31746.031746031746,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-59140-6,157.240.18.36,443,10.42.0.211,59140,6,04/08/2017 06:53:19,54242,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,774.3077320157812,92.1794919066406,13560.5,26550.48479783373,53384.0,80.0,0,0,0,0,0,858.0,286.0,343.89387898012956,683.0,80.0,0,0,0,0,32,140,18.435898381328123,73.74359352531249,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,132,1436,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.179.252.22-48105-80-6,10.42.0.211,48105,108.179.252.22,80,6,04/08/2017 06:53:27,67247,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.741103692358024,67247.0,0.0,67247.0,67247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.870551846179012,14.870551846179012,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2138,235,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.179.252.22-56573-80-6,10.42.0.211,56573,108.179.252.22,80,6,04/08/2017 06:53:27,66381,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.129103207243038,66381.0,0.0,66381.0,66381.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,15.064551603621519,15.064551603621519,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1460,235,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.179.252.22-34414-80-6,10.42.0.211,34414,108.179.252.22,80,6,04/08/2017 06:53:27,66992,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.854310962502986,66992.0,0.0,66992.0,66992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.927155481251493,14.927155481251493,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,235,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.179.252.22-47013-80-6,10.42.0.211,47013,108.179.252.22,80,6,04/08/2017 06:53:27,67065,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.821814657421903,67065.0,0.0,67065.0,67065.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.910907328710952,14.910907328710952,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1387,235,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-108.179.252.22-32771-80-6,10.42.0.211,32771,108.179.252.22,80,6,04/08/2017 06:53:27,67351,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.69517898769135,67351.0,0.0,67351.0,67351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14.847589493845675,14.847589493845675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1387,235,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-45569-6,10.42.0.211,45569,172.217.10.106,443,6,04/08/2017 06:53:28,36406,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.935999560512,36406.0,0.0,36406.0,36406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.467999780256,27.467999780256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,377,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-41071-6,10.42.0.211,41071,172.217.10.106,443,6,04/08/2017 06:53:34,37158,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.82421012971635,37158.0,0.0,37158.0,37158.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.912105064858174,26.912105064858174,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.211-443-32850-6,10.42.0.211,32850,172.217.12.142,443,6,04/08/2017 06:53:35,155,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,200000.0,12903.225806451614,155.0,0.0,155.0,155.0,155.0,155.0,0.0,155.0,155.0,0,0,0,0,0,1,0,0,0,64,0,12903.225806451614,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
