Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.14-10.42.0.211-443-55274-6,10.42.0.211,55274,172.217.11.14,443,6,04/08/2017 11:09:35,72,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,430555.55555555556,27777.777777777777,72.0,0.0,72.0,72.0,72.0,72.0,0.0,72.0,72.0,0,0,0,0,0,1,0,0,0,64,0,27777.777777777777,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1727,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.211-443-55274-6,172.217.11.14,443,10.42.0.211,55274,6,04/08/2017 11:09:35,554,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3610.1083032490974,554.0,0.0,554.0,554.0,554.0,554.0,0.0,554.0,554.0,0,0,0,0,0,0,0,0,0,64,0,3610.1083032490974,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,349,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-52720-6,10.42.0.211,52720,172.217.12.170,443,6,04/08/2017 11:09:37,37076,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.94325169921243,37076.0,0.0,37076.0,37076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.971625849606216,26.971625849606216,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.45.140-10.42.0.211-80-48240-6,10.42.0.211,48240,151.101.45.140,80,6,04/08/2017 11:09:37,69364,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,10452.107721584684,100.91690213943833,11560.666666666668,16337.691105742779,32782.0,53.0,36391.0,18195.5,25575.345168736236,36280.0,111.0,36582.0,12194.0,20619.694881350693,36002.0,53.0,0,0,0,0,104,136,43.25010091690214,57.66680122253619,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.45.140-10.42.0.211-80-48240-6,10.42.0.211,48240,151.101.45.140,80,6,04/08/2017 11:09:37,8137,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,245.79083200196632,8137.0,0.0,8137.0,8137.0,8137.0,8137.0,0.0,8137.0,8137.0,0,0,0,0,0,0,0,0,0,64,0,245.79083200196632,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
211.236.244.151-10.42.0.211-80-60196-6,10.42.0.211,60196,211.236.244.151,80,6,04/08/2017 11:09:35,5799761,5,2,262.0,141.0,262.0,0.0,52.4,117.16996202098898,141.0,0.0,70.5,99.7020561473032,69.48562190752342,1.2069462862348983,966626.8333333333,2024344.2604048764,5090547.0,152.0,5799761.0,1449940.25,2434304.4573904304,5090547.0,152.0,322855.0,322855.0,0.0,322855.0,322855.0,0,0,0,0,168,72,0.8621044901677845,0.3448417960671138,0.0,262.0,50.37499999999999,98.72318804183168,9746.267857142857,0,0,0,1,0,0,0,0,0.0,57.57142857142857,52.4,70.5,168,0,0,0,0,0,0,5,262,2,141,65535,31,1,32,0,0,0,0,0,0,0,0,BENIGN
211.236.244.151-10.42.0.211-80-40261-6,10.42.0.211,40261,211.236.244.151,80,6,04/08/2017 11:09:35,5090525,5,2,375.0,141.0,375.0,0.0,75.0,167.70509831248424,141.0,0.0,70.5,99.7020561473032,101.3647904685666,1.3751037466666012,848420.8333333333,1576291.3618322492,4058881.0,16596.0,5090525.0,1272631.25,1871868.2075118383,4058881.0,16596.0,512224.0,512224.0,0.0,512224.0,512224.0,0,0,0,0,168,72,0.9822169619047151,0.39288678476188604,0.0,375.0,64.5,134.8141577982711,18174.85714285714,0,0,0,1,0,0,0,0,0.0,73.71428571428571,75.0,70.5,168,0,0,0,0,0,0,5,375,2,141,65535,31,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.131.140.57-47975-80-6,10.42.0.211,47975,104.131.140.57,80,6,04/08/2017 11:09:41,92834,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54383092401491,92834.0,0.0,92834.0,92834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.771915462007454,10.771915462007454,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2003,235,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-55414-6,10.42.0.211,55414,172.217.12.170,443,6,04/08/2017 11:09:50,37354,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.54178936660063,37354.0,0.0,37354.0,37354.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.770894683300316,26.770894683300316,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-72.5.205.53-43356-443-6,10.42.0.211,43356,72.5.205.53,443,6,04/08/2017 11:09:51,235724,8,10,706.0,8592.0,361.0,0.0,88.25,137.2450883846642,1460.0,0.0,859.2,682.9362748862851,39444.435017223535,76.36048938589198,13866.117647058825,15575.423448827774,42172.0,6.0,200771.0,28681.571428571428,27597.99446129581,79096.0,77.0,202518.0,22502.0,34746.45152386068,91531.0,6.0,0,0,0,0,180,212,33.93799528261866,42.42249410327332,0.0,1460.0,489.3684210526315,633.503241290166,401326.35672514624,0,0,0,1,0,0,0,0,1.0,516.5555555555555,88.25,859.2,180,0,0,0,0,0,0,8,706,10,8592,65535,131,3,20,0,0,0,0,0,0,0,0,BENIGN
