Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.106-10.42.0.211-443-48871-6,10.42.0.211,48871,172.217.10.106,443,6,04/08/2017 11:38:16,36922,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1682465738584,36922.0,0.0,36922.0,36922.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0841232869292,27.0841232869292,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58524-6,10.42.0.211,58524,205.204.101.182,443,6,04/08/2017 11:38:19,312019,7,6,338.0,4524.0,212.0,0.0,48.28571428571428,86.11951827879338,1452.0,0.0,754.0,694.1988187832071,15582.384406077836,41.664129428015606,26001.583333333336,38029.57795873755,88349.0,2.0,312019.0,52003.166666666664,48025.413474187466,100500.0,907.0,195356.0,39071.2,53205.3801950517,100033.0,2.0,0,0,0,0,160,140,22.43453123046994,19.229598197545663,0.0,1452.0,347.2857142857143,567.9228588693835,322536.37362637365,0,0,0,1,0,0,0,0,0.0,374.0,48.285714285714285,754.0,160,0,0,0,0,0,0,7,338,6,4524,65535,15544,2,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58524-6,205.204.101.182,443,10.42.0.211,58524,6,04/08/2017 11:38:19,2918,2,0,258.0,0.0,258.0,0.0,129.0,182.43354954612926,0,0,0,0,88416.7237834133,685.4009595613434,2918.0,0.0,2918.0,2918.0,2918.0,2918.0,0.0,2918.0,2918.0,0,0,0,0,0,1,0,0,0,40,0,685.4009595613434,0.0,0.0,258.0,172.0,148.95636945092346,22188.0,0,1,0,0,1,0,0,0,0.0,258.0,129.0,0.0,40,0,0,0,0,0,0,2,258,0,0,15544,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-32914-443-6,10.42.0.211,32914,64.71.142.124,443,6,04/08/2017 11:38:20,1403157,9,8,914.0,3712.0,578.0,0.0,101.55555555555556,194.04839029937295,1460.0,0.0,464.00000000000006,643.8606770323619,3296.851314571356,12.11553660780654,87697.31250000001,126256.09578932218,397092.0,4.0,1403157.0,175394.625,183150.8674890243,404893.0,725.0,1038083.0,148297.57142857142,205673.85991974213,548631.0,4.0,0,0,0,0,200,172,6.41410761589758,5.701428991908959,0.0,1460.0,257.0,474.6169972911284,225261.29411764702,0,0,0,1,0,0,0,0,0.0,272.11764705882354,101.55555555555556,464.0,200,0,0,0,0,0,0,9,914,8,3712,65535,33,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-32914-443-6,64.71.142.124,443,10.42.0.211,32914,6,04/08/2017 11:38:21,23,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1347826.0869565217,86956.52173913043,23.0,0.0,23.0,23.0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,0,1,0,0,0,40,0,86956.52173913043,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,33,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-40924-443-6,10.42.0.211,40924,106.11.92.1,443,6,04/08/2017 11:38:16,7210236,9,9,1230.0,3620.0,446.0,0.0,136.66666666666666,190.57544437833536,1452.0,0.0,402.2222222222222,610.0608120871594,672.6548201750956,2.4964508790003546,424131.5294117647,1200359.4560789445,4994774.0,12.0,2215436.0,276929.5,288758.9795130682,880188.0,537.0,6895984.0,861997.9999999999,1723238.5398721956,5000308.0,12.0,0,0,0,0,200,200,1.2482254395001773,1.2482254395001773,0.0,1452.0,255.2631578947368,450.55913930548104,203003.53801169587,0,0,0,1,0,0,0,0,1.0,269.44444444444446,136.66666666666666,402.22222222222223,200,0,0,0,0,0,0,9,1230,9,3620,65535,16616,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-40925-443-6,10.42.0.211,40925,106.11.92.1,443,6,04/08/2017 11:38:16,7633829,9,9,1259.0,3803.0,709.0,0.0,139.88888888888886,232.46636554803172,1452.0,0.0,422.5555555555555,612.4226708554949,663.1010466700262,2.357925491912381,449048.76470588235,1199735.7854443167,4997818.0,6.0,2635809.0,329476.125,298216.88011792337,954376.0,65070.0,7308311.0,913538.875,1763618.1943028725,5000028.0,6.0,0,0,0,0,200,200,1.1789627459561904,1.1789627459561904,0.0,1452.0,266.4210526315789,463.5187058180876,214849.59064327483,0,0,0,1,0,0,0,0,1.0,281.22222222222223,139.88888888888889,422.55555555555554,200,0,0,0,0,0,0,9,1259,9,3803,65535,17016,4,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58523-6,10.42.0.211,58523,205.204.101.182,443,6,04/08/2017 11:38:19,5353645,8,9,874.0,3601.0,537.0,0.0,109.25000000000001,190.2184834041409,1452.0,0.0,400.1111111111111,610.1646180426321,835.8791066647116,3.1754066621899657,334602.8125,1243551.5576939688,4996562.0,9.0,356881.0,50983.00000000001,38654.47326420751,97279.0,1190.0,5265615.0,658201.8750000001,1754713.7074186725,4999350.0,9.0,0,0,0,0,180,200,1.4943090175011604,1.6810976446888055,0.0,1452.0,248.61111111111117,463.7087243580302,215025.78104575168,0,0,0,1,0,0,0,0,1.0,263.2352941176471,109.25,400.1111111111111,180,0,0,0,0,0,0,8,874,9,3601,65535,16647,3,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58529-6,10.42.0.211,58529,205.204.101.182,443,6,04/08/2017 11:38:19,5602880,11,10,1502.0,4034.0,599.0,0.0,136.54545454545453,231.03132412569673,1452.0,0.0,403.4,575.4167958001303,988.063281740819,3.748072419898338,280144.0,1101237.5198126687,4953968.0,8.0,648753.0,64875.299999999996,67042.05078414924,194078.0,69.0,5514989.0,612776.5555555555,1648178.14008378,5000699.0,8.0,0,0,0,0,240,220,1.963276029470558,1.78479639042778,0.0,1452.0,251.6363636363636,433.8665084863629,188240.1471861472,0,0,0,1,0,0,0,0,0.0,263.6190476190476,136.54545454545453,403.4,240,0,0,0,0,0,0,11,1502,10,4034,65535,17970,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.21-57935-443-6,10.42.0.211,57935,106.11.94.21,443,6,04/08/2017 11:38:19,6838403,8,11,964.0,4088.0,497.0,0.0,120.5,172.71942565907287,1452.0,0.0,371.6363636363636,562.6260343651496,738.7689786635857,2.7784264834932952,379911.2777777778,1163779.5791787158,4991062.0,10.0,1847322.0,263903.14285714284,312759.7527732901,891858.0,578.0,6530234.0,653023.4,1553806.8099895245,4999299.0,10.0,0,0,0,0,180,252,1.1698637825234928,1.6085627009698025,0.0,1452.0,252.6,443.2880019034792,196504.25263157897,0,0,0,1,0,0,0,0,1.0,265.89473684210526,120.5,371.6363636363636,180,0,0,0,0,0,0,8,964,11,4088,65535,15544,4,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58523-6,10.42.0.211,58523,205.204.101.182,443,6,04/08/2017 11:38:24,2916185,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0287413178519196,1458092.5,2010984.1085300748,2880073.0,36112.0,2916185.0,1458092.5,2010984.1085300748,2880073.0,36112.0,0,0,0,0,0,0,0,0,0,60,0,1.0287413178519196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-40924-443-6,10.42.0.211,40924,106.11.92.1,443,6,04/08/2017 11:38:23,3830090,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7832714113767562,1915045.0,2652524.4134310996,3790663.0,39427.0,3830090.0,1915045.0,2652524.4134310996,3790663.0,39427.0,0,0,0,0,0,0,0,0,0,60,0,0.7832714113767562,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.1-40925-443-6,10.42.0.211,40925,106.11.92.1,443,6,04/08/2017 11:38:24,3319203,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9038314318226394,1659601.5,2292797.2735312865,3280854.0,38349.0,3319203.0,1659601.5,2292797.2735312865,3280854.0,38349.0,0,0,0,0,0,0,0,0,0,60,0,0.9038314318226394,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.21-57935-443-6,10.42.0.211,57935,106.11.94.21,443,6,04/08/2017 11:38:26,1190773,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.679581246803547,1190773.0,0.0,1190773.0,1190773.0,1190773.0,1190773.0,0.0,1190773.0,1190773.0,0,0,0,0,0,0,0,0,0,40,0,1.679581246803547,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
205.204.101.182-10.42.0.211-443-58529-6,10.42.0.211,58529,205.204.101.182,443,6,04/08/2017 11:38:25,2301389,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.3035605888443893,1150694.5,1584184.3549008113,2270882.0,30507.0,2301389.0,1150694.5,1584184.3549008113,2270882.0,30507.0,0,0,0,0,0,0,0,0,0,60,0,1.3035605888443893,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-36858-6,10.42.0.211,36858,172.217.10.106,443,6,04/08/2017 11:38:27,36673,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.536034684918064,36673.0,0.0,36673.0,36673.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.268017342459032,27.268017342459032,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-43110-6,10.42.0.211,43110,172.217.9.238,443,6,04/08/2017 11:38:29,36515,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.8781322744078,54.77201150212242,36515.0,0.0,36515.0,36515.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.38600575106121,27.38600575106121,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,370,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.188.78-10.42.0.211-443-33313-6,10.42.0.211,33313,198.11.188.78,443,6,04/08/2017 11:38:16,14852235,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269319735379894,4950745.0,8358784.072380145,1.4601595E7,2471.0,1.4852235E7,7426117.5,1.014765759700299E7,1.4601595E7,250640.0,0,0,0,0,0,0,0,0,0,80,40,0.2019898015349205,0.0673299338449735,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,12960,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-32905-443-6,10.42.0.211,32905,64.71.142.124,443,6,04/08/2017 11:38:19,12407811,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32237757328831007,4135937.0,7096115.255479085,1.2329736E7,5944.0,1.2407811E7,6203905.5,8663232.573898759,1.2329736E7,78075.0,0,0,0,0,0,0,0,0,0,80,32,0.24178317996623255,0.08059439332207752,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-66.198.24.225-34053-443-6,10.42.0.211,34053,66.198.24.225,443,6,04/08/2017 11:38:15,16626542,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24057918958734775,5542180.666666667,9566038.584511163,1.658808E7,5997.0,1.6626542E7,8313271.0,1.1702347113846948E7,1.658808E7,38462.0,0,0,0,0,0,0,0,0,0,80,32,0.1804343921905108,0.06014479739683694,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
