Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.211-443-44241-6,10.42.0.211,44241,172.217.10.234,443,6,04/08/2017 12:20:39,36927,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.160912069759256,36927.0,0.0,36927.0,36927.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.080456034879628,27.080456034879628,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1991,386,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.98-10.42.0.211-443-48831-6,10.42.0.211,48831,172.217.3.98,443,6,04/08/2017 12:20:44,119,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,193277.31092436973,16806.72268907563,119.0,0.0,119.0,119.0,119.0,119.0,0.0,119.0,119.0,0,0,0,0,0,1,0,0,0,64,0,16806.72268907563,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.98-10.42.0.211-443-48831-6,172.217.3.98,443,10.42.0.211,48831,6,04/08/2017 12:20:44,54,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,64,0,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.16-35045-443-6,10.42.0.211,35045,106.11.92.16,443,6,04/08/2017 12:20:47,6361377,12,11,1493.0,4754.0,709.0,0.0,124.41666666666669,228.9626640200352,1452.0,0.0,432.18181818181824,549.7111638272991,982.0200877891689,3.615569396374401,289153.5,867673.4833523687,4054944.0,15.0,2306379.0,209670.81818181818,280573.3649774398,900403.0,15.0,6011372.0,601137.2000000001,1251330.9359843668,4061865.0,31.0,0,0,0,0,284,240,1.886384032890992,1.7291853634834093,0.0,1452.0,260.2916666666667,427.97759786624613,183164.8242753623,0,0,0,1,0,0,0,0,0.0,271.60869565217394,124.41666666666667,432.1818181818182,284,0,0,0,0,0,0,12,1493,11,4754,65535,17725,4,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-39063-6,10.42.0.211,39063,198.11.136.24,443,6,04/08/2017 12:20:48,5314206,8,9,876.0,3633.0,538.0,0.0,109.5,190.61629371218882,1452.0,0.0,403.6666666666667,610.3210220859183,848.480469142521,3.198972715773532,332137.87500000006,1244066.9511488453,4995883.0,9.0,318231.0,45461.57142857143,44769.69750049373,96357.0,1984.0,5226425.0,653303.1249999999,1756808.2138038562,4999664.0,9.0,0,0,0,0,180,200,1.5053989250698974,1.6935737907036346,0.0,1452.0,250.5,464.45505702920275,215718.49999999997,0,0,0,1,0,0,0,0,1.0,265.2352941176471,109.5,403.6666666666667,180,0,0,0,0,0,0,8,876,9,3633,65535,16678,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.14-59237-443-6,10.42.0.211,59237,106.11.92.14,443,6,04/08/2017 12:20:49,5907755,10,10,838.0,4346.0,497.0,0.0,83.8,162.91974847895034,1452.0,0.0,434.6,563.9663504540359,877.4906880870991,3.385380741076771,310934.47368421056,926091.4049780141,4039816.0,8.0,1867695.0,207521.6666666667,311159.62908770796,953171.0,59.0,5621456.0,624606.2222222222,1352085.270367015,4151672.0,8.0,0,0,0,0,232,220,1.6926903705383856,1.6926903705383856,0.0,1452.0,246.8571428571428,434.7813572031678,189034.82857142854,0,0,0,1,0,0,0,0,1.0,259.2,83.8,434.6,232,0,0,0,0,0,0,10,838,10,4346,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.181.192-40642-443-6,10.42.0.211,40642,23.194.181.192,443,6,04/08/2017 12:20:55,23741,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1305.7579714418093,126.36367465565898,11870.5,16725.196695405408,23697.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,32,64,42.12122488521966,84.24244977043932,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-40.117.100.83-43905-443-6,10.42.0.211,43905,40.117.100.83,443,6,04/08/2017 12:20:55,47751,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.88393960335909,47751.0,0.0,47751.0,47751.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.941969801679544,20.941969801679544,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.1.141.68-46800-443-6,10.42.0.211,46800,23.1.141.68,443,6,04/08/2017 12:20:55,48318,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,641.5828469721429,62.08866261020738,24159.0,34110.83112443905,48279.0,39.0,0,0,0,0,0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,32,64,20.696220870069126,41.39244174013825,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-37325-443-6,10.42.0.211,37325,65.52.108.74,443,6,04/08/2017 12:20:55,49940,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.07208650380457,24970.0,35260.58675064838,49903.0,37.0,0,0,0,0,0,37.0,37.0,0.0,37.0,37.0,0,0,0,0,32,64,20.024028834601523,40.04805766920305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
