Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
209.85.201.113-10.42.0.211-443-39791-6,10.42.0.211,39791,209.85.201.113,443,6,04/08/2017 12:40:34,204,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,112745.09803921569,9803.921568627451,204.0,0.0,204.0,204.0,204.0,204.0,0.0,204.0,204.0,0,0,0,0,0,1,0,0,0,64,0,9803.921568627451,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47240-6,157.240.18.36,443,10.42.0.211,47240,6,04/08/2017 12:40:34,55,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,763636.3636363636,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,1,0,0,0,64,0,36363.63636363636,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47240-6,10.42.0.211,47240,157.240.18.36,443,6,04/08/2017 12:40:34,3495,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,12017.16738197425,858.3690987124464,1747.5,2246.4782438296616,3336.0,159.0,3495.0,1747.5,2246.4782438296616,3336.0,159.0,0,0,0,0,0,0,0,0,0,96,0,858.3690987124464,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1453,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-43690-6,10.42.0.211,43690,172.217.3.106,443,6,04/08/2017 12:40:46,36197,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25319777882145,36197.0,0.0,36197.0,36197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.626598889410726,27.626598889410726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-46710-6,10.42.0.211,46710,172.217.3.106,443,6,04/08/2017 12:40:59,37260,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.676865271068166,37260.0,0.0,37260.0,37260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.838432635534083,26.838432635534083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.228-10.42.0.211-443-57545-6,10.42.0.211,57545,216.58.219.228,443,6,04/08/2017 12:41:05,36707,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.5834854387447,54.485520472934326,36707.0,0.0,36707.0,36707.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.242760236467163,27.242760236467163,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-41312-6,10.42.0.211,41312,172.217.3.106,443,6,04/08/2017 12:41:28,285,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,108771.9298245614,7017.543859649123,285.0,0.0,285.0,285.0,285.0,285.0,0.0,285.0,285.0,0,0,0,0,0,1,0,0,0,64,0,7017.543859649123,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1650,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-41312-6,172.217.3.106,443,10.42.0.211,41312,6,04/08/2017 12:41:28,43,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,64,0,46511.62790697674,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,213,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.5-57844-443-6,10.42.0.211,57844,31.13.80.5,443,6,04/08/2017 12:42:01,38529,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,804.5887513301668,77.86342754808067,19264.5,27180.4775620297,38484.0,45.0,0,0,0,0,0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,32,64,25.95447584936022,51.90895169872044,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.8-40183-443-6,10.42.0.211,40183,31.13.80.8,443,6,04/08/2017 12:42:01,212301,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9.420586808352292,212301.0,0.0,212301.0,212301.0,212301.0,212301.0,0.0,212301.0,212301.0,0,0,0,0,0,0,0,0,0,64,0,9.420586808352292,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
