Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.74-10.42.0.211-443-36528-6,10.42.0.211,36528,172.217.10.74,443,6,04/08/2017 01:01:50,36672,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.53752181500872,36672.0,0.0,36672.0,36672.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.26876090750436,27.26876090750436,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-58098-6,10.42.0.211,58098,172.217.10.74,443,6,04/08/2017 01:02:02,37055,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.973822695992446,37055.0,0.0,37055.0,37055.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.986911347996223,26.986911347996223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,360,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.211-443-37491-6,10.42.0.211,37491,172.217.11.46,443,6,04/08/2017 01:02:06,4720,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,6567.796610169491,423.728813559322,4720.0,0.0,4720.0,4720.0,4720.0,4720.0,0.0,4720.0,4720.0,0,0,0,0,0,1,0,0,0,64,0,423.728813559322,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1637,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-35668-6,10.42.0.211,35668,172.217.3.106,443,6,04/08/2017 01:02:06,453019,10,10,1309.0,4636.0,957.0,0.0,130.9,300.26893501215426,1418.0,0.0,463.59999999999997,562.9632314814174,13123.069893315733,44.148258682306924,23843.10526315789,33573.29931639582,116092.0,13.0,453019.0,50335.444444444445,37513.374635292115,116092.0,417.0,319023.0,35447.0,56636.17052732291,157066.0,13.0,0,0,0,0,328,328,22.074129341153462,22.074129341153462,0.0,1418.0,283.0952380952381,463.7562834897124,215069.89047619049,0,0,0,1,0,0,0,0,1.0,297.25,130.9,463.6,328,0,0,0,0,0,0,10,1309,10,4636,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.5.228-10.42.0.211-443-40095-6,10.42.0.211,40095,172.217.5.228,443,6,04/08/2017 01:02:08,42124,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,546.0070268730415,47.478871902003604,42124.0,0.0,42124.0,42124.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,23.739435951001802,23.739435951001802,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1637,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.211-443-42701-6,10.42.0.211,42701,172.217.11.46,443,6,04/08/2017 01:02:10,109,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,211009.1743119266,18348.623853211007,109.0,0.0,109.0,109.0,109.0,109.0,0.0,109.0,109.0,0,0,0,0,0,1,0,0,0,64,0,18348.623853211007,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2946,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.211-443-42701-6,172.217.11.46,443,10.42.0.211,42701,6,04/08/2017 01:02:10,220,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9090.90909090909,220.0,0.0,220.0,220.0,220.0,220.0,0.0,220.0,220.0,0,0,0,0,0,0,0,0,0,64,0,9090.90909090909,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,733,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-50.17.235.120-35705-443-6,50.17.235.120,443,10.42.0.211,35705,6,04/08/2017 01:02:05,5047633,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.1414924579500925,0.5943379798016218,2523816.5,3439792.3548668604,4956117.0,91516.0,5047633.0,5047633.0,0.0,5047633.0,5047633.0,0,0,0,0,0,1,0,0,0,64,32,0.3962253198677479,0.19811265993387395,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,128,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.211-443-45248-6,10.42.0.211,45248,172.217.11.46,443,6,04/08/2017 01:02:10,36717,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.4128332924803,54.47068115586786,36717.0,0.0,36717.0,36717.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.23534057793393,27.23534057793393,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,370,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.175.138-10.42.0.211-443-37444-6,10.42.0.211,37444,173.194.175.138,443,6,04/08/2017 01:02:10,121,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,190082.64462809917,16528.92561983471,121.0,0.0,121.0,121.0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,0,1,0,0,0,64,0,16528.92561983471,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.225.144.48-49477-443-6,54.225.144.48,443,10.42.0.211,49477,6,04/08/2017 01:02:06,5017802,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.178003835145349,0.5978713388850337,2508901.0,3537605.728801614,5010366.0,7436.0,5017802.0,5017802.0,0.0,5017802.0,5017802.0,0,0,0,0,0,1,0,0,0,64,32,0.3985808925900225,0.19929044629501125,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,132,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
