Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-57039-6,157.240.18.36,443,10.42.0.211,57039,6,04/08/2017 01:22:55,41,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1024390.243902439,48780.487804878045,41.0,0.0,41.0,41.0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,0,1,0,0,0,64,0,48780.487804878045,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-57039-6,10.42.0.211,57039,157.240.18.36,443,6,04/08/2017 01:22:55,296,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,141891.8918918919,10135.135135135135,148.0,168.2914139223983,267.0,29.0,296.0,148.0,168.2914139223983,267.0,29.0,0,0,0,0,0,0,0,0,0,96,0,10135.135135135135,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
175.100.207.233-10.42.0.211-80-48129-6,10.42.0.211,48129,175.100.207.233,80,6,04/08/2017 01:23:04,5541908,4,4,445.0,354.0,445.0,0.0,111.25,222.50000000000003,354.0,0.0,88.5,177.0,144.17417250520938,1.4435461577492805,791701.1428571428,1857966.4787547907,4997825.0,216.0,544083.0,181361.0,157790.12640529824,288892.0,216.0,5297156.0,1765718.6666666667,2803437.8191244644,5000510.0,41752.0,0,0,0,0,100,92,0.7217730788746403,0.7217730788746403,0.0,445.0,88.77777777777777,177.62585522508948,31550.94444444445,0,0,0,1,0,0,0,0,1.0,99.875,111.25,88.5,100,0,0,0,0,0,0,4,445,4,354,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.211-80-40279-6,10.42.0.211,40279,175.100.207.231,80,6,04/08/2017 01:23:05,5576351,4,4,423.0,855.0,423.0,0.0,105.75,211.5,855.0,0.0,213.75,427.5,229.18213003449748,1.4346299219686853,796621.5714285715,1854700.8162605686,4995258.0,24.0,581093.0,193697.6666666667,171887.50078563983,328127.0,24.0,5327920.0,1775973.3333333333,2793751.7957657464,5000270.0,74481.0,0,0,0,0,100,92,0.7173149609843427,0.7173149609843427,0.0,855.0,142.0,301.76108098958025,91059.75,0,0,0,1,0,0,0,0,1.0,159.75,105.75,213.75,100,0,0,0,0,0,0,4,423,4,855,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.233-10.42.0.211-80-48129-6,10.42.0.211,48129,175.100.207.233,80,6,04/08/2017 01:23:10,947944,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.10982927261526,947944.0,0.0,947944.0,947944.0,947944.0,947944.0,0.0,947944.0,947944.0,0,0,0,0,0,0,0,0,0,40,0,2.10982927261526,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.211-80-40279-6,10.42.0.211,40279,175.100.207.231,80,6,04/08/2017 01:23:10,99997,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.00060001800054,99997.0,0.0,99997.0,99997.0,99997.0,99997.0,0.0,99997.0,99997.0,0,0,0,0,0,0,0,0,0,40,0,20.00060001800054,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1396,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.254.66.16-44425-80-6,10.42.0.211,44425,104.254.66.16,80,6,04/08/2017 01:23:00,10200839,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3921246085738634,3400279.6666666665,5697251.248163919,9978841.0,87127.0,1.0200839E7,5100419.5,6899129.848272498,9978841.0,221998.0,0,0,0,0,0,0,0,0,0,80,32,0.2940934564303975,0.09803115214346585,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,29200,0,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.211-80-40275-6,10.42.0.211,40275,175.100.207.231,80,6,04/08/2017 01:23:04,6514502,8,8,1590.0,1448.0,602.0,0.0,198.75000000000003,281.64605447263057,1026.0,0.0,181.0,354.48755771032154,466.3441656783588,2.456058805415978,434300.1333333333,1256013.9330333804,4957120.0,2294.0,1557382.0,222483.14285714284,153522.74993132515,368601.0,4006.0,6262120.0,894588.5714285715,1817386.4829752876,4999648.0,73484.0,0,0,0,0,180,172,1.228029402707989,1.228029402707989,0.0,1026.0,178.7058823529412,303.1185338910099,91880.84558823532,0,0,0,1,0,0,0,0,1.0,189.875,198.75,181.0,180,0,0,0,0,0,0,8,1590,8,1448,65535,32,3,20,0,0,0,0,0,0,0,0,BENIGN
175.100.207.231-10.42.0.211-80-40275-6,10.42.0.211,40275,175.100.207.231,80,6,04/08/2017 01:23:11,59200,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33.78378378378378,59200.0,0.0,59200.0,59200.0,59200.0,59200.0,0.0,59200.0,59200.0,0,0,0,0,0,0,0,0,0,40,0,33.78378378378378,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1465,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.254.66.16-44427-80-6,10.42.0.211,44427,104.254.66.16,80,6,04/08/2017 01:23:01,10238448,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39068421307604434,3412816.0,5781035.548141613,1.0088164E7,62149.0,150284.0,150284.0,0.0,150284.0,150284.0,1.0150313E7,1.0150313E7,0.0,1.0150313E7,1.0150313E7,0,0,0,0,60,52,0.19534210653802217,0.19534210653802217,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,60,0,0,0,0,0,0,2,0,2,0,65535,29,0,20,0,0,0,0,0,0,0,0,BENIGN
