Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-50275-6,157.240.18.36,443,10.42.0.211,50275,6,04/08/2017 07:14:59,52,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,807692.3076923077,38461.53846153846,52.0,0.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,1,0,0,0,64,0,38461.53846153846,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,131,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-50275-6,10.42.0.211,50275,157.240.18.36,443,6,04/08/2017 07:14:59,2599,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,16160.061562139283,1154.2901115813775,1299.5,1663.8222561319462,2476.0,123.0,2599.0,1299.5,1663.8222561319462,2476.0,123.0,0,0,0,0,0,0,0,0,0,96,0,1154.2901115813775,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-56337-6,10.42.0.211,56337,172.217.11.10,443,6,04/08/2017 07:15:28,36856,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.26524853483829,36856.0,0.0,36856.0,36856.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.132624267419146,27.132624267419146,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,360,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-38107-6,10.42.0.211,38107,172.217.11.10,443,6,04/08/2017 07:15:39,36883,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.22552395412521,36883.0,0.0,36883.0,36883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.112761977062604,27.112761977062604,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2947,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-54035-6,10.42.0.211,54035,172.217.11.10,443,6,04/08/2017 07:15:42,36775,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.384772263766145,36775.0,0.0,36775.0,36775.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.192386131883072,27.192386131883072,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-54634-6,10.42.0.211,54634,172.217.10.227,443,6,04/08/2017 07:15:32,10163320,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3935721791697988,3387773.3333333335,5779269.528907294,1.0061079E7,36982.0,102241.0,102241.0,0.0,102241.0,102241.0,1.0126338E7,1.0126338E7,0.0,1.0126338E7,1.0126338E7,0,0,0,0,72,72,0.1967860895848994,0.1967860895848994,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,332,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-42261-6,10.42.0.211,42261,172.217.10.110,443,6,04/08/2017 07:15:44,36731,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.1740763932373,81.6748795295527,18365.5,25896.37164739493,36677.0,54.0,0,0,0,0,0,54.0,54.0,0.0,54.0,54.0,1,0,0,0,32,64,27.22495984318423,54.44991968636846,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1486,413,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.227-10.42.0.211-443-54634-6,10.42.0.211,54634,172.217.10.227,443,6,04/08/2017 07:15:42,9278535,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.21555126967781013,9278535.0,0.0,9278535.0,9278535.0,9278535.0,9278535.0,0.0,9278535.0,9278535.0,0,0,0,0,0,0,0,0,0,64,0,0.21555126967781013,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-40399-6,10.42.0.211,40399,172.217.11.10,443,6,04/08/2017 07:16:10,345,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,89855.07246376813,5797.101449275363,345.0,0.0,345.0,345.0,345.0,345.0,0.0,345.0,345.0,0,0,0,0,0,1,0,0,0,64,0,5797.101449275363,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1946,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.5-54982-443-6,10.42.0.211,54982,31.13.80.5,443,6,04/08/2017 07:16:23,38606,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,802.9839921255763,77.70812827021706,19303.0,27220.782648557335,38551.0,55.0,0,0,0,0,0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,32,64,25.90270942340569,51.80541884681138,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.69.197-50166-443-6,10.42.0.211,50166,31.13.69.197,443,6,04/08/2017 07:16:23,252326,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.926254131559967,252326.0,0.0,252326.0,252326.0,252326.0,252326.0,0.0,252326.0,252326.0,0,0,0,0,0,0,0,0,0,64,0,7.926254131559967,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.69.197-50166-443-6,10.42.0.211,50166,31.13.69.197,443,6,04/08/2017 07:16:24,1071059,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.867310764392998,1071059.0,0.0,1071059.0,1071059.0,1071059.0,1071059.0,0.0,1071059.0,1071059.0,0,0,0,0,0,0,0,0,0,64,0,1.867310764392998,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.69.197-50166-443-6,10.42.0.211,50166,31.13.69.197,443,6,04/08/2017 07:16:27,3850352,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.5194330284607745,3850352.0,0.0,3850352.0,3850352.0,3850352.0,3850352.0,0.0,3850352.0,3850352.0,0,0,0,0,0,0,0,0,0,64,0,0.5194330284607745,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-59721-6,10.42.0.211,59721,172.217.11.10,443,6,04/08/2017 07:16:34,36831,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,841.682278515381,81.45312372729494,18415.5,25967.082325513584,36777.0,54.0,0,0,0,0,0,54.0,54.0,0.0,54.0,54.0,1,0,0,0,32,64,27.151041242431646,54.30208248486329,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2245,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-54750-6,10.42.0.211,54750,172.217.3.106,443,6,04/08/2017 07:16:04,30038364,14,10,460.0,4277.0,218.0,0.0,32.857142857142854,59.49771442650568,1418.0,0.0,427.7,611.6685831032648,157.69833536873045,0.7989782665926812,1306015.8260869565,6214404.51984974,2.9813376E7,11.0,3.0038364E7,2310643.3846153845,8263582.96661957,2.9813376E7,47.0,187409.0,20823.222222222223,30289.187583103718,85973.0,11.0,0,0,0,0,456,328,0.4660706555123974,0.3329076110802838,0.0,1418.0,189.48,426.22794371087406,181670.26,0,0,0,1,0,0,0,0,0.0,197.375,32.857142857142854,427.7,456,0,0,0,0,0,0,14,460,10,4277,65535,170,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-38159-6,10.42.0.211,38159,172.217.10.110,443,6,04/08/2017 07:16:36,126,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,246031.74603174604,15873.015873015873,126.0,0.0,126.0,126.0,126.0,126.0,0.0,126.0,126.0,0,0,0,0,0,1,0,0,0,64,0,15873.015873015873,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1448,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-38159-6,172.217.10.110,443,10.42.0.211,38159,6,04/08/2017 07:16:36,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-48146-6,10.42.0.211,48146,172.217.11.10,443,6,04/08/2017 07:16:38,90,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,255555.55555555553,22222.222222222223,90.0,0.0,90.0,90.0,90.0,90.0,0.0,90.0,90.0,0,0,0,0,0,1,0,0,0,64,0,22222.222222222223,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1637,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-48146-6,172.217.11.10,443,10.42.0.211,48146,6,04/08/2017 07:16:39,55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,64,0,36363.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.33-10.42.0.211-443-39616-6,172.217.11.33,443,10.42.0.211,39616,6,04/08/2017 07:16:47,361444,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300040946868672,180722.0,51475.95945681829,217121.0,144323.0,0,0,0,0,0,217121.0,217121.0,0.0,217121.0,217121.0,0,0,0,0,32,64,2.7666803156228905,5.533360631245781,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,350,1594,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.69.197-50166-443-6,10.42.0.211,50166,31.13.69.197,443,6,04/08/2017 07:16:38,15393339,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.12992632722504197,1.5393339E7,0.0,1.5393339E7,1.5393339E7,1.5393339E7,1.5393339E7,0.0,1.5393339E7,1.5393339E7,0,0,0,0,0,0,0,0,0,64,0,0.12992632722504197,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-45053-6,10.42.0.211,45053,172.217.10.110,443,6,04/08/2017 07:16:57,36152,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,636.2026997123257,55.32197388802833,36152.0,0.0,36152.0,36152.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.660986944014166,27.660986944014166,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,391,0,32,0,0,0,0,0,0,0,0,BENIGN
