Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.238-10.42.0.211-443-36367-6,10.42.0.211,36367,172.217.9.238,443,6,04/08/2017 09:37:59,57,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,543859.649122807,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,1,0,0,0,64,0,35087.71929824561,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-36367-6,172.217.9.238,443,10.42.0.211,36367,6,04/08/2017 09:37:59,57,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,64,0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,350,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
184.73.252.156-10.42.0.211-80-50344-6,10.42.0.211,50344,184.73.252.156,80,6,04/08/2017 09:38:19,15846,2,1,1161.0,0.0,827.0,334.0,580.5,348.6036431249679,0.0,0.0,0.0,0.0,73267.70162817115,189.32222642938282,7923.0,10673.069755229748,15470.0,376.0,376.0,376.0,0.0,376.0,376.0,0,0,0,0,0,1,0,0,0,64,32,126.21481761958854,63.10740880979427,0.0,827.0,373.75,340.72704129063,116094.91666666667,0,1,0,0,1,0,0,0,0.0,498.3333333333333,580.5,0.0,64,0,0,0,0,0,0,2,1161,1,0,1386,122,1,32,0,0,0,0,0,0,0,0,BENIGN
184.73.252.156-10.42.0.211-80-50344-6,10.42.0.211,50344,184.73.252.156,80,6,04/08/2017 09:38:19,224655,2,0,1161.0,0.0,1161.0,0.0,580.5,820.9509729575817,0,0,0,0,5167.924150363891,8.902539449377935,224655.0,0.0,224655.0,224655.0,224655.0,224655.0,0.0,224655.0,224655.0,0,0,0,0,0,0,0,0,0,64,0,8.902539449377935,0.0,0.0,1161.0,387.0,670.3036625291555,449307.0,0,0,0,0,1,1,0,0,0.0,580.5,580.5,0.0,64,0,0,0,0,0,0,2,1161,0,0,1386,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.21.185.43-43239-80-6,10.42.0.211,43239,23.21.185.43,80,6,04/08/2017 09:38:21,210425,7,6,1161.0,4090.0,827.0,0.0,165.85714285714286,316.997596505835,1448.0,0.0,681.6666666666667,752.4662561647974,24954.25923725793,61.77973149578234,17535.416666666664,23294.63544353012,51779.0,8.0,210425.0,35070.833333333336,45361.95542706097,113974.0,139.0,107095.0,21419.0,28967.54350130504,54486.0,8.0,0,0,0,0,232,200,33.26600926695973,28.51372222882262,0.0,1448.0,375.0714285714286,584.7437919275434,341925.3021978022,0,0,0,1,0,0,0,0,0.0,403.9230769230769,165.85714285714286,681.6666666666666,232,0,0,0,0,0,0,7,1161,6,4090,65535,124,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.144.179-37873-443-6,10.42.0.211,37873,23.23.144.179,443,6,04/08/2017 09:38:19,3485896,11,9,1406.0,4971.0,710.0,0.0,127.81818181818181,225.7599690741555,1448.0,0.0,552.3333333333334,648.6611210794123,1829.3718458611502,5.737405820483457,183468.2105263158,696259.9353005535,3054133.0,7.0,3485896.0,348589.60000000003,952007.3063148903,3054133.0,57.0,342802.0,42850.25,75466.53011340287,217248.0,7.0,0,0,0,0,360,296,3.1555732012659012,2.581832619217556,0.0,1448.0,303.66666666666663,493.1858000118549,243232.2333333333,0,0,0,1,0,0,0,0,0.0,318.85,127.81818181818181,552.3333333333334,360,0,0,0,0,0,0,11,1406,9,4971,65535,71,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.59.212.244-45627-443-6,10.42.0.211,45627,23.59.212.244,443,6,04/08/2017 09:38:23,24110,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1285.7735379510577,124.4296972210701,12055.0,16990.361738350362,24069.0,41.0,0,0,0,0,0,41.0,41.0,0.0,41.0,41.0,0,0,0,0,32,64,41.4765657403567,82.9531314807134,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,8170,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.23.144.179-37873-443-6,23.23.144.179,443,10.42.0.211,37873,6,04/08/2017 09:38:23,42,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,738095.2380952381,47619.04761904762,42.0,0.0,42.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,64,0,47619.04761904762,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,71,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
141.101.121.202-10.42.0.211-443-57416-6,10.42.0.211,57416,141.101.121.202,443,6,04/08/2017 09:38:21,1662784,31,71,614.0,97552.0,256.0,0.0,19.806451612903224,64.0507191501853,1460.0,0.0,1373.9718309859154,304.14042676890386,59037.13290481506,61.3429044301605,16463.20792079208,135919.53227864765,1359306.0,2.0,1662784.0,55426.13333333333,247991.78988714502,1359306.0,11.0,283141.0,4044.8714285714254,21772.037338792627,179553.0,5.0,0,0,0,0,640,1432,18.64343173857819,42.69947269158231,0.0,1460.0,953.0679611650486,679.4256839727807,461619.2600418809,0,0,0,1,0,0,0,0,2.0,962.4117647058823,19.806451612903224,1373.9718309859154,640,0,0,0,0,0,0,31,614,71,97552,65535,31,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.59.212.244-40656-443-6,10.42.0.211,40656,23.59.212.244,443,6,04/08/2017 09:38:23,24317,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1274.8283094131677,123.37048155611302,12158.5,17139.561269180726,24278.0,39.0,0,0,0,0,0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,32,64,41.12349385203767,82.24698770407534,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,8170,972,0,32,0,0,0,0,0,0,0,0,BENIGN
