Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-51297-6,157.240.18.36,443,10.42.0.211,51297,6,04/08/2017 10:19:01,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-51297-6,157.240.18.36,443,10.42.0.211,51297,6,04/08/2017 10:19:01,10837,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,3875.611331549322,369.10584109993545,3612.333333333333,5394.8733380250305,9824.0,99.0,0,0,0,0,0,1013.0,506.5,576.2920266670362,914.0,99.0,0,0,0,0,32,96,92.27646027498386,276.82938082495156,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,132,1436,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-45759-6,10.42.0.211,45759,172.217.10.106,443,6,04/08/2017 10:19:01,36900,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.200542005420054,36900.0,0.0,36900.0,36900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.100271002710027,27.100271002710027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,377,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.156.39-40569-443-6,10.42.0.211,40569,104.208.156.39,443,6,04/08/2017 10:18:59,2937254,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,97.71031037833296,2.04272425878048,587450.8,1138049.1732808384,2620674.0,16432.0,2937254.0,979084.6666666666,1423152.1959724945,2620674.0,93094.0,68746.0,68746.0,0.0,68746.0,68746.0,1,0,0,0,128,64,1.3618161725203202,0.6809080862601601,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.158.111-42546-443-6,10.42.0.211,42546,23.101.158.111,443,6,04/08/2017 10:19:02,49912,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.070524122455524,49912.0,0.0,49912.0,49912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.035262061227762,20.035262061227762,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-56920-443-6,10.42.0.211,56920,65.52.108.74,443,6,04/08/2017 10:19:02,49877,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.14796399141889,24938.5,35235.83801330685,49854.0,23.0,0,0,0,0,0,23.0,23.0,0.0,23.0,23.0,0,0,0,0,32,64,20.049321330472964,40.09864266094593,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.28.54-46297-443-6,10.42.0.211,46297,104.208.28.54,443,6,04/08/2017 10:19:02,49296,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.57124310288867,49296.0,0.0,49296.0,49296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.285621551444336,20.285621551444336,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.112.170-42961-443-6,10.42.0.211,42961,23.101.112.170,443,6,04/08/2017 10:19:02,49297,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.570420106700205,49297.0,0.0,49297.0,49297.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.285210053350102,20.285210053350102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.189.71-58548-443-6,10.42.0.211,58548,52.179.189.71,443,6,04/08/2017 10:19:02,49756,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.196157247367154,49756.0,0.0,49756.0,49756.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.098078623683577,20.098078623683577,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-36587-443-6,10.42.0.211,36587,52.179.184.189,443,6,04/08/2017 10:19:02,50076,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.93929227574087,50076.0,0.0,50076.0,50076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.969646137870434,19.969646137870434,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
