Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-13.107.3.128-40956-443-6,10.42.0.42,40956,13.107.3.128,443,6,04/08/2017 07:52:17,35648,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.15619389587074,17824.0,25195.628827239063,35640.0,8.0,0,0,0,0,0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,32,64,28.052064631956913,56.104129263913826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-50187-6,10.42.0.42,50187,172.217.3.106,443,6,04/08/2017 07:52:17,36076,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4385186827808,36076.0,0.0,36076.0,36076.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.7192593413904,27.7192593413904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1904,191,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.117.145.132-37229-443-6,10.42.0.42,37229,40.117.145.132,443,6,04/08/2017 07:52:17,46794,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.74052228918237,46794.0,0.0,46794.0,46794.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.370261144591186,21.370261144591186,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.179.189.71-42857-443-6,10.42.0.42,42857,52.179.189.71,443,6,04/08/2017 07:52:17,49908,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0737356736395,49908.0,0.0,49908.0,49908.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.03686783681975,20.03686783681975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-51774-443-6,10.42.0.42,51774,65.52.108.74,443,6,04/08/2017 07:52:17,49938,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.07449237053947,24969.0,35308.67001176906,49936.0,2.0,0,0,0,0,0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,32,64,20.02483079017982,40.04966158035964,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.101.158.111-45161-443-6,10.42.0.42,45161,23.101.158.111,443,6,04/08/2017 07:52:17,49901,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.07935712711168,49901.0,0.0,49901.0,49901.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.03967856355584,20.03967856355584,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-33170-6,10.42.0.42,33170,157.56.52.23,40033,6,04/08/2017 07:52:17,84476,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67536341682845,84476.0,0.0,84476.0,84476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.837681708414225,11.837681708414225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1417,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.216.55-48774-12350-6,10.42.0.42,48774,91.190.216.55,12350,6,04/08/2017 07:52:17,119883,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.682932525879398,119883.0,0.0,119883.0,119883.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.341466262939699,8.341466262939699,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-40.122.162.208-33747-443-6,10.42.0.42,33747,40.122.162.208,443,6,04/08/2017 07:52:17,181303,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54688560034859,90651.5,57801.02961453195,131523.0,49780.0,181303.0,181303.0,0.0,181303.0,181303.0,0,0,0,0,0,0,0,0,0,64,20,11.031257066899059,5.515628533449529,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,1595,0,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.99.113.163-44957-443-6,10.42.0.42,44957,23.99.113.163,443,6,04/08/2017 07:52:17,229133,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.728555031357335,229133.0,0.0,229133.0,229133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.364277515678667,4.364277515678667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
