Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.10-10.42.0.42-443-59011-6,10.42.0.42,59011,172.217.10.10,443,6,04/08/2017 09:23:36,189,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,164021.164021164,10582.010582010582,189.0,0.0,189.0,189.0,189.0,189.0,0.0,189.0,189.0,0,0,0,0,0,1,0,0,0,64,0,10582.010582010582,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1489,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.42-443-59011-6,172.217.10.10,443,10.42.0.42,59011,6,04/08/2017 09:23:36,141,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14184.397163120566,141.0,0.0,141.0,141.0,141.0,141.0,0.0,141.0,141.0,0,0,0,0,0,0,0,0,0,64,0,14184.397163120566,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,404,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-46509-443-6,31.13.80.37,443,10.42.0.42,46509,6,04/08/2017 09:23:41,27,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1555555.5555555555,74074.07407407407,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,1,0,0,0,64,0,74074.07407407407,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-46509-443-6,31.13.80.37,443,10.42.0.42,46509,6,04/08/2017 09:23:41,80133,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,524.1286361424133,24.95850648297206,80133.0,0.0,80133.0,80133.0,80133.0,80133.0,0.0,80133.0,80133.0,0,0,0,0,0,0,0,0,0,64,0,24.95850648297206,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-46509-443-6,10.42.0.42,46509,31.13.80.37,443,6,04/08/2017 09:23:41,14976,5,0,42.0,0.0,42.0,0.0,8.4,18.782971010998235,0,0,0,0,2804.4871794871797,333.86752136752136,3744.0,6771.062693551138,13875.0,8.0,14976.0,3744.0,6771.062693551138,13875.0,8.0,0,0,0,0,0,0,0,0,0,184,0,333.86752136752136,0.0,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,0,0,0,0.0,8.4,8.4,0.0,184,0,0,0,0,0,0,5,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-56036-6,10.42.0.42,56036,172.217.9.234,443,6,04/08/2017 09:23:42,36807,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.33749015132991,36807.0,0.0,36807.0,36807.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.168745075664955,27.168745075664955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2949,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-43579-6,10.42.0.42,43579,172.217.9.234,443,6,04/08/2017 09:23:44,36336,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.04183179216204,36336.0,0.0,36336.0,36336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.52091589608102,27.52091589608102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.142-10.42.0.42-443-50650-6,10.42.0.42,50650,172.217.10.142,443,6,04/08/2017 09:23:48,36246,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,634.5527782375987,55.17850245544336,36246.0,0.0,36246.0,36246.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.58925122772168,27.58925122772168,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.42-443-37721-6,10.42.0.42,37721,172.217.9.234,443,6,04/08/2017 09:23:52,36508,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,849.1289580365948,54.78251342171579,36508.0,0.0,36508.0,36508.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.391256710857895,27.391256710857895,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1774,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.42-443-38276-6,10.42.0.42,38276,172.217.10.10,443,6,04/08/2017 09:23:54,36040,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.49389567147613,36040.0,0.0,36040.0,36040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.746947835738066,27.746947835738066,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
