Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.151-443-50403-6,10.42.0.151,50403,172.217.12.170,443,6,04/08/2017 10:14:16,213,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,107981.220657277,9389.671361502347,213.0,0.0,213.0,213.0,213.0,213.0,0.0,213.0,213.0,0,0,0,0,0,1,0,0,0,64,0,9389.671361502347,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-59000-6,10.42.0.151,59000,172.217.12.170,443,6,04/08/2017 10:14:17,36620,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.614964500273075,36620.0,0.0,36620.0,36620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.307482250136538,27.307482250136538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-57158-6,10.42.0.151,57158,172.217.12.170,443,6,04/08/2017 10:14:20,36542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73154178753216,36542.0,0.0,36542.0,36542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.36577089376608,27.36577089376608,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,352,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.17.131-10.42.0.151-443-52503-6,10.42.0.151,52503,172.217.17.131,443,6,04/08/2017 10:14:21,120278,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6281447978849,120278.0,0.0,120278.0,120278.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.31407239894245,8.31407239894245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.151-443-58781-6,10.42.0.151,58781,172.217.3.110,443,6,04/08/2017 10:14:22,36260,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.15719801434087,36260.0,0.0,36260.0,36260.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.578599007170435,27.578599007170435,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1419,192,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.151-443-42125-6,10.42.0.151,42125,172.217.3.110,443,6,04/08/2017 10:14:22,36364,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.999450005499945,36364.0,0.0,36364.0,36364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.499725002749972,27.499725002749972,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1436,192,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-37202-6,10.42.0.151,37202,172.217.12.174,443,6,04/08/2017 10:14:25,36512,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.77651183172655,36512.0,0.0,36512.0,36512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.388255915863276,27.388255915863276,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1901,533,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-50174-6,10.42.0.151,50174,172.217.12.174,443,6,04/08/2017 10:14:25,36587,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.664224997950086,36587.0,0.0,36587.0,36587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.332112498975043,27.332112498975043,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1724,447,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-46845-6,10.42.0.151,46845,172.217.12.170,443,6,04/08/2017 10:14:25,36581,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.673191000792755,36581.0,0.0,36581.0,36581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.336595500396378,27.336595500396378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,434,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.204.113-10.42.0.151-443-50833-6,10.42.0.151,50833,173.194.204.113,443,6,04/08/2017 10:14:15,10019088,13,10,1355.0,6271.0,551.0,0.0,104.23076923076924,204.25766156424172,1418.0,0.0,627.1,618.8504486366459,761.1471223728148,2.2956181241246707,455413.0909090909,2024742.833908283,9519794.0,8.0,1.0019088E7,834924.0,2735377.9076487934,9519794.0,8.0,447222.0,49691.333333333336,61819.707009577454,158987.0,13.0,0,0,0,0,424,328,1.297523287548727,0.9980948365759439,0.0,1418.0,317.74999999999994,493.3493558894364,243393.58695652182,0,0,0,1,0,0,0,0,0.0,331.5652173913044,104.23076923076923,627.1,424,0,0,0,0,0,0,13,1355,10,6271,65535,179,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-59652-6,10.42.0.151,59652,172.217.12.170,443,6,04/08/2017 10:14:16,9605617,11,10,8300.0,837.0,1368.0,0.0,754.5454545454545,671.538586178987,586.0,0.0,83.7,189.0279520776403,951.2142738982826,2.1862208330813107,480280.85000000003,2123800.440603646,9503171.0,2.0,9605617.0,960561.7000000001,3001643.301126496,9503171.0,2.0,63650.0,7072.222222222223,13549.227595861117,36842.0,5.0,1,0,0,0,352,320,1.1451632935187817,1.0410575395625288,0.0,1368.0,429.5000000000001,585.662323479031,343000.35714285716,0,1,0,0,1,0,0,0,0.0,449.95238095238096,754.5454545454545,83.7,352,0,0,0,0,0,0,11,8300,10,837,1602,574,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-46845-6,10.42.0.151,46845,172.217.12.170,443,6,04/08/2017 10:14:25,8281,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.51672503320856,8281.0,0.0,8281.0,8281.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,120.75836251660428,120.75836251660428,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,434,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-37165-6,10.42.0.151,37165,172.217.12.174,443,6,04/08/2017 10:14:25,36322,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.063047189031444,36322.0,0.0,36322.0,36322.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.531523594515722,27.531523594515722,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1768,369,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-39907-6,10.42.0.151,39907,172.217.12.206,443,6,04/08/2017 10:14:25,36336,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.04183179216204,36336.0,0.0,36336.0,36336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.52091589608102,27.52091589608102,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1719,195,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.2-10.42.0.151-443-39432-6,10.42.0.151,39432,172.217.10.2,443,6,04/08/2017 10:14:25,36970,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09791723018663,36970.0,0.0,36970.0,36970.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.048958615093316,27.048958615093316,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-54097-6,10.42.0.151,54097,172.217.12.138,443,6,04/08/2017 10:14:26,35984,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.58025789239662,35984.0,0.0,35984.0,35984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.79012894619831,27.79012894619831,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.18.131-10.42.0.151-443-43106-6,10.42.0.151,43106,172.217.18.131,443,6,04/08/2017 10:14:26,142939,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.991982593973653,142939.0,0.0,142939.0,142939.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6.995991296986826,6.995991296986826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,179,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.195-10.42.0.151-443-38845-6,10.42.0.151,38845,216.58.219.195,443,6,04/08/2017 10:14:29,36579,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.676180322042704,36579.0,0.0,36579.0,36579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.338090161021352,27.338090161021352,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.138-10.42.0.151-443-54080-6,10.42.0.151,54080,172.217.12.138,443,6,04/08/2017 10:14:29,37247,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.695599645609036,37247.0,0.0,37247.0,37247.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.847799822804518,26.847799822804518,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2123,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-45747-6,10.42.0.151,45747,172.217.12.170,443,6,04/08/2017 10:14:34,36509,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.78101290092854,36509.0,0.0,36509.0,36509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.39050645046427,27.39050645046427,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,399,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.80.5-55245-443-6,10.42.0.151,55245,31.13.80.5,443,6,04/08/2017 10:14:36,192597,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,6656.386132701963,67.49845532381086,16049.750000000002,31983.160521308997,113209.0,3.0,57213.0,11442.6,12142.826207271519,24950.0,485.0,170460.0,28410.0,43850.48195858285,113209.0,3.0,0,0,0,0,200,232,31.153133226374244,36.345322097436615,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-56928-6,10.42.0.151,56928,172.217.12.174,443,6,04/08/2017 10:14:40,36555,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.1888934482288,54.71207769115033,36555.0,0.0,36555.0,36555.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.356038845575164,27.356038845575164,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.5-10.42.0.151-443-39229-6,10.42.0.151,39229,172.217.11.5,443,6,04/08/2017 10:14:17,23914468,42,41,3518.0,43279.0,846.0,0.0,83.76190476190479,230.23262991854614,1418.0,0.0,1055.585365853658,599.0929383497084,1956.8488832785242,3.4707023380156317,291639.8536585366,2209955.9246995896,1.9946161E7,2.0,2.3914468E7,583279.7073170731,3118192.88059732,1.9946161E7,6.0,3820647.0,95516.17499999997,350845.1492425396,2017125.0,2.0,1,0,0,0,1344,1312,1.7562590144175485,1.714443323598083,0.0,1418.0,567.1785714285717,660.4376453464065,436177.8833907058,0,1,0,0,1,0,0,0,0.0,574.0120481927711,83.76190476190476,1055.5853658536585,1344,0,0,0,0,0,0,42,3518,41,43279,1679,464,5,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-50402-6,10.42.0.151,50402,172.217.12.170,443,6,04/08/2017 10:14:43,620129,12,11,1241.0,4815.0,964.0,0.0,103.41666666666664,275.89044542859375,1418.0,0.0,437.72727272727275,547.3476209702735,9765.71003775021,37.08905727679241,28187.68181818182,42275.76631434808,145098.0,7.0,583467.0,53042.454545454544,62077.45870662496,161377.0,136.0,583247.0,58324.7,76019.75457303479,190533.0,7.0,0,0,0,0,404,360,19.350812492239516,17.73824478455289,0.0,1418.0,252.33333333333337,444.33787248842094,197436.14492753622,0,0,0,1,0,0,0,0,0.0,263.30434782608694,103.41666666666667,437.72727272727275,404,0,0,0,0,0,0,12,1241,11,4815,65535,362,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-49488-6,10.42.0.151,49488,172.217.12.174,443,6,04/08/2017 10:14:50,39584,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,581.0428455941794,50.52546483427648,39584.0,0.0,39584.0,39584.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,25.26273241713824,25.26273241713824,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,507,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-36482-6,10.42.0.151,36482,172.217.12.174,443,6,04/08/2017 10:14:50,36641,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.7121257607598,54.58366310963129,36641.0,0.0,36641.0,36641.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.291831554815644,27.291831554815644,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-43943-443-6,31.13.71.37,443,10.42.0.151,43943,6,04/08/2017 10:15:03,200,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,210000.0,10000.0,200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,0,0,0,0,0,1,0,0,0,64,0,10000.0,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-43943-443-6,10.42.0.151,43943,31.13.71.37,443,6,04/08/2017 10:15:03,466,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,90128.75536480687,6437.768240343347,233.0,33.94112549695428,257.0,209.0,466.0,233.0,33.94112549695428,257.0,209.0,0,0,0,0,0,0,0,0,0,96,0,6437.768240343347,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1631,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-59007-6,10.42.0.151,59007,172.217.12.170,443,6,04/08/2017 10:14:40,31100859,17,10,617.0,5312.0,218.0,0.0,36.29411764705883,62.94319334316693,1418.0,0.0,531.1999999999999,618.7810239135938,190.63782128975924,0.8681432239540393,1196186.8846153847,5948546.056118416,3.0359714E7,12.0,3.1100859E7,1943803.6875,7578405.753477062,3.0359899E7,12.0,704394.0,78266.0,109006.62404643123,310877.0,17.0,0,0,0,0,564,340,0.5466086965636544,0.32153452739038496,0.0,1418.0,211.75000000000006,434.5308773071636,188817.08333333328,0,0,0,1,0,0,0,0,0.0,219.59259259259258,36.294117647058826,531.2,564,0,0,0,0,0,0,17,617,10,5312,65535,340,7,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-56398-6,10.42.0.151,56398,172.217.12.170,443,6,04/08/2017 10:15:11,38136,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.44388504300398,38136.0,0.0,38136.0,38136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.22194252150199,26.22194252150199,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.151-443-39577-6,10.42.0.151,39577,172.217.12.174,443,6,04/08/2017 10:15:19,36698,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.7371518883863,81.74832415935472,18349.0,25895.664540613743,36660.0,38.0,0,0,0,0,0,38.0,38.0,0.0,38.0,38.0,1,0,0,0,32,64,27.249441386451576,54.49888277290315,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
