Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.151-23.99.113.163-33203-443-6,23.99.113.163,443,10.42.0.151,33203,6,04/08/2017 04:03:58,88194,1,2,309.0,85.0,309.0,309.0,309.0,0.0,85.0,0.0,42.5,60.10407640085654,4467.424087806427,34.015919450302746,44097.0,3556.747109368334,46612.0,41582.0,0,0,0,0,0,41582.0,41582.0,0.0,41582.0,41582.0,1,0,0,0,32,64,11.33863981676758,22.67727963353516,0.0,309.0,175.75,157.72840581201598,24878.25,0,1,0,0,1,1,0,0,2.0,234.33333333333334,309.0,42.5,32,0,0,0,0,0,0,1,309,2,85,513,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.151-443-34204-6,10.42.0.151,34204,172.217.3.106,443,6,04/08/2017 04:03:59,36734,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.44547285893177,36734.0,0.0,36734.0,36734.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.222736429465886,27.222736429465886,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.195-10.42.0.151-443-43628-6,10.42.0.151,43628,172.217.6.195,443,6,04/08/2017 04:03:59,36875,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.237288135593225,36875.0,0.0,36875.0,36875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.118644067796613,27.118644067796613,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1591,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.151-443-53920-6,10.42.0.151,53920,172.217.10.106,443,6,04/08/2017 04:04:01,36581,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.673191000792755,36581.0,0.0,36581.0,36581.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.336595500396378,27.336595500396378,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,4338,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-42647-6,10.42.0.151,42647,172.217.12.206,443,6,04/08/2017 04:04:03,53,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,584905.6603773584,37735.84905660377,53.0,0.0,53.0,53.0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,0,1,0,0,0,64,0,37735.84905660377,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-45205-6,10.42.0.151,45205,172.217.12.206,443,6,04/08/2017 04:04:04,36819,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,624.6774763029957,54.31978054808659,36819.0,0.0,36819.0,36819.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.159890274043295,27.159890274043295,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1591,254,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-39229-6,10.42.0.151,39229,172.217.12.206,443,6,04/08/2017 04:04:09,36568,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,628.965215488952,54.69262743382192,36568.0,0.0,36568.0,36568.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.34631371691096,27.34631371691096,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,196,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.151-443-40560-6,10.42.0.151,40560,172.217.10.106,443,6,04/08/2017 04:04:12,36283,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.12223355290356,36283.0,0.0,36283.0,36283.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.56111677645178,27.56111677645178,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2123,423,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-44129-6,10.42.0.151,44129,172.217.12.206,443,6,04/08/2017 04:04:13,36539,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.4644078929363,54.73603546895098,36539.0,0.0,36539.0,36539.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.36801773447549,27.36801773447549,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.151-443-47222-6,10.42.0.151,47222,172.217.10.106,443,6,04/08/2017 04:04:17,36971,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09645397744178,36971.0,0.0,36971.0,36971.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.04822698872089,27.04822698872089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2078,350,0,32,0,0,0,0,0,0,0,0,BENIGN
