Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.110-10.42.0.151-443-53101-6,10.42.0.151,53101,172.217.10.110,443,6,04/08/2017 09:14:06,36619,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.61645593817418,36619.0,0.0,36619.0,36619.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.30822796908709,27.30822796908709,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2699,648,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.151-443-35384-6,10.42.0.151,35384,172.217.9.238,443,6,04/08/2017 09:14:06,37132,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.86189809328881,37132.0,0.0,37132.0,37132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.930949046644404,26.930949046644404,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1768,388,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.226-10.42.0.151-443-56410-6,10.42.0.151,56410,172.217.9.226,443,6,04/08/2017 09:14:06,37193,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.7735595407738,37193.0,0.0,37193.0,37193.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.8867797703869,26.8867797703869,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.151-443-54483-6,10.42.0.151,54483,172.217.10.74,443,6,04/08/2017 09:14:06,37170,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.80683346785042,37170.0,0.0,37170.0,37170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.90341673392521,26.90341673392521,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1706,574,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.204.100-10.42.0.151-443-52076-6,10.42.0.151,52076,173.194.204.100,443,6,04/08/2017 09:14:06,49563,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3526824445655,49563.0,0.0,49563.0,49563.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.17634122228275,20.17634122228275,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1635,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.151-443-46281-6,10.42.0.151,46281,172.217.10.74,443,6,04/08/2017 09:14:14,36884,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.22405379026136,36884.0,0.0,36884.0,36884.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.11202689513068,27.11202689513068,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-58000-6,10.42.0.151,58000,172.217.12.142,443,6,04/08/2017 09:14:15,35971,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.60034472213727,35971.0,0.0,35971.0,35971.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.800172361068636,27.800172361068636,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1419,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.151-443-43407-6,10.42.0.151,43407,172.217.12.142,443,6,04/08/2017 09:14:15,36653,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.565792704553516,36653.0,0.0,36653.0,36653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.282896352276758,27.282896352276758,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1438,383,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.28-10.42.0.151-40013-37067-6,10.42.0.151,37067,157.56.52.28,40013,6,04/08/2017 09:14:15,649770,9,7,125.0,110.0,68.0,0.0,13.88888888888889,25.867182125448284,68.0,0.0,15.714285714285714,26.189783540624425,361.6664358157502,24.6240977576681,43318.00000000001,38764.178618926,132381.0,554.0,649770.0,81221.25,62077.202377937654,216878.0,20086.0,432985.0,72164.16666666667,42989.61048168111,119639.0,554.0,0,0,0,0,296,232,13.851054988688306,10.773042768979794,0.0,68.0,13.823529411764705,24.602426948671262,605.2794117647059,0,0,0,1,0,0,0,0,0.0,14.6875,13.88888888888889,15.714285714285714,296,0,0,0,0,0,0,9,125,7,110,65535,29,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.18.131-10.42.0.151-443-41004-6,10.42.0.151,41004,172.217.18.131,443,6,04/08/2017 09:14:17,141159,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.168420008642736,141159.0,0.0,141159.0,141159.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.084210004321368,7.084210004321368,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,175,0,32,0,0,0,0,0,0,0,0,BENIGN
