Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.211-443-44462-6,10.42.0.211,44462,172.217.10.42,443,6,05/08/2017 12:03:49,36273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.13743004438563,36273.0,0.0,36273.0,36273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.568715022192816,27.568715022192816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-52973-6,157.240.18.36,443,10.42.0.211,52973,6,05/08/2017 12:03:54,131,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,320610.68702290073,15267.175572519083,131.0,0.0,131.0,131.0,131.0,131.0,0.0,131.0,131.0,0,0,0,0,0,1,0,0,0,64,0,15267.175572519083,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-52973-6,10.42.0.211,52973,157.240.18.36,443,6,05/08/2017 12:03:54,305,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,137704.9180327869,9836.065573770493,152.5,64.34671708797582,198.0,107.0,305.0,152.5,64.34671708797582,198.0,107.0,0,0,0,0,0,0,0,0,0,96,0,9836.065573770493,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1453,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-33279-6,10.42.0.211,33279,172.217.3.110,443,6,05/08/2017 12:04:00,220286,7,8,1076.0,4588.0,821.0,0.0,153.71428571428572,301.32192877702204,1418.0,0.0,573.5,670.8663907856127,25712.028907874308,68.09329689585357,15734.714285714286,19781.63750485855,62052.0,54.0,158180.0,26363.333333333336,21933.861535686476,53283.0,1166.0,183493.0,26213.285714285717,29673.34638309991,67390.0,54.0,0,0,0,0,232,264,31.776871884731666,36.3164250111219,0.0,1418.0,354.0,546.9162032097179,299117.3333333334,0,0,0,1,0,0,0,0,1.0,377.6,153.71428571428572,573.5,232,0,0,0,0,0,0,7,1076,8,4588,65535,177,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-33279-6,10.42.0.211,33279,172.217.3.110,443,6,05/08/2017 12:04:00,140,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,164285.7142857143,14285.714285714286,140.0,0.0,140.0,140.0,140.0,140.0,0.0,140.0,140.0,0,0,0,0,0,1,0,0,0,64,0,14285.714285714286,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.181.192-36820-443-6,10.42.0.211,36820,23.194.181.192,443,6,05/08/2017 12:04:01,23880,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1298.1574539363485,125.6281407035176,11940.0,16823.484537990338,23836.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,32,64,41.87604690117253,83.75209380234506,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.194.110.7-33238-443-6,10.42.0.211,33238,23.194.110.7,443,6,05/08/2017 12:04:01,23958,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1293.9310459971616,125.2191334835963,11979.0,16925.3079144812,23947.0,11.0,0,0,0,0,0,11.0,11.0,0.0,11.0,11.0,0,0,0,0,32,64,41.73971116119876,83.47942232239753,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-40.117.145.132-47905-443-6,10.42.0.211,47905,40.117.145.132,443,6,05/08/2017 12:04:01,46542,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.971939323621676,46542.0,0.0,46542.0,46542.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,21.485969661810838,21.485969661810838,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-46943-443-6,10.42.0.211,46943,65.52.108.74,443,6,05/08/2017 12:04:01,49949,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.061262487737494,24974.5,35259.87964386719,49907.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,32,64,20.02042082924583,40.04084165849166,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-33282-443-6,10.42.0.211,33282,52.179.184.189,443,6,05/08/2017 12:04:01,50003,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.99760014399136,50003.0,0.0,50003.0,50003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.99880007199568,19.99880007199568,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
