Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
173.194.68.139-10.42.0.211-443-47154-6,10.42.0.211,47154,173.194.68.139,443,6,05/08/2017 02:09:04,793,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,29003.78310214376,2522.068095838588,793.0,0.0,793.0,793.0,793.0,793.0,0.0,793.0,793.0,0,0,0,0,0,1,0,0,0,64,0,2522.068095838588,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-46.105.112.160-56456-80-6,10.42.0.211,56456,46.105.112.160,80,6,05/08/2017 02:09:20,366215,5,3,351.0,189.0,351.0,0.0,70.2,156.97197202048523,189.0,0.0,63.0,109.11920087683927,1474.5436423958604,21.845090998457188,52316.42857142857,62218.870966015726,152897.0,12.0,366215.0,91553.75,60903.45775282385,152897.0,7286.0,110921.0,55460.5,78416.02071324456,110909.0,12.0,0,0,0,0,168,104,13.653181874035743,8.191909124421446,0.0,351.0,60.0,125.75869751233908,15815.25,0,0,0,1,0,0,0,0,0.0,67.5,70.2,63.0,168,0,0,0,0,0,0,5,351,3,189,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-66.231.239.124-42991-443-6,10.42.0.211,42991,66.231.239.124,443,6,05/08/2017 02:09:26,622894,10,7,912.0,3713.0,576.0,0.0,91.19999999999999,185.16587158545173,1460.0,0.0,530.4285714285714,665.3174322940033,7425.0193451855375,27.291962998519814,38930.87500000001,77479.01176436966,308675.0,7.0,622894.0,69210.44444444445,123946.80246290253,388376.0,9.0,516768.0,86128.0,121543.5843440533,308675.0,7.0,0,0,0,0,220,152,16.054095881482244,11.23786711703757,0.0,1460.0,256.94444444444446,474.5740470609311,225220.52614379086,0,0,0,1,0,0,0,0,0.0,272.05882352941177,91.2,530.4285714285714,220,0,0,0,0,0,0,10,912,7,3713,65535,31,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-66.231.239.124-42991-443-6,66.231.239.124,443,10.42.0.211,42991,6,05/08/2017 02:09:27,244,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,127049.18032786886,12295.081967213115,122.0,159.80613254815975,235.0,9.0,244.0,122.0,159.80613254815975,235.0,9.0,0,0,0,0,0,0,0,0,0,60,0,12295.081967213115,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,60,0,0,0,0,0,0,3,31,0,0,33,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.27-60764-443-6,10.42.0.211,60764,106.11.94.27,443,6,05/08/2017 02:09:22,6864895,11,10,1493.0,4187.0,709.0,0.0,135.72727272727275,236.5958963756941,1452.0,0.0,418.7,577.5263437954825,827.3979427216294,3.059041689639827,343244.75,1105986.9517326273,4996901.0,7.0,1867952.0,186795.19999999998,185212.90208166145,451262.0,536.0,6530692.0,725632.4444444445,1625030.4953609419,5000186.0,7.0,0,0,0,0,240,220,1.602355170763719,1.4566865188761082,0.0,1452.0,258.1818181818182,439.2022677931343,192898.63203463206,0,0,0,1,0,0,0,0,0.0,270.4761904761905,135.72727272727272,418.7,240,0,0,0,0,0,0,11,1493,10,4187,65535,17725,4,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-38730-6,10.42.0.211,38730,198.11.136.24,443,6,05/08/2017 02:09:24,5434797,8,9,874.0,3601.0,537.0,0.0,109.25,190.21848340414093,1452.0,0.0,400.1111111111111,610.1646180426321,823.3978196425736,3.127991717077933,339674.8125,1232926.4849337514,4961180.0,10.0,473398.0,67628.28571428571,55829.40473058466,126744.0,128.0,5346144.0,668268.0,1751170.3103962871,4999926.0,10.0,0,0,0,0,180,200,1.4719961021543215,1.6559956149236117,0.0,1452.0,248.61111111111111,463.7087243580302,215025.78104575168,0,0,0,1,0,0,0,0,1.0,263.2352941176471,109.25,400.1111111111111,180,0,0,0,0,0,0,8,874,9,3601,65535,16647,3,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-38730-6,10.42.0.211,38730,198.11.136.24,443,6,05/08/2017 02:09:30,142962,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,20.984597305577704,71481.0,54928.05476257101,110321.0,32641.0,142962.0,71481.0,54928.05476257101,110321.0,32641.0,0,0,0,0,0,0,0,0,0,60,0,20.984597305577704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.27-60764-443-6,10.42.0.211,60764,106.11.94.27,443,6,05/08/2017 02:09:29,758764,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.9537985460564813,379382.0,484147.52779705485,721726.0,37038.0,758764.0,379382.0,484147.52779705485,721726.0,37038.0,0,0,0,0,0,0,0,0,0,60,0,3.9537985460564813,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,60,0,0,0,0,0,0,3,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.92.6-35584-443-6,10.42.0.211,35584,106.11.92.6,443,6,05/08/2017 02:09:24,5946495,8,9,838.0,4088.0,497.0,0.0,104.75,177.81591604802986,1452.0,0.0,454.22222222222223,594.5449473710498,828.3871423418334,2.85882692241396,371655.9375,1237954.465260898,4996186.0,12.0,950297.0,135756.7142857143,144432.6975142336,295703.0,3624.0,5652918.0,706614.7499999999,1740316.039893719,4999805.0,12.0,0,0,0,0,180,200,1.345330316430099,1.5134966059838613,0.0,1452.0,273.66666666666663,463.09432402176606,214456.35294117645,0,0,0,1,0,0,0,0,1.0,289.7647058823529,104.75,454.22222222222223,180,0,0,0,0,0,0,8,838,9,4088,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-38732-6,10.42.0.211,38732,198.11.136.24,443,6,05/08/2017 02:09:24,5984161,13,11,2060.0,4435.0,599.0,0.0,158.46153846153845,245.59099311138408,1452.0,0.0,403.1818181818182,545.888783211712,1085.3651831894229,4.010587281993248,260180.91304347827,1025811.3734195933,4950078.0,8.0,1034070.0,86172.50000000001,107864.93694978836,399355.0,69.0,5896474.0,589647.4,1556853.3501832897,5000135.0,8.0,0,0,0,0,280,240,2.1724014444130093,1.838185837580239,0.0,1452.0,259.8,414.87277166218877,172119.41666666663,0,0,0,1,0,0,0,0,0.0,270.625,158.46153846153845,403.1818181818182,280,0,0,0,0,0,0,13,2060,11,4435,65535,19168,5,20,0,0,0,0,0,0,0,0,BENIGN
