Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.211-443-42760-6,10.42.0.211,42760,216.58.219.202,443,6,05/08/2017 05:36:02,36906,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.191730341949814,36906.0,0.0,36906.0,36906.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.095865170974907,27.095865170974907,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1904,189,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.36-10.42.0.211-443-59313-6,10.42.0.211,59313,172.217.10.36,443,6,05/08/2017 05:36:02,37015,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0321491287316,37015.0,0.0,37015.0,37015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0160745643658,27.0160745643658,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.97-10.42.0.211-443-50041-6,10.42.0.211,50041,172.217.3.97,443,6,05/08/2017 05:36:02,37153,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.831453718407666,37153.0,0.0,37153.0,37153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.915726859203833,26.915726859203833,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-48924-6,10.42.0.211,48924,216.58.219.202,443,6,05/08/2017 05:36:02,37002,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.051132371223176,37002.0,0.0,37002.0,37002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.025566185611588,27.025566185611588,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-55509-6,157.240.18.36,443,10.42.0.211,55509,6,05/08/2017 05:36:03,52,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,807692.3076923077,38461.53846153846,52.0,0.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,1,0,0,0,64,0,38461.53846153846,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-55509-6,157.240.18.36,443,10.42.0.211,55509,6,05/08/2017 05:36:03,7985,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,5259.862241703193,500.9392611145898,2661.666666666667,3897.295002092263,7160.0,300.0,0,0,0,0,0,825.0,412.5,159.0990257669732,525.0,300.0,0,0,0,0,32,96,125.23481527864745,375.70444583594235,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,132,1436,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.129.140-10.42.0.211-80-51075-6,10.42.0.211,51075,151.101.129.140,80,6,05/08/2017 05:36:03,194210,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,3733.0724473508058,36.04345811235261,32368.333333333332,64349.134404952696,162824.0,50.0,178467.0,89233.5,126093.40254152872,178395.0,72.0,178639.0,59546.33333333333,102810.01109976272,178261.0,50.0,0,0,0,0,104,136,15.447196333865405,20.596261778487204,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.129.140-10.42.0.211-80-51075-6,151.101.129.140,80,10.42.0.211,51075,6,05/08/2017 05:36:04,3408,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.7089201877934,1136.0,1005.4431858638259,2090.0,86.0,0,0,0,0,0,2176.0,1088.0,1417.0419894978413,2090.0,86.0,0,0,0,0,32,96,293.42723004694835,880.2816901408451,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,3.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,3,0,59,1386,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.129.140-10.42.0.211-80-51076-6,10.42.0.211,51076,151.101.129.140,80,6,05/08/2017 05:36:03,10118475,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3953164879094923,3372825.0,5687932.953719831,9940133.0,15479.0,1.0118475E7,5059237.5,6902628.612625809,9940133.0,178342.0,0,0,0,0,0,0,0,0,0,104,40,0.2964873659321192,0.09882912197737308,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.129.140-10.42.0.211-80-51076-6,151.101.129.140,80,10.42.0.211,51076,6,05/08/2017 05:36:13,4538,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,440.7227853680035,4538.0,0.0,4538.0,4538.0,4538.0,4538.0,0.0,4538.0,4538.0,0,0,0,0,0,0,0,0,0,64,0,440.7227853680035,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,57,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
