Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.202-10.42.0.211-443-34140-6,10.42.0.211,34140,172.217.6.202,443,6,05/08/2017 06:40:12,36874,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23875901719369,36874.0,0.0,36874.0,36874.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.119379508596847,27.119379508596847,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,189,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-47239-6,10.42.0.211,47239,172.217.6.202,443,6,05/08/2017 06:40:14,36949,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.12866383393325,36949.0,0.0,36949.0,36949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.064331916966626,27.064331916966626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2905,181,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-52917-6,157.240.18.36,443,10.42.0.211,52917,6,05/08/2017 06:40:23,21,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,2000000.0,95238.09523809524,21.0,0.0,21.0,21.0,21.0,21.0,0.0,21.0,21.0,0,0,0,0,0,1,0,0,0,64,0,95238.09523809524,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-52917-6,157.240.18.36,443,10.42.0.211,52917,6,05/08/2017 06:40:23,96710,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,434.2880777582463,51.700961637886465,24177.5,46300.171032801445,93602.0,127.0,0,0,0,0,0,3108.0,1036.0,1544.2224580674897,2819.0,127.0,0,0,0,0,32,140,10.340192327577293,41.36076931030917,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,148,1453,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-42432-6,10.42.0.211,42432,172.217.6.202,443,6,05/08/2017 06:40:26,36741,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43509975232029,36741.0,0.0,36741.0,36741.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.217549876160145,27.217549876160145,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-38425-6,10.42.0.211,38425,172.217.6.202,443,6,05/08/2017 06:40:29,36872,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,840.7463658060316,54.24170101974398,36872.0,0.0,36872.0,36872.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.12085050987199,27.12085050987199,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1451,224,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.211-443-54674-6,10.42.0.211,54674,216.58.219.227,443,6,05/08/2017 06:40:17,12787780,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,70.4578902671144,0.781996562343112,1420864.4444444445,4192860.2282930957,1.2601629E7,38.0,1.278778E7,2557556.0,5657878.3764542425,1.2678644E7,5228.0,149226.0,49742.0,52611.67848491435,104845.0,38.0,0,0,0,0,200,136,0.4691979374058672,0.3127986249372448,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.211-443-54675-6,10.42.0.211,54675,216.58.219.227,443,6,05/08/2017 06:40:17,12787320,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,70.46042485837533,0.7820246932117129,1420813.3333333333,4188742.328036961,1.2590591E7,515.0,1.278732E7,2557464.0,5651665.235562878,1.2667424E7,822.0,159771.0,53257.0,58103.01770992622,115540.0,515.0,0,0,0,0,200,136,0.46921481592702774,0.3128098772846852,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,175,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-51327-6,10.42.0.211,51327,172.217.6.202,443,6,05/08/2017 06:40:33,121,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,256198.34710743802,16528.92561983471,121.0,0.0,121.0,121.0,121.0,121.0,0.0,121.0,121.0,0,0,0,0,0,1,0,0,0,64,0,16528.92561983471,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,2304,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-45599-6,10.42.0.211,45599,172.217.3.110,443,6,05/08/2017 06:40:41,36755,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.7652020133314,81.6215480886954,18377.5,25904.856928769168,36695.0,60.0,0,0,0,0,0,60.0,60.0,0.0,60.0,60.0,1,0,0,0,32,64,27.207182696231804,54.41436539246361,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-41711-6,10.42.0.211,41711,172.217.3.110,443,6,05/08/2017 06:40:47,36908,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,623.171128210686,54.18879375745095,36908.0,0.0,36908.0,36908.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.094396878725476,27.094396878725476,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1436,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.8.2-10.42.0.211-443-46812-6,10.42.0.211,46812,172.217.8.2,443,6,05/08/2017 06:40:48,2658,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,8653.122648607976,752.4454477050414,2658.0,0.0,2658.0,2658.0,2658.0,2658.0,0.0,2658.0,2658.0,0,0,0,0,0,1,0,0,0,64,0,752.4454477050414,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2632,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.8.2-10.42.0.211-443-46812-6,172.217.8.2,443,10.42.0.211,46812,6,05/08/2017 06:40:48,52,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,38461.53846153846,52.0,0.0,52.0,52.0,52.0,52.0,0.0,52.0,52.0,0,0,0,0,0,0,0,0,0,64,0,38461.53846153846,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,202,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-58710-6,10.42.0.211,58710,172.217.3.110,443,6,05/08/2017 06:40:52,17,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1823529.4117647058,117647.05882352941,17.0,0.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,0,1,0,0,0,64,0,117647.05882352941,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-58710-6,172.217.3.110,443,10.42.0.211,58710,6,05/08/2017 06:40:52,237,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8438.818565400845,237.0,0.0,237.0,237.0,237.0,237.0,0.0,237.0,237.0,0,0,0,0,0,0,0,0,0,64,0,8438.818565400845,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-37402-6,10.42.0.211,37402,172.217.6.202,443,6,05/08/2017 06:40:53,136,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,169117.64705882352,14705.882352941177,136.0,0.0,136.0,136.0,136.0,136.0,0.0,136.0,136.0,0,0,0,0,0,1,0,0,0,64,0,14705.882352941177,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1637,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-53094-6,10.42.0.211,53094,172.217.6.202,443,6,05/08/2017 06:40:30,30114219,13,10,460.0,4277.0,218.0,0.0,35.38461538461539,61.13991939469452,1418.0,0.0,427.7,611.6685831032648,157.30110749344024,0.7637588077578901,1368828.1363636365,6371631.509383526,2.9895913E7,19.0,3.0114219E7,2509518.25,8624515.5577823,2.9895913E7,74.0,180421.0,20046.777777777777,28598.664316615283,79208.0,19.0,0,0,0,0,424,328,0.4316897609066335,0.33206904685125654,0.0,1418.0,197.37499999999994,433.5238634924164,187942.9402173913,0,0,0,1,0,0,0,0,0.0,205.95652173913044,35.38461538461539,427.7,424,0,0,0,0,0,0,13,460,10,4277,65535,170,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.195-10.42.0.211-443-50462-6,10.42.0.211,50462,172.217.12.195,443,6,05/08/2017 06:41:12,36701,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.494427944742654,36701.0,0.0,36701.0,36701.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.247213972371327,27.247213972371327,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,175,0,32,0,0,0,0,0,0,0,0,BENIGN
156.154.200.36-10.42.0.211-443-38940-6,10.42.0.211,38940,156.154.200.36,443,6,05/08/2017 06:41:18,926645,9,10,891.0,4987.0,368.0,0.0,99.0,153.90419097607446,1448.0,0.0,498.7,672.4973440674527,6343.313782516498,20.504076534163566,51480.27777777778,119641.56862198886,486180.0,11.0,891629.0,111453.625,165511.3354779558,486180.0,846.0,893047.0,99227.44444444444,178889.31241630332,522426.0,11.0,0,0,0,0,296,328,9.712457305656427,10.791619228507141,0.0,1448.0,293.90000000000003,518.4718334733944,268813.0421052632,0,0,0,1,0,0,0,0,1.0,309.36842105263156,99.0,498.7,296,0,0,0,0,0,0,9,891,10,4987,65535,5271,3,32,0,0,0,0,0,0,0,0,BENIGN
