Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.170-10.42.0.211-443-47826-6,10.42.0.211,47826,172.217.12.170,443,6,05/08/2017 08:02:32,968,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,23760.330578512396,2066.115702479339,968.0,0.0,968.0,968.0,968.0,968.0,0.0,968.0,968.0,0,0,0,0,0,1,0,0,0,64,0,2066.115702479339,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1681,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-39246-6,10.42.0.211,39246,172.217.12.170,443,6,05/08/2017 08:02:42,36737,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.441026757764654,36737.0,0.0,36737.0,36737.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.220513378882327,27.220513378882327,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2905,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-57256-6,10.42.0.211,57256,172.217.12.170,443,6,05/08/2017 08:02:49,36844,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28292259255238,36844.0,0.0,36844.0,36844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14146129627619,27.14146129627619,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.42-10.42.0.211-443-56750-6,10.42.0.211,56750,172.217.11.42,443,6,05/08/2017 08:02:50,36807,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.33749015132991,36807.0,0.0,36807.0,36807.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.168745075664955,27.168745075664955,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.211-443-55209-6,10.42.0.211,55209,172.217.12.170,443,6,05/08/2017 08:02:53,36787,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.6889933944057,81.55054774784571,18393.5,25947.28333564036,36741.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,32,64,27.18351591594857,54.36703183189714,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2245,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.1.174-10.42.0.211-443-48064-6,10.42.0.211,48064,172.217.1.174,443,6,05/08/2017 08:03:12,22454,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,1024.3163801549836,133.60648436804135,11227.0,15801.00813239459,22400.0,54.0,0,0,0,0,0,54.0,54.0,0.0,54.0,54.0,1,0,0,0,32,64,44.53549478934711,89.07098957869422,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.34-10.42.0.211-443-38386-6,10.42.0.211,38386,172.217.11.34,443,6,05/08/2017 08:03:13,99,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,232323.23232323234,20202.020202020205,99.0,0.0,99.0,99.0,99.0,99.0,0.0,99.0,99.0,0,0,0,0,0,1,0,0,0,64,0,20202.020202020205,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.34-10.42.0.211-443-43856-6,10.42.0.211,43856,172.217.11.34,443,6,05/08/2017 08:03:18,86,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,267441.8604651163,23255.81395348837,86.0,0.0,86.0,86.0,86.0,86.0,0.0,86.0,86.0,0,0,0,0,0,1,0,0,0,64,0,23255.81395348837,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2632,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.34-10.42.0.211-443-43856-6,172.217.11.34,443,10.42.0.211,43856,6,05/08/2017 08:03:18,54,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,64,0,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,404,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-45195-443-6,10.42.0.211,45195,98.139.180.180,443,6,05/08/2017 08:03:33,5317217,6,9,336.0,5024.0,210.0,0.0,56.0,90.73036977771004,1460.0,0.0,558.2222222222222,642.8290553828789,1008.0461263852876,2.821024607421514,379801.21428571426,1365761.9831867416,5124426.0,7.0,192487.0,38497.4,27126.865157994205,79079.0,6744.0,5291803.0,661475.375,1804806.888794472,5126848.0,7.0,0,0,0,0,140,192,1.1284098429686056,1.6926147644529081,0.0,1460.0,335.0,540.044319168961,291647.86666666664,0,0,0,1,0,0,0,0,1.0,357.3333333333333,56.0,558.2222222222222,140,0,0,0,0,0,0,6,336,9,5024,65535,62,2,20,192487.0,0.0,192487.0,192487.0,5124426.0,0.0,5124426.0,5124426.0,BENIGN
