Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.211-443-37755-6,10.42.0.211,37755,172.217.10.42,443,6,05/08/2017 12:49:50,36777,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38181472115725,36777.0,0.0,36777.0,36777.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.190907360578624,27.190907360578624,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,360,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.193-10.42.0.211-443-52811-6,10.42.0.211,52811,172.217.6.193,443,6,05/08/2017 12:49:52,36840,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.28881650380022,36840.0,0.0,36840.0,36840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.14440825190011,27.14440825190011,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-49066-6,10.42.0.211,49066,172.217.10.42,443,6,05/08/2017 12:49:52,37516,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.31058748267406,37516.0,0.0,37516.0,37516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.65529374133703,26.65529374133703,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.164-10.42.0.211-443-41656-6,10.42.0.211,41656,172.217.7.164,443,6,05/08/2017 12:49:52,42015,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.60204688801619,42015.0,0.0,42015.0,42015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23.801023444008095,23.801023444008095,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.211-80-43590-6,10.42.0.211,43590,151.101.21.140,80,6,05/08/2017 12:49:53,54783,3,4,369.0,356.0,369.0,0.0,123.0,213.0422493309719,356.0,0.0,89.0,178.0,13234.032455323731,127.77686508588431,9130.5,11734.099654425983,23922.0,14.0,30851.0,15425.5,21653.730960275643,30737.0,114.0,30861.0,10287.0,17766.51791995269,30802.0,14.0,0,0,0,0,104,136,54.761513608236136,73.01535147764818,0.0,369.0,90.625,167.8408578726544,28170.55357142857,0,0,0,1,0,0,0,0,1.0,103.57142857142857,123.0,89.0,104,0,0,0,0,0,0,3,369,4,356,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
151.101.21.140-10.42.0.211-80-43590-6,10.42.0.211,43590,151.101.21.140,80,6,05/08/2017 12:49:53,10172,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,196.61816751867872,10172.0,0.0,10172.0,10172.0,10172.0,10172.0,0.0,10172.0,10172.0,0,0,0,0,0,0,0,0,0,64,0,196.61816751867872,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46792-6,10.42.0.211,46792,198.105.244.11,80,6,05/08/2017 12:49:54,70909,3,4,267.0,223.0,267.0,0.0,89.0,154.1525218736301,223.0,0.0,55.75,111.5,6910.265269570858,98.71807527958369,11818.166666666666,15977.285669558103,32252.0,17.0,38574.0,19287.0,26700.352057604036,38167.0,407.0,38679.0,12893.0,22259.464436504306,38596.0,17.0,0,0,0,0,80,84,42.30774654839301,56.41032873119068,0.0,267.0,61.25,114.0209880429288,13000.785714285714,0,0,0,1,0,0,0,0,1.0,70.0,89.0,55.75,80,0,0,0,0,0,0,3,267,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46792-6,10.42.0.211,46792,198.105.244.11,80,6,05/08/2017 12:49:54,1509,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1325.3810470510273,1509.0,0.0,1509.0,1509.0,1509.0,1509.0,0.0,1509.0,1509.0,0,0,0,0,0,0,0,0,0,40,0,1325.3810470510273,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46793-6,10.42.0.211,46793,198.105.244.11,80,6,05/08/2017 12:49:54,67935,3,4,267.0,223.0,267.0,0.0,89.0,154.1525218736301,223.0,0.0,55.75,111.5,7212.77691911386,103.03967027305514,11322.5,16273.001355005166,32352.0,33.0,35427.0,17713.5,24825.811980678496,35268.0,159.0,35583.0,11861.0,20293.01633567568,35293.0,33.0,0,0,0,0,80,84,44.159858688452196,58.87981158460293,0.0,267.0,61.25,114.0209880429288,13000.785714285714,0,0,0,1,0,0,0,0,1.0,70.0,89.0,55.75,80,0,0,0,0,0,0,3,267,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-46793-6,10.42.0.211,46793,198.105.244.11,80,6,05/08/2017 12:49:54,276,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7246.376811594203,276.0,0.0,276.0,276.0,276.0,276.0,0.0,276.0,276.0,0,0,0,0,0,0,0,0,0,40,0,7246.376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
