Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-45823-6,157.240.18.36,443,10.42.0.211,45823,6,05/08/2017 01:33:05,80,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,525000.0,24999.999999999996,80.0,0.0,80.0,80.0,80.0,80.0,0.0,80.0,80.0,0,0,0,0,0,1,0,0,0,64,0,24999.999999999996,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-45823-6,10.42.0.211,45823,157.240.18.36,443,6,05/08/2017 01:33:05,199,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,211055.27638190953,15075.37688442211,99.5,17.67766952966369,112.0,87.0,199.0,99.5,17.67766952966369,112.0,87.0,0,0,0,0,0,0,0,0,0,96,0,15075.37688442211,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-45823-6,10.42.0.211,45823,157.240.18.36,443,6,05/08/2017 01:33:05,265583,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,158.14265220288948,7.5306024858518805,265583.0,0.0,265583.0,265583.0,265583.0,265583.0,0.0,265583.0,265583.0,0,0,0,0,0,0,0,0,0,64,0,7.5306024858518805,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,0,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-51571-6,10.42.0.211,51571,172.217.10.78,443,6,05/08/2017 01:33:23,89,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,258426.96629213484,22471.91011235955,89.0,0.0,89.0,89.0,89.0,89.0,0.0,89.0,89.0,0,0,0,0,0,1,0,0,0,64,0,22471.91011235955,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2768,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-51571-6,172.217.10.78,443,10.42.0.211,51571,6,05/08/2017 01:33:23,449,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,4454.342984409799,449.0,0.0,449.0,449.0,449.0,449.0,0.0,449.0,449.0,0,0,0,0,0,0,0,0,0,64,0,4454.342984409799,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,648,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-45356-6,10.42.0.211,45356,172.217.10.106,443,6,05/08/2017 01:33:24,36273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.13743004438563,36273.0,0.0,36273.0,36273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.568715022192816,27.568715022192816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,377,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.193-10.42.0.211-443-33728-6,10.42.0.211,33728,172.217.6.193,443,6,05/08/2017 01:33:25,36774,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38625115570783,36774.0,0.0,36774.0,36774.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.193125577853916,27.193125577853916,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.228-10.42.0.211-443-50205-6,10.42.0.211,50205,172.217.10.228,443,6,05/08/2017 01:33:25,25380,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,78.80220646178093,25380.0,0.0,25380.0,25380.0,25380.0,25380.0,0.0,25380.0,25380.0,0,0,0,0,0,0,0,0,0,64,0,78.80220646178093,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1593,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-38722-6,10.42.0.211,38722,172.217.6.202,443,6,05/08/2017 01:33:25,36779,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37885750020392,36779.0,0.0,36779.0,36779.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18942875010196,27.18942875010196,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-48857-6,10.42.0.211,48857,198.105.244.11,80,6,05/08/2017 01:33:26,67382,3,4,261.0,223.0,261.0,0.0,87.0,150.68842025849233,223.0,0.0,55.75,111.5,7182.927191238016,103.88531061707874,11230.333333333334,16360.271705160238,32339.0,17.0,35027.0,17513.5,24564.182471639473,34883.0,144.0,35043.0,11681.0,20176.665433118527,34979.0,17.0,0,0,0,0,80,84,44.522275978748034,59.36303463833072,0.0,261.0,60.5,112.48364960549347,12652.57142857143,0,0,0,1,0,0,0,0,1.0,69.14285714285714,87.0,55.75,80,0,0,0,0,0,0,3,261,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
