Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.234-10.42.0.211-443-60621-6,10.42.0.211,60621,172.217.10.234,443,6,05/08/2017 03:44:30,36967,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.10230746341332,36967.0,0.0,36967.0,36967.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.05115373170666,27.05115373170666,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.129-10.42.0.211-443-44927-6,10.42.0.211,44927,172.217.12.129,443,6,05/08/2017 03:44:33,37225,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.72733378106111,37225.0,0.0,37225.0,37225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.863666890530556,26.863666890530556,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.196-10.42.0.211-443-60074-6,10.42.0.211,60074,216.58.219.196,443,6,05/08/2017 03:44:33,36957,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.11694672186596,36957.0,0.0,36957.0,36957.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.05847336093298,27.05847336093298,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-60610-6,10.42.0.211,60610,172.217.10.234,443,6,05/08/2017 03:44:33,36872,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.24170101974398,36872.0,0.0,36872.0,36872.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12085050987199,27.12085050987199,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-39135-6,10.42.0.211,39135,172.217.10.234,443,6,05/08/2017 03:44:33,127,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,244094.4881889764,15748.031496062993,127.0,0.0,127.0,127.0,127.0,127.0,0.0,127.0,127.0,0,0,0,0,0,1,0,0,0,64,0,15748.031496062993,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.211-443-39135-6,172.217.10.234,443,10.42.0.211,39135,6,05/08/2017 03:44:33,50,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40000.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0,0,0,0,0,0,0,0,0,64,0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
203.205.158.60-10.42.0.211-80-33733-6,10.42.0.211,33733,203.205.158.60,80,6,05/08/2017 03:44:35,297008,4,1,370.0,0.0,370.0,0.0,92.5,184.99999999999997,0.0,0.0,0.0,0.0,1245.7576900285515,16.83456337876421,74252.0,108489.84298387876,231503.0,207.0,297008.0,99002.66666666667,122117.50339870749,235534.0,207.0,0,0,0,0,0,0,0,0,0,136,40,13.467650703011367,3.366912675752842,0.0,370.0,61.666666666666664,151.05186747162932,22816.666666666664,0,0,0,1,0,0,0,0,0.0,74.0,92.5,0.0,136,0,0,0,0,0,0,4,370,1,0,65535,14480,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.158.60-10.42.0.211-80-33733-6,203.205.158.60,80,10.42.0.211,33733,6,05/08/2017 03:44:36,61295,29,26,35988.0,0.0,1448.0,0.0,1240.965517241379,481.7319559048387,0.0,0.0,0.0,0.0,587127.8244555021,897.2999428990945,1135.0925925925926,5403.583022572236,34578.0,5.0,61295.0,2189.1071428571427,10933.022191844051,57970.0,5.0,21975.0,879.0,4078.134673679459,20450.0,8.0,0,0,0,0,928,520,473.12178807406804,424.17815482502647,0.0,1448.0,642.6428571428571,713.8917011977104,509641.36103896104,0,0,0,0,1,0,0,0,0.0,654.3272727272728,1240.9655172413793,0.0,928,0,0,0,0,0,0,29,35988,26,0,486,0,26,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-45477-6,10.42.0.211,45477,203.205.147.229,80,6,05/08/2017 03:44:41,485472,5,3,546.0,293.0,546.0,0.0,109.2,244.17862314297702,293.0,0.0,97.66666666666667,169.16362887256037,1728.2150154900796,16.47880825258717,69353.14285714286,109660.63518484132,229928.0,724.0,485472.0,121368.0,139133.42246922557,249124.0,724.0,247390.0,123695.0,157952.0985678886,235384.0,12006.0,0,0,0,0,168,104,10.299255157866982,6.179553094720189,0.0,546.0,93.22222222222223,195.49666095471923,38218.944444444445,0,0,0,1,0,0,0,0,0.0,104.875,109.2,97.66666666666667,168,0,0,0,0,0,0,5,546,3,293,65535,216,1,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.211-80-45478-6,10.42.0.211,45478,203.205.147.229,80,6,05/08/2017 03:44:41,486044,5,3,530.0,1145.0,530.0,0.0,106.0,237.0232056149777,1145.0,0.0,381.6666666666667,661.0660582221216,3446.1900568672795,16.459415196978053,69434.85714285714,109724.96495545666,230024.0,732.0,486044.0,121511.0,139584.10897376534,250362.0,732.0,247196.0,123598.0,157157.31054583495,234725.0,12471.0,0,0,0,0,168,104,10.287134498111282,6.1722806988667696,0.0,1145.0,186.11111111111111,400.0295128001322,160023.61111111112,0,0,0,1,0,0,0,0,0.0,209.375,106.0,381.6666666666667,168,0,0,0,0,0,0,5,530,3,1145,65535,215,1,32,0,0,0,0,0,0,0,0,BENIGN
