Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.238-10.42.0.211-443-53007-6,10.42.0.211,53007,216.58.219.238,443,6,05/08/2017 06:27:20,147,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,210884.3537414966,13605.442176870749,147.0,0.0,147.0,147.0,147.0,147.0,0.0,147.0,147.0,0,0,0,0,0,1,0,0,0,64,0,13605.442176870749,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.238-10.42.0.211-443-53007-6,216.58.219.238,443,10.42.0.211,53007,6,05/08/2017 06:27:20,54,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,64,0,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.225-10.42.0.211-443-41112-6,10.42.0.211,41112,216.58.219.225,443,6,05/08/2017 06:27:24,36772,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.38920918089851,36772.0,0.0,36772.0,36772.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.194604590449256,27.194604590449256,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-57510-6,10.42.0.211,57510,172.217.10.138,443,6,05/08/2017 06:27:24,36396,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.951093526761184,36396.0,0.0,36396.0,36396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.475546763380592,27.475546763380592,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.233.186.104-37362-443-6,10.42.0.211,37362,64.233.186.104,443,6,05/08/2017 06:27:24,161001,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42228309140937,161001.0,0.0,161001.0,161001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,6.211141545704685,6.211141545704685,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-58103-6,10.42.0.211,58103,172.217.10.138,443,6,05/08/2017 06:27:25,37165,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81407237992735,37165.0,0.0,37165.0,37165.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.907036189963677,26.907036189963677,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44904-6,10.42.0.211,44904,198.105.244.11,80,6,05/08/2017 06:27:25,67715,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,7177.139481651037,103.37443697851289,11285.833333333334,16323.242967212938,32425.0,15.0,35379.0,17689.5,23603.931462788143,34380.0,999.0,35290.0,11763.333333333332,20302.828185583738,35207.0,15.0,0,0,0,0,80,84,44.30333013364838,59.07110684486451,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44904-6,10.42.0.211,44904,198.105.244.11,80,6,05/08/2017 06:27:25,27447,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,72.86770867490073,27447.0,0.0,27447.0,27447.0,27447.0,27447.0,0.0,27447.0,27447.0,0,0,0,0,0,0,0,0,0,40,0,72.86770867490073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44905-6,10.42.0.211,44905,198.105.244.11,80,6,05/08/2017 06:27:25,67781,3,4,263.0,223.0,263.0,0.0,87.66666666666667,151.84312079687157,223.0,0.0,55.75,111.5,7170.150927251,103.27377878756585,11296.833333333334,16377.713239847211,32481.0,16.0,35229.0,17614.5,24271.440264228244,34777.0,452.0,35444.0,11814.666666666668,20402.124456373,35373.0,16.0,0,0,0,0,80,84,44.260190908956794,59.01358787860905,0.0,263.0,60.75,112.99399478354086,12767.642857142857,0,0,0,1,0,0,0,0,1.0,69.42857142857143,87.66666666666667,55.75,80,0,0,0,0,0,0,3,263,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-44906-6,10.42.0.211,44906,198.105.244.11,80,6,05/08/2017 06:27:25,67079,3,4,265.0,223.0,265.0,0.0,88.33333333333333,152.99782133525082,223.0,0.0,55.75,111.5,7275.004099643704,104.35456700308592,11179.833333333332,16385.57967746844,32431.0,14.0,34845.0,17422.5,23654.843151033576,34149.0,696.0,34648.0,11549.333333333332,19978.917396429002,34619.0,14.0,0,0,0,0,80,84,44.72338585846539,59.63118114462052,0.0,265.0,60.99999999999999,113.5064504145658,12883.714285714286,0,0,0,1,0,0,0,0,1.0,69.71428571428571,88.33333333333333,55.75,80,0,0,0,0,0,0,3,265,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
