Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-64.94.107.18-40747-80-6,10.42.0.211,40747,64.94.107.18,80,6,05/08/2017 08:32:20,249946,4,3,906.0,251.0,706.0,0.0,226.5,333.2801624259486,251.0,0.0,83.66666666666667,144.91491756659607,4628.999863970617,28.006049306650237,41657.666666666664,44680.664013269394,82583.0,365.0,165948.0,55316.0,94772.04813129238,164749.0,365.0,167767.0,83883.5,116628.07116856558,166352.0,1415.0,0,0,0,0,100,72,16.003456746657278,12.002592559992959,0.0,706.0,144.625,249.0283618385665,62015.125,0,0,0,1,0,0,0,0,0.0,165.28571428571428,226.5,83.66666666666667,100,0,0,0,0,0,0,4,906,3,251,65535,134,2,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-43014-6,10.42.0.211,43014,172.217.10.138,443,6,05/08/2017 08:32:22,36240,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,855.4083885209712,55.18763796909492,36240.0,0.0,36240.0,36240.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.59381898454746,27.59381898454746,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1423,465,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.94.107.18-40747-80-6,10.42.0.211,40747,64.94.107.18,80,6,05/08/2017 08:32:21,4518483,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.44262643015366,4518483.0,0.0,4518483.0,4518483.0,4518483.0,4518483.0,0.0,4518483.0,4518483.0,0,0,0,0,0,0,0,0,0,40,0,0.44262643015366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
8.25.217.12-10.42.0.211-443-49007-6,10.42.0.211,49007,8.25.217.12,443,6,05/08/2017 08:32:21,4521708,18,11,3429.0,5529.0,1448.0,0.0,190.5,386.41006106740764,1448.0,0.0,502.6363636363636,664.20136596175,1981.1097930251135,6.413505692981501,161489.57142857142,609227.899913059,3243467.0,5.0,4521708.0,265982.82352941175,775346.6711513015,3243467.0,14.0,1092249.0,109224.90000000001,189446.30781332214,535438.0,5.0,0,0,0,0,584,360,3.980796637023001,2.4327090559585005,0.0,1448.0,298.6,515.5309683329847,265772.1793103448,0,0,0,1,0,0,0,0,0.0,308.8965517241379,190.5,502.6363636363636,584,0,0,0,0,0,0,18,3429,11,5529,65535,163,8,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.180-36719-443-6,10.42.0.211,36719,98.139.180.180,443,6,05/08/2017 08:32:22,5232723,7,9,336.0,5024.0,210.0,0.0,48.0,85.48684109265004,1460.0,0.0,558.2222222222222,642.8290553828789,1024.3232825433336,3.0576814404278614,348848.2,1314626.9647899687,5100688.0,6.0,131990.0,21998.333333333332,16646.377872278,43155.0,460.0,5207608.0,650951.0,1799519.293257746,5104111.0,6.0,0,0,0,0,160,192,1.3377356301871894,1.719945810240672,0.0,1460.0,315.2941176470589,529.1704315135487,280021.3455882353,0,0,0,1,0,0,0,0,1.0,335.0,48.0,558.2222222222222,160,0,0,0,0,0,0,7,336,9,5024,65535,62,2,20,131990.0,0.0,131990.0,131990.0,5100688.0,0.0,5100688.0,5100688.0,BENIGN
10.42.0.211-63.250.200.101-49123-443-6,10.42.0.211,49123,63.250.200.101,443,6,05/08/2017 08:32:32,137733,6,10,1282.0,4717.0,872.0,0.0,213.66666666666666,337.9068905285399,1448.0,0.0,471.7000000000001,629.4277912870105,43555.284499720474,116.16678646366522,9182.2,11651.953792022545,25491.0,6.0,111128.0,22225.6,12815.545844793347,34058.0,443.0,112242.0,12471.333333333334,19365.518092733797,54246.0,6.0,0,0,0,0,200,328,43.562544923874455,72.60424153979076,0.0,1448.0,352.88235294117646,531.4195473391223,282406.7352941177,0,0,0,1,0,0,0,0,1.0,374.9375,213.66666666666666,471.7,200,0,0,0,0,0,0,6,1282,10,4717,65535,3840,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-63.250.200.101-49123-443-6,10.42.0.211,49123,63.250.200.101,443,6,05/08/2017 08:32:32,7774,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,257.2678157962439,7774.0,0.0,7774.0,7774.0,7774.0,7774.0,0.0,7774.0,7774.0,0,0,0,0,0,0,0,0,0,64,0,257.2678157962439,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-98.139.180.149-57575-80-6,10.42.0.211,57575,98.139.180.149,80,6,05/08/2017 08:32:22,12650203,4,4,368.0,703.0,368.0,0.0,92.0,184.0,703.0,0.0,175.75,351.5,84.66267300216448,0.6324009187836749,1807171.857142857,4751436.928991076,1.2582391E7,100.0,67812.0,22604.0,19872.29146324097,37740.0,100.0,1.2624809E7,4208269.666666666,7254341.66633998,1.2584837E7,2300.0,0,0,0,0,100,92,0.31620045939183744,0.31620045939183744,0.0,703.0,119.0,250.54540506662659,62772.99999999999,0,0,0,1,0,0,0,0,1.0,133.875,92.0,175.75,100,0,0,0,0,0,0,4,368,4,703,65535,62,1,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-52651-6,10.42.0.211,52651,172.217.10.138,443,6,05/08/2017 08:32:37,37575,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.22687957418497,37575.0,0.0,37575.0,37575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.613439787092485,26.613439787092485,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2949,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.138-10.42.0.211-443-60326-6,10.42.0.211,60326,172.217.10.138,443,6,05/08/2017 08:32:37,36651,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.56877029276145,36651.0,0.0,36651.0,36651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.284385146380725,27.284385146380725,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
