Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.211-443-43645-6,10.42.0.211,43645,172.217.10.42,443,6,05/08/2017 10:51:34,109,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,211009.1743119266,18348.623853211007,109.0,0.0,109.0,109.0,109.0,109.0,0.0,109.0,109.0,0,0,0,0,0,1,0,0,0,64,0,18348.623853211007,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1909,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-47892-443-6,10.42.0.211,47892,74.6.105.9,443,6,05/08/2017 10:51:42,623305,8,9,1438.0,5603.0,795.0,0.0,179.75,306.29339342718913,1448.0,0.0,622.5555555555555,668.7217491436761,11296.235390378708,27.273966998499933,38956.5625,69935.58633005922,278353.0,5.0,590102.0,84300.28571428571,95509.57480922055,278353.0,429.0,597960.0,74745.0,118855.03556133293,309149.0,5.0,0,0,0,0,264,296,12.834807999294085,14.439158999205846,0.0,1448.0,391.1666666666667,554.4830395751259,307451.44117647054,0,0,0,1,0,0,0,0,1.0,414.1764705882353,179.75,622.5555555555555,264,0,0,0,0,0,0,8,1438,9,5603,65535,134,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-47892-443-6,10.42.0.211,47892,74.6.105.9,443,6,05/08/2017 10:51:43,862,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,35962.87703016241,2320.185614849188,862.0,0.0,862.0,862.0,862.0,862.0,0.0,862.0,862.0,0,0,0,0,0,1,0,0,0,64,0,2320.185614849188,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-35219-6,10.42.0.211,35219,172.217.10.42,443,6,05/08/2017 10:51:46,36801,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34634928398685,36801.0,0.0,36801.0,36801.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.173174641993423,27.173174641993423,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2904,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-40141-6,10.42.0.211,40141,172.217.10.42,443,6,05/08/2017 10:51:48,37060,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.96654074473826,37060.0,0.0,37060.0,37060.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.98327037236913,26.98327037236913,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-40141-6,172.217.10.42,443,10.42.0.211,40141,6,05/08/2017 10:51:48,1498,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1335.113484646195,1498.0,0.0,1498.0,1498.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,667.5567423230975,667.5567423230975,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,350,2089,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-40141-6,172.217.10.42,443,10.42.0.211,40141,6,05/08/2017 10:51:48,268611,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.445711456343933,268611.0,0.0,268611.0,268611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,32,3.7228557281719663,3.7228557281719663,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,44,0,0,0,0,0,0,1,0,1,0,350,2089,0,44,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-43246-6,10.42.0.211,43246,172.217.10.78,443,6,05/08/2017 10:51:50,37396,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,615.0390416087282,53.48165579206332,37396.0,0.0,37396.0,37396.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.74082789603166,26.74082789603166,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1453,391,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.131-10.42.0.211-443-60638-6,10.42.0.211,60638,172.217.12.131,443,6,05/08/2017 10:51:35,14848641,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,60.67895371704387,0.6734623054055923,1649849.0,4879680.252579056,1.4662162E7,148.0,1.4848641E7,2969728.2,6578979.486030315,1.4738524E7,329.0,149516.0,49838.66666666667,52567.17478934296,104874.0,148.0,0,0,0,0,200,136,0.4040773832433554,0.2693849221622369,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,349,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.131-10.42.0.211-443-60639-6,10.42.0.211,60639,172.217.12.131,443,6,05/08/2017 10:51:35,14848593,6,4,735.0,166.0,519.0,0.0,122.5,212.59327364712178,166.0,0.0,41.5,83.0,60.679149869620645,0.6734644824597186,1649843.6666666667,4876649.146374485,1.4654089E7,595.0,1.4848593E7,2969718.6,6574297.6005623825,1.4730156E7,12151.0,157554.0,52518.0,50158.12948067342,100702.0,595.0,0,0,0,0,200,136,0.40407868947583114,0.26938579298388743,0.0,519.0,81.90909090909092,164.24765115243173,26977.290909090905,0,0,0,1,0,0,0,0,0.0,90.1,122.5,41.5,200,0,0,0,0,0,0,6,735,4,166,65535,349,2,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.211-443-43246-6,10.42.0.211,43246,172.217.10.78,443,6,05/08/2017 10:51:50,27491,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75108217234731,27491.0,0.0,27491.0,27491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,36.375541086173655,36.375541086173655,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1453,391,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.52.86.145-35783-443-6,52.52.86.145,443,10.42.0.211,35783,6,05/08/2017 10:51:47,5003629,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.195503303702173,0.5995648358421457,2501814.5,3375154.3097850354,4888409.0,115220.0,5003629.0,5003629.0,0.0,5003629.0,5003629.0,0,0,0,0,0,1,0,0,0,64,32,0.3997098905614305,0.19985494528071526,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,115,1550,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.52.86.145-35787-443-6,52.52.86.145,443,10.42.0.211,35787,6,05/08/2017 10:51:48,5003569,4,3,93.0,0.0,31.0,0.0,23.25,15.5,0.0,0.0,0.0,0.0,18.586732790134402,1.3990013928058154,833928.1666666666,1671939.8366483666,4236026.0,19.0,5003569.0,1667856.3333333333,2377565.2046882613,4413232.0,294369.0,105.0,52.5,47.37615433949868,86.0,19.0,1,0,0,0,128,120,0.7994293673176087,0.5995720254882065,0.0,31.0,15.5,16.570196998570314,274.5714285714286,0,1,0,0,1,0,0,0,0.0,17.714285714285715,23.25,0.0,128,0,0,0,0,0,0,4,93,3,0,115,1550,2,32,0,0,0,0,0,0,0,0,BENIGN
