Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.106-10.42.0.211-443-45540-6,10.42.0.211,45540,172.217.10.106,443,6,05/08/2017 11:53:37,36831,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.30208248486329,36831.0,0.0,36831.0,36831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.151041242431646,27.151041242431646,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.80.5-35026-443-6,10.42.0.211,35026,31.13.80.5,443,6,05/08/2017 11:53:44,38701,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,801.0128937236764,77.51737681196869,19350.5,27353.011616639218,38692.0,9.0,0,0,0,0,0,9.0,9.0,0.0,9.0,9.0,0,0,0,0,32,64,25.83912560398956,51.67825120797912,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-40763-443-6,10.42.0.211,40763,31.13.71.1,443,6,05/08/2017 11:53:44,232839,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8.589626308307457,232839.0,0.0,232839.0,232839.0,232839.0,232839.0,0.0,232839.0,232839.0,0,0,0,0,0,0,0,0,0,64,0,8.589626308307457,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-40763-443-6,10.42.0.211,40763,31.13.71.1,443,6,05/08/2017 11:53:44,957883,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.087937670884649,957883.0,0.0,957883.0,957883.0,957883.0,957883.0,0.0,957883.0,957883.0,0,0,0,0,0,0,0,0,0,64,0,2.087937670884649,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-31.13.71.1-40763-443-6,10.42.0.211,40763,31.13.71.1,443,6,05/08/2017 11:53:47,3847327,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.519841437964592,3847327.0,0.0,3847327.0,3847327.0,3847327.0,3847327.0,0.0,3847327.0,3847327.0,0,0,0,0,0,0,0,0,0,64,0,0.519841437964592,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.211-443-41777-6,10.42.0.211,41777,172.217.10.106,443,6,05/08/2017 11:53:52,36561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70309893055441,36561.0,0.0,36561.0,36561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.351549465277206,27.351549465277206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.156.39-34041-443-6,10.42.0.211,34041,104.208.156.39,443,6,05/08/2017 11:53:50,3170763,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,90.51449130698195,1.8922890168707027,634152.6,1342596.3212847337,3035218.0,2241.0,3170763.0,1056921.0,1713325.1247521588,3035218.0,52322.0,56460.0,56460.0,0.0,56460.0,56460.0,1,0,0,0,128,64,1.2615260112471351,0.6307630056235676,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,513,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-40064-443-6,10.42.0.211,40064,65.52.108.74,443,6,05/08/2017 11:53:53,50002,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99760009599616,25001.0,35346.85377795314,49995.0,7.0,0,0,0,0,0,7.0,7.0,0.0,7.0,7.0,0,0,0,0,32,64,19.999200031998722,39.998400063997444,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.217.52-43950-12350-6,10.42.0.211,43950,91.190.217.52,12350,6,05/08/2017 11:53:53,121391,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.47568600637609,121391.0,0.0,121391.0,121391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.237843003188045,8.237843003188045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-43059-40010-6,10.42.0.211,43059,111.221.77.148,40010,6,05/08/2017 11:53:53,229133,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.728555031357335,229133.0,0.0,229133.0,229133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4.364277515678667,4.364277515678667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1431,37,0,32,0,0,0,0,0,0,0,0,BENIGN
