Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.197-10.42.0.42-443-42786-6,10.42.0.42,42786,216.58.219.197,443,6,05/08/2017 01:42:38,36685,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.518195447730676,36685.0,0.0,36685.0,36685.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.259097723865338,27.259097723865338,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1640,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-55486-6,10.42.0.42,55486,172.217.3.106,443,6,05/08/2017 01:42:38,1063,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,29162.746942615242,1881.4675446848544,1063.0,0.0,1063.0,1063.0,1063.0,1063.0,0.0,1063.0,1063.0,0,0,0,0,0,1,0,0,0,64,0,1881.4675446848544,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1825,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.67-10.42.0.42-443-41817-6,10.42.0.42,41817,172.217.10.67,443,6,05/08/2017 01:42:39,36197,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.25319777882145,36197.0,0.0,36197.0,36197.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.626598889410726,27.626598889410726,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8170,1621,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.67-10.42.0.42-443-41818-6,10.42.0.42,41818,172.217.10.67,443,6,05/08/2017 01:42:39,36210,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.23336095001381,36210.0,0.0,36210.0,36210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.616680475006905,27.616680475006905,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3357,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-42723-6,10.42.0.42,42723,172.217.11.10,443,6,05/08/2017 01:42:39,36632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59707359685521,36632.0,0.0,36632.0,36632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.298536798427605,27.298536798427605,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2179,383,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.42-443-60034-6,10.42.0.42,60034,172.217.10.110,443,6,05/08/2017 01:42:39,36690,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.510765876260564,36690.0,0.0,36690.0,36690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.255382938130282,27.255382938130282,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3024,428,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.18.131-10.42.0.42-443-34300-6,10.42.0.42,34300,172.217.18.131,443,6,05/08/2017 01:42:39,140084,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.277147996916137,140084.0,0.0,140084.0,140084.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7.138573998458068,7.138573998458068,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,195,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.78-10.42.0.42-443-48161-6,10.42.0.42,48161,172.217.10.78,443,6,05/08/2017 01:42:40,36681,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.0276164771954,81.78621084485157,18340.5,25899.200074519675,36654.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,1,0,0,0,32,64,27.262070281617188,54.524140563234376,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1436,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-56583-6,10.42.0.42,56583,172.217.3.106,443,6,05/08/2017 01:42:42,36357,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.010039332178124,36357.0,0.0,36357.0,36357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.505019666089062,27.505019666089062,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,8056,274,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.9.107.127-36158-443-6,10.42.0.42,36158,23.9.107.127,443,6,05/08/2017 01:42:43,22029,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1407.2359162921603,136.1841209314994,11014.5,15554.227865760486,22013.0,16.0,0,0,0,0,0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,32,64,45.394706977166464,90.78941395433293,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-93.184.215.201-39820-443-6,10.42.0.42,39820,93.184.215.201,443,6,05/08/2017 01:42:43,23847,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.8679917809368,23847.0,0.0,23847.0,23847.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,41.9339958904684,41.9339958904684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,3970,290,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.63.209.10-56731-443-6,10.42.0.42,56731,23.63.209.10,443,6,05/08/2017 01:42:43,38744,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,800.123890150733,77.43134420813546,19372.0,27372.103499731256,38727.0,17.0,0,0,0,0,0,17.0,17.0,0.0,17.0,17.0,0,0,0,0,32,64,25.810448069378484,51.62089613875697,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.173.205.111-49154-443-6,10.42.0.42,49154,52.173.205.111,443,6,05/08/2017 01:42:43,49655,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.27791763165845,49655.0,0.0,49655.0,49655.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.138958815829223,20.138958815829223,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-104.208.28.54-55210-443-6,10.42.0.42,55210,104.208.28.54,443,6,05/08/2017 01:42:43,50481,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.61886650422932,50481.0,0.0,50481.0,50481.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.80943325211466,19.80943325211466,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1686,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-33077-443-6,10.42.0.42,33077,65.52.108.74,443,6,05/08/2017 01:42:43,50481,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.428299756343975,25240.5,35675.65843120488,50467.0,14.0,0,0,0,0,0,14.0,14.0,0.0,14.0,14.0,0,0,0,0,32,64,19.80943325211466,39.61886650422932,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.101.116.26-43347-443-6,10.42.0.42,43347,23.101.116.26,443,6,05/08/2017 01:42:43,49427,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.46371416432314,49427.0,0.0,49427.0,49427.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.23185708216157,20.23185708216157,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-39381-6,10.42.0.42,39381,157.56.52.23,40033,6,05/08/2017 01:42:43,84428,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.688823613019377,84428.0,0.0,84428.0,84428.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.844411806509688,11.844411806509688,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1434,33,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.88.145.72-45306-443-6,10.42.0.42,45306,13.88.145.72,443,6,05/08/2017 01:42:43,86314,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.171212086104223,86314.0,0.0,86314.0,86314.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.585606043052112,11.585606043052112,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,512,0,32,0,0,0,0,0,0,0,0,BENIGN
191.239.8.125-10.42.0.42-443-54300-6,10.42.0.42,54300,191.239.8.125,443,6,05/08/2017 01:42:43,86501,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.121119987052175,86501.0,0.0,86501.0,86501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.560559993526088,11.560559993526088,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.216.65-40339-12350-6,10.42.0.42,40339,91.190.216.65,12350,6,05/08/2017 01:42:43,121471,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.464835228161455,121471.0,0.0,121471.0,121471.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.232417614080727,8.232417614080727,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
