Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.205-10.42.0.42-443-42443-6,10.42.0.42,42443,172.217.12.205,443,6,05/08/2017 04:25:46,36416,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.920913884007035,36416.0,0.0,36416.0,36416.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.460456942003518,27.460456942003518,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.42-443-60553-6,10.42.0.42,60553,172.217.3.110,443,6,05/08/2017 04:25:46,37006,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0452899529806,37006.0,0.0,37006.0,37006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0226449764903,27.0226449764903,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2310,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.132-10.42.0.42-443-59475-6,10.42.0.42,59475,172.217.10.132,443,6,05/08/2017 04:25:46,36977,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08767612299537,36977.0,0.0,36977.0,36977.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.043838061497684,27.043838061497684,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,358,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.131-10.42.0.42-443-44986-6,10.42.0.42,44986,172.217.10.131,443,6,05/08/2017 04:25:46,36003,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.550926311696244,36003.0,0.0,36003.0,36003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.775463155848122,27.775463155848122,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3797,1618,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-35858-6,10.42.0.42,35858,172.217.11.10,443,6,05/08/2017 04:25:46,36632,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.59707359685521,36632.0,0.0,36632.0,36632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.298536798427605,27.298536798427605,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1816,365,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.35-10.42.0.42-443-55223-6,10.42.0.42,55223,172.217.11.35,443,6,05/08/2017 04:25:46,36389,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.96166423919317,36389.0,0.0,36389.0,36389.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.480832119596585,27.480832119596585,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.133-10.42.0.42-443-59241-6,10.42.0.42,59241,172.217.10.133,443,6,05/08/2017 04:25:47,36490,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.809536859413534,36490.0,0.0,36490.0,36490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.404768429706767,27.404768429706767,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1837,409,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-35913-6,10.42.0.42,35913,172.217.11.10,443,6,05/08/2017 04:25:47,36491,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.808034857910165,36491.0,0.0,36491.0,36491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.404017428955083,27.404017428955083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.42-443-60484-6,10.42.0.42,60484,172.217.3.110,443,6,05/08/2017 04:25:47,225481,6,8,1323.0,1712.0,755.0,0.0,220.5,331.11735079877644,1418.0,0.0,214.0,491.0056735197379,13460.114155959927,62.089488693060616,17344.692307692312,23078.409319768318,76056.0,2.0,169152.0,33830.4,33756.63231573908,82573.0,1124.0,188923.0,26989.0,30706.781276020018,80051.0,2.0,0,0,0,0,200,264,26.60978086845455,35.479707824606066,0.0,1418.0,202.3333333333333,403.5385743053332,162843.38095238092,0,0,0,1,0,0,0,0,1.0,216.78571428571428,220.5,214.0,200,0,0,0,0,0,0,6,1323,8,1712,65535,176,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-40089-6,10.42.0.42,40089,206.126.112.141,443,6,05/08/2017 04:25:48,1304965,412,2910,1226.0,4200473.0,627.0,0.0,2.975728155339808,40.08299653706845,1448.0,0.0,1443.461512027491,75.64891767268622,3219779.074534566,2545.6621441954385,392.9433905450165,1505.0924391574315,54706.0,0.0,1304965.0,3175.0973236009745,6308.3013515307375,58465.0,1.0,1265047.0,434.8734960467523,1864.9185949249597,58588.0,0.0,0,0,0,0,13192,93128,315.717279773787,2229.9448644216513,0.0,1448.0,1264.4294312368322,480.7494388332438,231120.0229384788,0,0,0,1,0,0,0,0,7.0,1264.8100541842264,2.9757281553398056,1443.4615120274914,13192,0,0,0,0,0,0,412,1226,2910,4200473,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
