Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.238-10.42.0.42-443-51909-6,10.42.0.42,51909,216.58.219.238,443,6,05/08/2017 09:09:46,63,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,492063.49206349207,31746.031746031746,63.0,0.0,63.0,63.0,63.0,63.0,0.0,63.0,63.0,0,0,0,0,0,1,0,0,0,64,0,31746.031746031746,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1594,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.19.195-10.42.0.42-443-45689-6,10.42.0.42,45689,172.217.19.195,443,6,05/08/2017 09:09:47,119851,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.687386838658,119851.0,0.0,119851.0,119851.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.343693419329,8.343693419329,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.19.195-10.42.0.42-443-45690-6,10.42.0.42,45690,172.217.19.195,443,6,05/08/2017 09:09:48,120005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6659722511562,120005.0,0.0,120005.0,120005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.3329861255781,8.3329861255781,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-60202-6,10.42.0.42,60202,172.217.6.234,443,6,05/08/2017 09:09:49,36627,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.3701640866028,81.90679007289704,18313.5,25787.477203092203,36548.0,79.0,0,0,0,0,0,79.0,79.0,0.0,79.0,79.0,1,0,0,0,32,64,27.30226335763235,54.6045267152647,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-60609-6,10.42.0.42,60609,172.217.6.234,443,6,05/08/2017 09:09:49,36628,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.60303592879764,36628.0,0.0,36628.0,36628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.30151796439882,27.30151796439882,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-44131-6,10.42.0.42,44131,172.217.6.234,443,6,05/08/2017 09:09:51,36879,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.23140540687112,36879.0,0.0,36879.0,36879.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.11570270343556,27.11570270343556,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2080,200,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.238-10.42.0.42-443-50986-6,10.42.0.42,50986,216.58.219.238,443,6,05/08/2017 09:09:57,103,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,223300.97087378643,19417.47572815534,103.0,0.0,103.0,103.0,103.0,103.0,0.0,103.0,103.0,0,0,0,0,0,1,0,0,0,64,0,19417.47572815534,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1419,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.238-10.42.0.42-443-50986-6,216.58.219.238,443,10.42.0.42,50986,6,05/08/2017 09:09:57,143,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,13986.013986013986,143.0,0.0,143.0,143.0,143.0,143.0,0.0,143.0,143.0,0,0,0,0,0,0,0,0,0,64,0,13986.013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,192,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.234-10.42.0.42-443-51912-6,10.42.0.42,51912,172.217.6.234,443,6,05/08/2017 09:09:58,294120,10,12,1293.0,4678.0,1016.0,0.0,129.29999999999998,316.47118527776126,1418.0,0.0,389.8333333333333,537.9955784430226,20301.23759009928,74.79940160478716,14005.71428571428,20344.94790394622,77031.0,10.0,257888.0,28654.222222222223,30811.973641661523,85006.0,79.0,257115.0,23374.09090909091,31425.12051672848,85770.0,10.0,0,0,0,0,328,392,33.999728002175985,40.79967360261118,0.0,1418.0,259.6086956521739,453.56764947273444,205723.61264822131,0,0,0,1,0,0,0,0,1.0,271.40909090909093,129.3,389.8333333333333,328,0,0,0,0,0,0,10,1293,12,4678,65535,181,4,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.42-80-52696-6,10.42.0.42,52696,208.80.154.224,80,6,05/08/2017 09:09:54,5060146,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7904910253577664,1686715.3333333333,2894498.0264516217,5028959.0,2392.0,31187.0,31187.0,0.0,31187.0,31187.0,5031351.0,5031351.0,0.0,5031351.0,5031351.0,0,0,0,0,72,72,0.3952455126788832,0.3952455126788832,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,57,0,32,0,0,0,0,0,0,0,0,BENIGN
