Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.151-443-44003-6,10.42.0.151,44003,172.217.10.42,443,6,05/08/2017 12:40:22,191,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,120418.84816753927,10471.204188481675,191.0,0.0,191.0,191.0,191.0,191.0,0.0,191.0,191.0,0,0,0,0,0,1,0,0,0,64,0,10471.204188481675,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-50390-6,10.42.0.151,50390,172.217.12.206,443,6,05/08/2017 12:40:23,275471,8,8,979.0,4588.0,724.0,0.0,122.375,250.85450393177544,1418.0,0.0,573.5,670.8663907856127,20209.023817389123,58.08233897579055,18364.73333333333,19492.890804696195,58988.0,4.0,216111.0,30872.999999999996,33463.92949131945,75520.0,4.0,238827.0,34118.142857142855,38706.81280872301,84609.0,52.0,0,0,0,0,264,264,29.041169487895274,29.041169487895274,0.0,1418.0,327.47058823529414,531.4439196245286,282432.63970588235,0,0,0,1,0,0,0,0,1.0,347.9375,122.375,573.5,264,0,0,0,0,0,0,8,979,8,4588,65535,176,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.151-443-50390-6,10.42.0.151,50390,172.217.12.206,443,6,05/08/2017 12:40:24,2,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,1.15E7,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,1,0,0,0,64,0,1000000.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1546,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-40556-6,10.42.0.151,40556,172.217.12.163,443,6,05/08/2017 12:40:23,293080,6,10,829.0,5145.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,514.5,663.7454749793444,20383.513033983894,54.592602702333835,19538.666666666664,22920.036289757692,77231.0,2.0,255177.0,51035.4,35416.37735991642,83833.0,5262.0,256586.0,28509.555555555555,47699.02061654702,130667.0,2.0,0,0,0,0,200,328,20.472226013375188,34.12037668895864,0.0,1418.0,351.4117647058824,550.6134146140477,303175.1323529412,0,0,0,1,0,0,0,0,1.0,373.375,138.16666666666666,514.5,200,0,0,0,0,0,0,6,829,10,5145,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-60342-6,10.42.0.151,60342,172.217.12.163,443,6,05/08/2017 12:40:23,447901,102,203,829.0,279903.0,517.0,0.0,8.127450980392156,57.27070883503951,1418.0,0.0,1378.8325123152706,226.52253079444097,626772.434086997,680.9540501137528,1473.3585526315785,6411.560197903922,75809.0,0.0,437569.0,4332.366336633662,13331.634096180987,77507.0,1.0,411453.0,2036.8960396039615,9557.44037446881,103545.0,1.0,0,0,0,0,3272,6504,227.728895447878,453.2251546658748,0.0,1418.0,917.4248366013078,675.306790684838,456039.26154505555,0,0,0,1,0,0,0,0,1.0,920.432786885246,8.127450980392156,1378.8325123152708,3272,0,0,0,0,0,0,102,829,203,279903,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-35886-6,10.42.0.151,35886,172.217.12.163,443,6,05/08/2017 12:40:24,198557,6,9,829.0,4324.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,480.44444444444446,686.7932933407094,25952.245450928447,75.54505759051557,14182.64285714286,23299.6656120183,76422.0,4.0,161063.0,32212.6,33214.043675830864,81688.0,930.0,162165.0,20270.625,29919.089696510775,78604.0,4.0,0,0,0,0,200,296,30.218023036206226,45.32703455430934,0.0,1418.0,322.0625,549.5055315159864,301956.32916666666,0,0,0,1,0,0,0,0,1.0,343.53333333333336,138.16666666666666,480.44444444444446,200,0,0,0,0,0,0,6,829,9,4324,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-40556-6,10.42.0.151,40556,172.217.12.163,443,6,05/08/2017 12:40:24,643063,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,48.206785338295,7.775287957789516,160765.75,296872.36169929436,605281.0,3.0,643063.0,160765.75,296872.36169929436,605281.0,3.0,0,0,0,0,0,0,0,0,0,160,0,7.775287957789516,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,160,0,0,0,0,0,0,5,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-35886-6,10.42.0.151,35886,172.217.12.163,443,6,05/08/2017 12:40:24,678667,4,0,31.0,0.0,31.0,0.0,7.75,15.500000000000002,0,0,0,0,45.67777717201514,5.893906731872922,226222.3333333333,365491.59702561336,647938.0,1186.0,678667.0,226222.3333333333,365491.59702561336,647938.0,1186.0,0,0,0,0,0,0,0,0,0,128,0,5.893906731872922,0.0,0.0,31.0,6.2,13.863621460498695,192.2,0,0,0,0,1,0,0,0,0.0,7.75,7.75,0.0,128,0,0,0,0,0,0,4,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-36459-6,10.42.0.151,36459,172.217.12.163,443,6,05/08/2017 12:40:25,483748,101,114,829.0,153433.0,517.0,0.0,8.207920792079207,57.55055461621256,1418.0,0.0,1345.9035087719292,307.63073972374394,318889.1737020101,444.4462819484525,2260.5046728971965,9554.7282033496,89384.0,1.0,481356.0,4813.56,15375.60710820417,99978.0,1.0,447233.0,3957.814159292038,16598.94452461439,127731.0,2.0,0,0,0,0,3240,3656,208.78639291531954,235.65988903313294,0.0,1418.0,714.1759259259262,706.6717316745986,499384.936347976,0,0,0,1,0,0,0,0,1.0,717.4976744186047,8.207920792079207,1345.9035087719299,3240,0,0,0,0,0,0,101,829,114,153433,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.163-10.42.0.151-443-37786-6,10.42.0.151,37786,172.217.12.163,443,6,05/08/2017 12:40:25,478263,102,203,829.0,279511.0,517.0,0.0,8.127450980392156,57.27070883503951,1418.0,0.0,1376.901477832512,236.2501194882265,586162.8434564247,637.7244319548031,1573.233552631577,6811.705342375417,76650.0,1.0,465080.0,4604.752475247522,13626.350989465918,82112.0,1.0,441646.0,2186.3663366336623,11707.045331444351,142058.0,1.0,0,0,0,0,3272,6504,213.27177724390137,424.45265471090175,0.0,1418.0,916.1437908496739,676.6354120911395,457835.48089574627,0,0,0,1,0,0,0,0,1.0,919.1475409836065,8.127450980392156,1376.9014778325122,3272,0,0,0,0,0,0,102,829,203,279511,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
