Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.14-10.42.0.151-443-41588-6,10.42.0.151,41588,172.217.11.14,443,6,05/08/2017 04:02:16,319913,6,8,1305.0,1712.0,737.0,0.0,217.5,325.33720967636026,1418.0,0.0,214.0,491.0056735197379,9430.688968563329,43.76189776595512,24608.692307692305,33833.47106142234,106490.0,3.0,263090.0,52618.0,75131.94485703135,182923.0,907.0,283368.0,40481.142857142855,53644.60607997966,143046.0,3.0,0,0,0,0,200,264,18.755099042552192,25.006798723402923,0.0,1418.0,201.13333333333333,401.800744269144,161443.83809523805,0,0,0,1,0,0,0,0,1.0,215.5,217.5,214.0,200,0,0,0,0,0,0,6,1305,8,1712,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-41588-6,10.42.0.151,41588,172.217.11.14,443,6,05/08/2017 04:02:17,34612,3,1,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0.0,0.0,0.0,0.0,895.643129550445,115.56685542586388,11537.333333333334,18834.6194369128,33284.0,430.0,1328.0,664.0,330.92597359530424,898.0,430.0,0,0,0,0,0,0,0,0,0,96,32,86.67514156939791,28.89171385646597,0.0,31.0,6.2,13.863621460498697,192.20000000000002,0,0,0,0,1,0,0,0,0.0,7.75,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,1,0,1414,352,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-44924-6,10.42.0.151,44924,172.217.12.170,443,6,05/08/2017 04:02:20,36645,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.57770500750444,36645.0,0.0,36645.0,36645.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.28885250375222,27.28885250375222,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-51172-6,10.42.0.151,51172,206.126.112.142,443,6,05/08/2017 04:02:17,4409798,4728,12131,985.0,1.7527441E7,627.0,0.0,0.20833333333333282,9.892844455082328,1448.0,0.0,1444.8471684115036,57.92447441462571,3974881.8426603666,3823.0776103576623,261.584885514297,2210.6576674637577,257562.0,0.0,4385682.0,927.7939496509432,5224.9363199027775,274076.0,1.0,4394524.0,362.28557295960377,3037.3337174572143,297423.0,0.0,0,0,0,0,151484,388200,1072.157953720329,2750.9196566373334,0.0,1448.0,1039.645670225386,650.882551561368,423648.0959270369,0,0,0,1,0,0,0,0,2.0,1039.7073373272435,0.20833333333333334,1444.8471684115077,151484,0,0,0,0,0,0,4728,985,12131,17527441,65535,123,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-51172-6,10.42.0.151,51172,206.126.112.142,443,6,05/08/2017 04:02:21,283126,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,109.49188700437261,10.595989064939285,141563.0,199999.49620436548,282984.0,142.0,283126.0,141563.0,199999.49620436548,282984.0,142.0,0,0,0,0,0,0,0,0,0,96,0,10.595989064939285,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,6509,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.37-10.42.0.151-443-46971-6,10.42.0.151,46971,172.217.10.37,443,6,05/08/2017 04:02:25,36743,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43213673352748,36743.0,0.0,36743.0,36743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.21606836676374,27.21606836676374,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3718,510,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-46371-6,10.42.0.151,46371,172.217.12.170,443,6,05/08/2017 04:02:30,98,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,234693.8775510204,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,1,0,0,0,64,0,20408.163265306124,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1591,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.170-10.42.0.151-443-46371-6,172.217.12.170,443,10.42.0.151,46371,6,05/08/2017 04:02:30,16,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,125000.0,16.0,0.0,16.0,16.0,16.0,16.0,0.0,16.0,16.0,0,0,0,0,0,0,0,0,0,64,0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,362,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-34777-6,10.42.0.151,34777,172.217.11.14,443,6,05/08/2017 04:02:33,36294,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,633.7135614702155,55.105527084366564,36294.0,0.0,36294.0,36294.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.552763542183282,27.552763542183282,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1537,455,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-67.129.144.33-59312-80-6,10.42.0.151,59312,67.129.144.33,80,6,05/08/2017 04:02:29,11641658,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.343593670248688,3880552.6666666665,6675437.912066168,1.1588658E7,9023.0,1.1641658E7,5820829.0,8156941.997248846,1.1588658E7,53000.0,0,0,0,0,0,0,0,0,0,104,40,0.25769525268651594,0.085898417562172,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,65535,28960,0,32,0,0,0,0,0,0,0,0,BENIGN
203.205.147.229-10.42.0.151-80-34565-6,10.42.0.151,34565,203.205.147.229,80,6,05/08/2017 04:02:41,551942,5,3,545.0,293.0,545.0,0.0,109.0,243.73140954747709,293.0,0.0,97.66666666666667,169.16362887256037,1518.2754709733993,14.494276572538418,78848.85714285714,106450.182597978,229467.0,392.0,551942.0,137985.5,160328.5842314672,307759.0,392.0,318901.0,159450.5,210524.78064232724,308314.0,10587.0,0,0,0,0,168,104,9.058922857836512,5.435353714701907,0.0,545.0,93.11111111111111,195.2072260729892,38105.86111111111,0,0,0,1,0,0,0,0,0.0,104.75,109.0,97.66666666666667,168,0,0,0,0,0,0,5,545,3,293,65535,216,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.151-443-32984-6,10.42.0.151,32984,172.217.11.14,443,6,05/08/2017 04:02:42,36792,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.1358991085019,54.359643400739294,36792.0,0.0,36792.0,36792.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.179821700369647,27.179821700369647,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
