Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
206.126.112.142-10.42.0.151-443-39302-6,10.42.0.151,39302,206.126.112.142,443,6,05/08/2017 07:23:51,4830273,2740,8140,31.0,1.1766233E7,31.0,0.0,0.011313868613138687,0.5922245579231743,1448.0,0.0,1445.483169533172,50.576126287194086,2435941.819437535,2252.460678723542,443.9997242393592,5766.114230747264,493807.0,-3.0,4830273.0,1763.5169769989038,12666.90762317694,493807.0,1.0,4814979.0,591.5934389974198,7858.82030916339,586012.0,0.0,0,0,0,0,88880,260480,567.2557223991273,1685.2049563244148,0.0,1448.0,1081.3586986490188,629.0428007127972,395694.84512859985,0,0,0,0,1,0,0,0,2.0,1081.458088235294,0.011313868613138687,1445.4831695331695,88880,0,0,0,0,0,0,2740,31,8140,11766233,5425,123,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.151-443-58886-6,10.42.0.151,58886,172.217.11.46,443,6,05/08/2017 07:23:56,36765,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.5949952400381,54.399564803481574,36765.0,0.0,36765.0,36765.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.199782401740787,27.199782401740787,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.151-443-34578-6,10.42.0.151,34578,172.217.11.46,443,6,05/08/2017 07:23:56,36721,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.3445984586477,81.69712153808449,18360.5,25640.3989926054,36491.0,230.0,0,0,0,0,0,230.0,230.0,0.0,230.0,230.0,1,0,0,0,32,64,27.23237384602816,54.46474769205632,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1403,370,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.151-443-33625-6,10.42.0.151,33625,172.217.3.106,443,6,05/08/2017 07:23:56,37061,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,836.4588111491865,80.94762688540516,18530.5,26183.457000556667,37045.0,16.0,0,0,0,0,0,16.0,16.0,0.0,16.0,16.0,1,0,0,0,32,64,26.98254229513505,53.9650845902701,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1635,234,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.199.17.202-38236-80-6,10.42.0.151,38236,23.199.17.202,80,6,05/08/2017 07:24:00,289872,11,9,492.0,10025.0,492.0,0.0,44.727272727272734,148.34358153225972,1448.0,0.0,1113.888888888889,632.5168860284373,36281.531158580336,68.99597063531489,15256.421052631575,30477.90555343291,122657.0,4.0,289872.0,28987.200000000004,66188.24207734248,209638.0,4.0,188303.0,23537.874999999996,46014.90436629512,122657.0,10.0,0,0,0,0,360,296,37.94778384942319,31.0481867858917,0.0,1448.0,500.80952380952374,683.4620413049738,467120.36190476175,0,0,0,1,0,0,0,0,0.0,525.85,44.72727272727273,1113.888888888889,360,0,0,0,0,0,0,11,492,9,10025,65535,939,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.199.17.202-47914-80-6,10.42.0.151,47914,23.199.17.202,80,6,05/08/2017 07:24:00,295841,5,3,512.0,931.0,512.0,0.0,102.4,228.97336089597846,931.0,0.0,310.3333333333333,537.5131006155416,4877.620072944588,27.041552725957523,42263.0,39287.94708728535,123779.0,3713.0,295841.0,73960.25,94502.31908750528,210956.0,3713.0,204800.0,102400.0,30234.4717499744,123779.0,81021.0,0,0,0,0,168,104,16.900970453723453,10.14058227223407,0.0,931.0,160.33333333333337,334.95223540081054,112193.0,0,0,0,1,0,0,0,0,0.0,180.375,102.4,310.3333333333333,168,0,0,0,0,0,0,5,512,3,931,65535,939,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-54.243.209.150-51960-443-6,10.42.0.151,51960,54.243.209.150,443,6,05/08/2017 07:24:01,51123,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,606.3806897091329,58.68200222991608,25561.5,36131.03519828902,51110.0,13.0,0,0,0,0,0,13.0,13.0,0.0,13.0,13.0,0,0,0,0,32,64,19.560667409972027,39.12133481994405,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1550,122,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.199.17.202-51956-80-6,10.42.0.151,51956,23.199.17.202,80,6,05/08/2017 07:24:00,366611,29,27,471.0,34801.0,471.0,0.0,16.241379310344833,87.46250428139143,1448.0,0.0,1288.9259259259259,458.56741186555246,96210.97021093202,152.75046302484103,6665.654545454545,20758.95305040265,134211.0,2.0,366611.0,13093.25,41755.513216487016,212826.0,2.0,279749.0,10759.576923076922,31792.52985111198,134211.0,3.0,0,0,0,0,936,872,79.10291835214983,73.64754467269121,0.0,1448.0,618.8070175438596,716.1227059309563,512831.7299498748,0,0,0,1,0,0,0,0,0.0,629.8571428571429,16.24137931034483,1288.9259259259259,936,0,0,0,0,0,0,29,471,27,34801,65535,939,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.199.17.202-60693-443-6,10.42.0.151,60693,23.199.17.202,443,6,05/08/2017 07:24:00,989697,12,9,1009.0,5015.0,602.0,0.0,84.08333333333333,180.1264496923977,1448.0,0.0,557.2222222222222,689.540748936888,6086.711387424636,21.21861539440859,49484.85,109211.9231553593,482838.0,3.0,989697.0,89972.45454545454,157262.81994633292,482838.0,220.0,875262.0,109407.74999999999,180283.68968279648,528902.0,3.0,0,0,0,0,392,296,12.124923082519194,9.093692311889397,0.0,1448.0,273.81818181818187,506.64448288186463,256688.63203463203,0,0,0,1,0,0,0,0,0.0,286.85714285714283,84.08333333333333,557.2222222222222,392,0,0,0,0,0,0,12,1009,9,5015,65535,977,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-23.199.17.202-60693-443-6,23.199.17.202,443,10.42.0.151,60693,6,05/08/2017 07:24:01,693,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,44733.04473304473,4329.004329004329,346.5,473.0544366138003,681.0,12.0,693.0,346.5,473.0544366138003,681.0,12.0,0,0,0,0,0,0,0,0,0,96,0,4329.004329004329,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,977,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.101-10.42.0.151-443-60887-6,10.42.0.151,60887,172.217.3.101,443,6,05/08/2017 07:24:05,4532696,10,9,1093.0,3672.0,503.0,0.0,109.3,178.0106426281555,1418.0,0.0,408.0,606.4579540248442,1051.2507346621085,4.19176578354251,251816.44444444444,934526.6551657062,3991615.0,5.0,4532696.0,503632.8888888889,1311049.463903674,3991615.0,207.0,433915.0,54239.375,76206.73204596166,189007.0,5.0,0,0,0,0,328,296,2.2061925176539527,1.9855732658885574,0.0,1418.0,238.25,441.87994023144716,195257.88157894733,0,0,0,1,0,0,0,0,0.0,250.78947368421052,109.3,408.0,328,0,0,0,0,0,0,10,1093,9,3672,65535,179,4,32,0,0,0,0,0,0,0,0,BENIGN
