Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.165-10.42.0.151-443-55230-6,10.42.0.151,55230,172.217.12.165,443,6,05/08/2017 09:20:08,36469,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.841097918780335,36469.0,0.0,36469.0,36469.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.420548959390167,27.420548959390167,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,3230,511,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-33429-6,10.42.0.151,33429,172.217.10.35,443,6,05/08/2017 09:20:11,223178,6,10,829.0,5145.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,514.5,663.7454749793444,26767.871385172377,71.69165419530599,14878.533333333333,22792.691566335365,77133.0,3.0,185436.0,37087.2,33327.98938880052,79128.0,903.0,186576.0,20730.666666666668,34857.30738310118,99009.0,3.0,0,0,0,0,200,328,26.884370323239747,44.80728387206624,0.0,1418.0,351.4117647058824,550.6134146140477,303175.1323529412,0,0,0,1,0,0,0,0,1.0,373.375,138.16666666666666,514.5,200,0,0,0,0,0,0,6,829,10,5145,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-52912-6,10.42.0.151,52912,172.217.10.35,443,6,05/08/2017 09:20:10,396843,102,203,829.0,279903.0,517.0,0.0,8.127450980392156,57.27070883503951,1418.0,0.0,1378.8325123152706,226.52253079444097,707413.2591478243,768.5659064163914,1305.4046052631595,5994.087610962947,75980.0,2.0,385165.0,3813.5148514851485,11659.365722554434,78222.0,2.0,360531.0,1784.8069306930695,7696.704272224649,78411.0,3.0,0,0,0,0,3272,6504,257.0285982113833,511.537308205008,0.0,1418.0,917.4248366013079,675.3067906848377,456039.2615450552,0,0,0,1,0,0,0,0,1.0,920.432786885246,8.127450980392156,1378.8325123152708,3272,0,0,0,0,0,0,102,829,203,279903,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-53706-6,10.42.0.151,53706,172.217.10.35,443,6,05/08/2017 09:20:12,278014,6,9,829.0,4324.0,517.0,0.0,138.16666666666666,211.40994930860438,1418.0,0.0,480.44444444444446,686.7932933407094,18535.037803851606,53.95411741854727,19858.142857142855,29772.420246977526,85569.0,6.0,240861.0,48172.2,66021.01061556087,161631.0,706.0,241635.0,30204.375,46605.938818191404,121622.0,6.0,0,0,0,0,200,296,21.58164696741891,32.372470451128365,0.0,1418.0,322.0625,549.5055315159864,301956.32916666666,0,0,0,1,0,0,0,0,1.0,343.53333333333336,138.16666666666666,480.44444444444446,200,0,0,0,0,0,0,6,829,9,4324,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-33429-6,10.42.0.151,33429,172.217.10.35,443,6,05/08/2017 09:20:11,2531565,5,0,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0,0,0,0,12.245389709527505,1.975062856375404,632891.25,1243944.4972766738,2498664.0,4.0,2531565.0,632891.25,1243944.4972766738,2498664.0,4.0,0,0,0,0,0,0,0,0,0,160,0,1.975062856375404,0.0,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,0,0,0,0.0,6.2,6.2,0.0,160,0,0,0,0,0,0,5,31,0,0,1458,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-53706-6,172.217.10.35,443,10.42.0.151,53706,6,05/08/2017 09:20:13,1362759,1,4,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,7.75,15.500000000000002,22.747969376830387,3.6690273188436104,340689.75,622298.2911960977,1271951.0,98.0,0,0,0,0,0,1272293.0,424097.6666666666,734262.5289787934,1271951.0,98.0,0,0,0,0,32,140,0.7338054637687221,2.9352218550748885,0.0,31.0,5.166666666666667,12.655697004379753,160.16666666666669,0,0,0,0,1,1,0,0,4.0,6.2,0.0,7.75,32,0,0,0,0,0,0,1,0,4,31,349,1502,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-52912-6,10.42.0.151,52912,172.217.10.35,443,6,05/08/2017 09:20:11,3194651,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,9.703720375089485,0.9390697137183374,1597325.5,2258817.964268148,3194551.0,100.0,3194651.0,1597325.5,2258817.964268148,3194551.0,100.0,0,0,0,0,0,0,0,0,0,96,0,0.9390697137183374,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,96,0,0,0,0,0,0,3,31,0,0,2850,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-35406-6,10.42.0.151,35406,172.217.10.35,443,6,05/08/2017 09:20:14,409989,101,114,829.0,153433.0,517.0,0.0,8.207920792079207,57.55055461621256,1418.0,0.0,1345.9035087719292,307.63073972374394,376258.87523811613,524.404313286454,1915.836448598132,8149.624206686741,76423.0,0.0,409770.0,4097.699999999999,15608.703817376569,134929.0,3.0,373063.0,3301.442477876106,13046.404202156109,95146.0,5.0,0,0,0,0,3240,3656,246.34807275317144,278.0562405332826,0.0,1418.0,714.1759259259261,706.6717316745986,499384.936347976,0,0,0,1,0,0,0,0,1.0,717.4976744186047,8.207920792079207,1345.9035087719299,3240,0,0,0,0,0,0,101,829,114,153433,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-50370-6,10.42.0.151,50370,172.217.10.35,443,6,05/08/2017 09:20:14,293877,28,53,829.0,67958.0,517.0,0.0,29.607142857142854,107.74913913404127,1418.0,0.0,1282.2264150943395,410.2882495884605,234067.3138762135,275.625516797844,3673.4625,11228.958828774943,76375.0,7.0,292604.0,10837.185185185186,18684.600998265585,78740.0,7.0,257802.0,4957.7307692307695,14204.133379525425,83132.0,9.0,0,0,0,0,904,1704,95.27795642394608,180.34756037389792,0.0,1418.0,838.8658536585366,689.6589202113174,475629.42622704024,0,0,0,1,0,0,0,0,1.0,849.2222222222222,29.607142857142858,1282.2264150943397,904,0,0,0,0,0,0,28,829,53,67958,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.35-10.42.0.151-443-60338-6,10.42.0.151,60338,172.217.10.35,443,6,05/08/2017 09:20:14,381987,102,203,829.0,279540.0,517.0,0.0,8.127450980392156,57.27070883503951,1418.0,0.0,1377.044334975369,235.43413239788893,733975.2399950783,798.4564919748577,1256.5361842105272,5964.901875817008,77487.0,1.0,369529.0,3658.70297029703,11063.628468585299,79979.0,2.0,345440.0,1710.0990099009907,7460.75286772939,81420.0,4.0,0,0,0,0,3272,6504,267.0247940374934,531.4316979373643,0.0,1418.0,916.2385620915038,676.5117850862234,457668.19536054856,0,0,0,1,0,0,0,0,1.0,919.2426229508196,8.127450980392156,1377.0443349753696,3272,0,0,0,0,0,0,102,829,203,279540,65535,349,3,32,0,0,0,0,0,0,0,0,BENIGN
