Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.6.238-10.42.0.151-443-45675-6,10.42.0.151,45675,172.217.6.238,443,6,05/08/2017 11:42:41,36755,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.7652020133314,54.41436539246361,36755.0,0.0,36755.0,36755.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.207182696231804,27.207182696231804,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1403,185,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-40860-443-6,31.13.71.37,443,10.42.0.151,40860,6,05/08/2017 11:42:42,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,133,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.37-40860-443-6,10.42.0.151,40860,31.13.71.37,443,6,05/08/2017 11:42:42,354,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,118644.06779661018,8474.57627118644,177.0,97.58073580374356,246.0,108.0,354.0,177.0,97.58073580374356,246.0,108.0,0,0,0,0,0,0,0,0,0,96,0,8474.57627118644,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1631,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.106-10.42.0.151-443-49351-6,10.42.0.151,49351,172.217.10.106,443,6,05/08/2017 11:42:45,37166,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.81262444169403,37166.0,0.0,37166.0,37166.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.906312220847013,26.906312220847013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1546,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.151-443-56219-6,10.42.0.151,56219,172.217.6.238,443,6,05/08/2017 11:42:46,124,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,250000.0,16129.032258064515,124.0,0.0,124.0,124.0,124.0,124.0,0.0,124.0,124.0,0,0,0,0,0,1,0,0,0,64,0,16129.032258064515,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1635,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.151-443-56219-6,172.217.6.238,443,10.42.0.151,56219,6,05/08/2017 11:42:46,33,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,60606.0606060606,33.0,0.0,33.0,33.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,0,0,0,0,0,64,0,60606.0606060606,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.151-443-53739-6,10.42.0.151,53739,172.217.6.238,443,6,05/08/2017 11:42:46,298098,6,8,1305.0,1710.0,737.0,0.0,217.5,325.33720967636026,1418.0,0.0,213.75000000000003,491.0428407263173,10114.123543264297,46.96442109641796,22930.615384615383,25283.27814497974,76786.0,13.0,240235.0,48047.0,48757.69043443301,101357.0,946.0,261363.0,37337.57142857143,49868.98530769448,136890.0,13.0,0,0,0,0,200,264,20.127609041321982,26.836812055095976,0.0,1418.0,201.0,401.8189002167874,161458.42857142858,0,0,0,1,0,0,0,0,1.0,215.35714285714286,217.5,213.75,200,0,0,0,0,0,0,6,1305,8,1710,65535,176,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.151-443-41053-6,10.42.0.151,41053,206.126.112.142,443,6,05/08/2017 11:42:47,5872560,3808,12136,1015.0,1.7523097E7,626.0,0.0,0.2665441176470587,11.019318920522261,1448.0,0.0,1443.893951878709,65.59700448660602,2984066.914599425,2714.999931886605,368.34723703192424,3927.041908536861,273806.0,-1.0,5872560.0,1542.5689519306572,9639.139332637607,333123.0,1.0,5850516.0,482.11915945611804,5425.3451986745795,361887.0,0.0,0,0,0,0,122200,388360,648.4395221164194,2066.5604097701853,0.0,1448.0,1099.0349325807517,618.2620527348352,382247.96585189214,0,0,0,1,0,0,0,0,3.0,1099.103863522328,0.2665441176470588,1443.8939518787079,122200,0,0,0,0,0,0,3808,1015,12136,17523097,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-51437-443-6,10.42.0.151,51437,31.13.71.3,443,6,05/08/2017 11:42:57,224568,6,7,1081.0,201.0,537.0,0.0,180.16666666666666,260.4837167015756,137.0,0.0,28.714285714285715,50.07898523237828,5708.738555804924,57.888924512842436,18714.000000000004,30942.53279284622,107221.0,13.0,86723.0,17344.6,23955.269833587765,52818.0,237.0,194745.0,32457.5,42862.22856431989,107221.0,13.0,0,0,0,0,200,232,26.71796515977343,31.170959353069005,0.0,537.0,91.57142857142857,183.43798544874642,33649.494505494506,0,0,0,1,0,0,0,0,1.0,98.61538461538461,180.16666666666666,28.714285714285715,200,0,0,0,0,0,0,6,1081,7,201,65535,122,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.151-31.13.71.3-51437-443-6,10.42.0.151,51437,31.13.71.3,443,6,05/08/2017 11:42:58,3301,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,9391.093607997576,908.8155104513784,1650.5,2168.6964978991414,3184.0,117.0,117.0,117.0,0.0,117.0,117.0,0,0,0,0,0,1,0,0,0,64,32,605.8770069675855,302.9385034837928,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,1369,122,0,32,0,0,0,0,0,0,0,0,BENIGN
