Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.238-10.42.0.42-443-56766-6,10.42.0.42,56766,172.217.9.238,443,6,05/08/2017 08:49:00,222368,6,8,1323.0,1712.0,755.0,0.0,220.5,331.11735079877644,1418.0,0.0,214.0,491.0056735197379,13648.546553460928,62.95869909339473,17105.23076923077,23327.021902912817,75859.0,25.0,163866.0,32773.2,33747.301339514546,82827.0,909.0,185562.0,26508.857142857145,30011.57630775482,79614.0,25.0,0,0,0,0,200,264,26.982299611454884,35.97639948193984,0.0,1418.0,202.3333333333333,403.5385743053332,162843.38095238092,0,0,0,1,0,0,0,0,1.0,216.78571428571428,220.5,214.0,200,0,0,0,0,0,0,6,1323,8,1712,65535,352,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-56766-6,10.42.0.42,56766,172.217.9.238,443,6,05/08/2017 08:49:00,287,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,108013.93728222998,6968.641114982579,287.0,0.0,287.0,287.0,287.0,287.0,0.0,287.0,287.0,0,0,0,0,0,1,0,0,0,64,0,6968.641114982579,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1431,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.42-443-41214-6,10.42.0.42,41214,172.217.10.42,443,6,05/08/2017 08:49:00,36301,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,853.9709649871904,82.64235145037327,18150.5,25300.987737635856,36041.0,260.0,0,0,0,0,0,260.0,260.0,0.0,260.0,260.0,1,0,0,0,32,64,27.547450483457755,55.09490096691551,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1656,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.234-10.42.0.42-443-48875-6,10.42.0.42,48875,172.217.10.234,443,6,05/08/2017 08:49:00,36971,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09645397744178,36971.0,0.0,36971.0,36971.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.04822698872089,27.04822698872089,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.141-10.42.0.42-443-34817-6,10.42.0.42,34817,206.126.112.141,443,6,05/08/2017 08:49:00,1409836,880,2906,1226.0,4200473.0,627.0,0.0,1.3931818181818179,27.448824222253975,1448.0,0.0,1445.4483826565709,59.17401845724299,2980275.0107104653,2685.4187295543593,372.4797886393662,5211.644732808505,235541.0,-2.0,1409836.0,1603.9089874857787,11679.37008136148,255172.0,2.0,1374811.0,473.2567986230642,5982.817273351946,235541.0,0.0,0,0,0,0,28168,93000,624.1860755435383,2061.232654010821,0.0,1448.0,1109.5059413784015,612.5541955855028,375222.64252940245,0,0,0,1,0,0,0,0,3.0,1109.798996302166,1.393181818181818,1445.4483826565727,28168,0,0,0,0,0,0,880,1226,2906,4200473,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.42-443-60309-6,10.42.0.42,60309,172.217.10.42,443,6,05/08/2017 08:49:02,36745,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.6521975779018,81.64376105592598,18372.5,25742.222369096264,36575.0,170.0,0,0,0,0,0,170.0,170.0,0.0,170.0,170.0,1,0,0,0,32,64,27.214587018641993,54.429174037283985,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1419,426,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-59458-6,10.42.0.42,59458,172.217.9.238,443,6,05/08/2017 08:49:11,36733,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.139983121444,81.6704325810579,18366.5,25756.364504719993,36579.0,154.0,0,0,0,0,0,154.0,154.0,0.0,154.0,154.0,1,0,0,0,32,64,27.223477527019302,54.446955054038604,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,370,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.42-443-59572-6,10.42.0.42,59572,216.58.219.227,443,6,05/08/2017 08:49:12,284638,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,7.026468707621611,284638.0,0.0,284638.0,284638.0,284638.0,284638.0,0.0,284638.0,284638.0,0,0,0,0,0,0,0,0,0,64,0,7.026468707621611,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.227-10.42.0.42-443-59572-6,10.42.0.42,59572,216.58.219.227,443,6,05/08/2017 08:49:13,1159697,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.7245884054196916,1159697.0,0.0,1159697.0,1159697.0,1159697.0,1159697.0,0.0,1159697.0,1159697.0,0,0,0,0,0,0,0,0,0,64,0,1.7245884054196916,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.42-443-46238-6,10.42.0.42,46238,172.217.9.238,443,6,05/08/2017 08:49:15,36355,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,632.6502544354285,55.01306560308073,36355.0,0.0,36355.0,36355.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.506532801540367,27.506532801540367,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1503,413,0,32,0,0,0,0,0,0,0,0,BENIGN
