Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.1-10.42.0.211-443-39700-6,10.42.0.211,39700,172.217.11.1,443,6,06/08/2017 11:02:35,36827,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.307980557742965,36827.0,0.0,36827.0,36827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.153990278871483,27.153990278871483,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-43784-6,10.42.0.211,43784,172.217.10.10,443,6,06/08/2017 11:02:35,36470,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.839594187003016,36470.0,0.0,36470.0,36470.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.419797093501508,27.419797093501508,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,357,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.4-10.42.0.211-443-45541-6,10.42.0.211,45541,172.217.10.4,443,6,06/08/2017 11:02:35,37441,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.417376672631605,37441.0,0.0,37441.0,37441.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.708688336315802,26.708688336315802,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,349,0,32,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-49451-6,10.42.0.211,49451,198.105.244.11,80,6,06/08/2017 11:02:36,67162,3,4,262.0,223.0,262.0,0.0,87.33333333333333,151.26577052768195,223.0,0.0,55.75,111.5,7221.345403650874,104.22560376403324,11193.666666666668,16286.342961716933,32220.0,14.0,34936.0,17468.0,24171.73820808094,34560.0,376.0,34942.0,11647.333333333332,20116.62440205447,34876.0,14.0,0,0,0,0,80,84,44.668115898871385,59.557487865161846,0.0,262.0,60.62499999999999,112.7385565938164,12709.982142857143,0,0,0,1,0,0,0,0,1.0,69.28571428571429,87.33333333333333,55.75,80,0,0,0,0,0,0,3,262,4,223,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
198.105.244.11-10.42.0.211-80-49451-6,10.42.0.211,49451,198.105.244.11,80,6,06/08/2017 11:02:36,72,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,27777.777777777777,72.0,0.0,72.0,72.0,72.0,72.0,0.0,72.0,72.0,0,0,0,0,0,0,0,0,0,40,0,27777.777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-53848-6,10.42.0.211,53848,172.217.10.10,443,6,06/08/2017 11:02:43,36724,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.460298442435466,36724.0,0.0,36724.0,36724.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.230149221217733,27.230149221217733,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2949,362,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.10-10.42.0.211-443-35338-6,10.42.0.211,35338,172.217.10.10,443,6,06/08/2017 11:02:47,36226,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.20896593606802,36226.0,0.0,36226.0,36226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.60448296803401,27.60448296803401,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.244.43.67-52591-443-6,10.42.0.211,52591,104.244.43.67,443,6,06/08/2017 11:02:37,10412900,41,103,784.0,141596.0,449.0,0.0,19.121951219512198,78.44845285980828,1448.0,0.0,1374.7184466019423,285.9631958176947,13673.424310230579,13.829000566604885,72817.48251748252,786474.3569083881,9407586.0,5.0,1005272.0,25131.79999999999,52044.97205804876,184076.0,8.0,1.0389248E7,101855.37254901961,946405.7620448648,9561481.0,5.0,0,0,0,0,1332,3304,3.9374237724361127,9.89157679416877,0.0,1448.0,981.9310344827585,663.7932624023296,440621.4952107279,0,0,0,1,0,0,0,0,2.0,988.75,19.121951219512194,1374.7184466019417,1332,0,0,0,0,0,0,41,784,103,141596,65535,61,3,32,1005272.0,0.0,1005272.0,1005272.0,9407586.0,0.0,9407586.0,9407586.0,BENIGN
10.42.0.211-104.244.43.67-52592-443-6,10.42.0.211,52592,104.244.43.67,443,6,06/08/2017 11:02:37,10418527,15,25,787.0,29464.0,452.0,0.0,52.46666666666666,126.08662932776852,1448.0,0.0,1178.56,505.22017312586934,2903.5774442970683,3.8393143291753242,267141.7179487179,1563470.2476128465,9778503.0,6.0,639979.0,45712.78571428571,60199.800218399105,147184.0,117.0,1.0394923E7,433121.7916666667,2023360.5162859308,9930193.0,6.0,0,0,0,0,500,808,1.4397428734407465,2.3995714557345775,0.0,1448.0,737.8292682926831,685.4709659219357,469870.4451219514,0,0,0,1,0,0,0,0,1.0,756.275,52.46666666666667,1178.56,500,0,0,0,0,0,0,15,787,25,29464,65535,61,3,32,639979.0,0.0,639979.0,639979.0,9778503.0,0.0,9778503.0,9778503.0,BENIGN
10.42.0.211-104.244.43.67-52590-443-6,10.42.0.211,52590,104.244.43.67,443,6,06/08/2017 11:02:37,10431414,8,9,787.0,6881.0,452.0,0.0,98.37499999999999,163.20008534661633,1448.0,0.0,764.5555555555554,674.0788364707631,735.0873045590943,1.6296927722358636,651963.3750000001,2475728.287927006,9934561.0,7.0,496809.0,70972.71428571429,75011.95137379618,182929.0,434.0,1.0407768E7,1300970.9999999998,3552930.805576674,1.0093208E7,7.0,0,0,0,0,276,296,0.7669142457580534,0.8627785264778102,0.0,1448.0,425.99999999999994,588.7802945871385,346662.2352941177,0,0,0,1,0,0,0,0,1.0,451.05882352941177,98.375,764.5555555555555,276,0,0,0,0,0,0,8,787,9,6881,65535,61,3,32,496809.0,0.0,496809.0,496809.0,9934561.0,0.0,9934561.0,9934561.0,BENIGN
10.42.0.211-104.244.43.67-52589-443-6,10.42.0.211,52589,104.244.43.67,443,6,06/08/2017 11:02:37,10451439,42,114,786.0,157357.0,451.0,0.0,18.714285714285722,77.81287300681625,1448.0,0.0,1380.3245614035088,274.33551241809676,15131.21781603471,14.926174280881321,67428.63870967741,769434.2863379738,9582013.0,5.0,869382.0,21204.439024390245,45878.2135588608,159112.0,10.0,1.0427632E7,92279.92920353981,903107.8238001729,9602957.0,5.0,0,0,0,0,1364,3656,4.018585383314202,10.90758889756712,0.0,1448.0,1007.2802547770702,653.7698649665617,427415.0363383963,0,0,0,1,0,0,0,0,2.0,1013.7371794871794,18.714285714285715,1380.3245614035088,1364,0,0,0,0,0,0,42,786,114,157357,65535,61,3,32,869382.0,0.0,869382.0,869382.0,9582013.0,0.0,9582013.0,9582013.0,BENIGN
172.217.10.10-10.42.0.211-443-43817-6,10.42.0.211,43817,172.217.10.10,443,6,06/08/2017 11:02:20,30112864,13,10,460.0,4277.0,218.0,0.0,35.38461538461539,61.13991939469452,1418.0,0.0,427.7,611.6685831032648,157.30818563123057,0.7637931749035894,1368766.5454545456,6370280.703064039,2.9889804E7,16.0,3.0112864E7,2509405.333333333,8622622.733141111,2.9889804E7,16.0,180841.0,20093.444444444445,31730.389408700576,84569.0,24.0,0,0,0,0,424,328,0.4317091858150723,0.33208398908851716,0.0,1418.0,197.37499999999994,433.5238634924164,187942.9402173913,0,0,0,1,0,0,0,0,0.0,205.95652173913044,35.38461538461539,427.7,424,0,0,0,0,0,0,13,460,10,4277,65535,340,6,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-39787-6,10.42.0.211,39787,172.217.3.110,443,6,06/08/2017 11:02:51,118,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,262711.8644067797,16949.15254237288,118.0,0.0,118.0,118.0,118.0,118.0,0.0,118.0,118.0,0,0,0,0,0,1,0,0,0,64,0,16949.15254237288,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.244.43.67-52593-443-6,10.42.0.211,52593,104.244.43.67,443,6,06/08/2017 11:02:41,10883593,12,12,1152.0,9315.0,433.0,0.0,96.0,160.26739020660554,1448.0,0.0,776.25,647.8529750435104,961.7228428148683,2.205154125112911,473199.69565217383,2100357.514550784,1.0094734E7,8.0,788813.0,71710.27272727272,156592.8963165896,541211.0,325.0,1.0859702E7,987245.6363636365,3029334.847511951,1.0105038E7,8.0,0,0,0,0,392,392,1.1025770625564555,1.1025770625564555,0.0,1448.0,418.67999999999995,572.2189062471342,327434.4766666666,0,0,0,1,0,0,0,0,1.0,436.125,96.0,776.25,392,0,0,0,0,0,0,12,1152,12,9315,65535,63,4,32,788813.0,0.0,788813.0,788813.0,1.0094734E7,0.0,1.0094734E7,1.0094734E7,BENIGN
