Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-45681-6,157.240.18.36,443,10.42.0.211,45681,6,06/08/2017 01:35:00,44,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,954545.4545454546,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,1,0,0,0,64,0,45454.545454545456,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-45681-6,10.42.0.211,45681,157.240.18.36,443,6,06/08/2017 01:35:00,1110,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,37837.83783783783,2702.7027027027025,555.0,394.5655839020935,834.0,276.0,1110.0,555.0,394.5655839020935,834.0,276.0,0,0,0,0,0,0,0,0,0,96,0,2702.7027027027025,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-50740-6,10.42.0.211,50740,172.217.12.202,443,6,06/08/2017 01:35:16,36623,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,846.46260546651,81.91573601288808,18311.5,25596.558372171832,36411.0,212.0,0,0,0,0,0,212.0,212.0,0.0,212.0,212.0,1,0,0,0,32,64,27.305245337629355,54.61049067525871,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2335,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-37025-6,10.42.0.211,37025,172.217.12.202,443,6,06/08/2017 01:35:21,36920,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17118093174431,36920.0,0.0,36920.0,36920.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.085590465872155,27.085590465872155,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-37026-6,10.42.0.211,37026,172.217.12.202,443,6,06/08/2017 01:35:21,318445,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,6.280519398954294,318445.0,0.0,318445.0,318445.0,318445.0,318445.0,0.0,318445.0,318445.0,0,0,0,0,0,0,0,0,0,64,0,6.280519398954294,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-37026-6,10.42.0.211,37026,172.217.12.202,443,6,06/08/2017 01:35:22,1258785,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.588833676918616,1258785.0,0.0,1258785.0,1258785.0,1258785.0,1258785.0,0.0,1258785.0,1258785.0,0,0,0,0,0,0,0,0,0,64,0,1.588833676918616,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.0.225-10.42.0.211-443-55632-6,10.42.0.211,55632,172.217.0.225,443,6,06/08/2017 01:35:23,22540,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.73114463176574,22540.0,0.0,22540.0,22540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,44.36557231588287,44.36557231588287,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.68-10.42.0.211-443-54998-6,10.42.0.211,54998,172.217.10.68,443,6,06/08/2017 01:35:23,36909,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.18732558454578,36909.0,0.0,36909.0,36909.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.09366279227289,27.09366279227289,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,349,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-37014-6,10.42.0.211,37014,172.217.12.202,443,6,06/08/2017 01:35:23,36579,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.676180322042704,36579.0,0.0,36579.0,36579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.338090161021352,27.338090161021352,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.202-10.42.0.211-443-37026-6,10.42.0.211,37026,172.217.12.202,443,6,06/08/2017 01:35:26,5301001,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.37728723310936935,5301001.0,0.0,5301001.0,5301001.0,5301001.0,5301001.0,0.0,5301001.0,5301001.0,0,0,0,0,0,0,0,0,0,64,0,0.37728723310936935,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1369,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
