Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.42-10.42.0.211-443-51350-6,10.42.0.211,51350,172.217.10.42,443,6,06/08/2017 03:36:21,36822,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,841.8880017380914,54.3153549508446,36822.0,0.0,36822.0,36822.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.1576774754223,27.1576774754223,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1427,447,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.125.22.100-54361-443-6,10.42.0.211,54361,74.125.22.100,443,6,06/08/2017 03:36:23,388,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,59278.35051546392,5154.639175257732,388.0,0.0,388.0,388.0,388.0,388.0,0.0,388.0,388.0,0,0,0,0,0,1,0,0,0,64,0,5154.639175257732,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-36501-6,10.42.0.211,36501,172.217.10.42,443,6,06/08/2017 03:36:24,946,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,32769.55602536998,2114.164904862579,946.0,0.0,946.0,946.0,946.0,946.0,0.0,946.0,946.0,0,0,0,0,0,1,0,0,0,64,0,2114.164904862579,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-36501-6,172.217.10.42,443,10.42.0.211,36501,6,06/08/2017 03:36:24,501,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3992.015968063872,501.0,0.0,501.0,501.0,501.0,501.0,0.0,501.0,501.0,0,0,0,0,0,0,0,0,0,64,0,3992.015968063872,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-57619-6,10.42.0.211,57619,172.217.10.42,443,6,06/08/2017 03:36:26,37122,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.87640752114649,37122.0,0.0,37122.0,37122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.938203760573245,26.938203760573245,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-50619-6,10.42.0.211,50619,172.217.10.42,443,6,06/08/2017 03:36:32,36290,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.11160099200881,36290.0,0.0,36290.0,36290.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.555800496004405,27.555800496004405,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,350,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.93.172.160-60451-443-6,10.42.0.211,60451,104.93.172.160,443,6,06/08/2017 03:36:37,22293,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1390.5710312654196,134.57139012245997,11146.5,15701.306076247287,22249.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,32,64,44.85713004081999,89.71426008163998,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.33.60.151-37827-443-6,10.42.0.211,37827,23.33.60.151,443,6,06/08/2017 03:36:37,33416,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,927.6993057218099,89.77735216662676,16708.0,23567.86901694763,33373.0,43.0,0,0,0,0,0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,32,64,29.925784055542255,59.85156811108451,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.173.205.111-47953-443-6,10.42.0.211,47953,52.173.205.111,443,6,06/08/2017 03:36:37,49191,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65784391453721,49191.0,0.0,49191.0,49191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.328921957268605,20.328921957268605,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.116.26-35023-443-6,10.42.0.211,35023,23.101.116.26,443,6,06/08/2017 03:36:37,49490,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4122044857547,49490.0,0.0,49490.0,49490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.20610224287735,20.20610224287735,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
