Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.12.206-10.42.0.211-443-45556-6,10.42.0.211,45556,172.217.12.206,443,6,06/08/2017 04:17:37,36727,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.2422740762926,54.45584991967762,36727.0,0.0,36727.0,36727.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.22792495983881,27.22792495983881,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1486,196,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-41373-6,10.42.0.211,41373,216.58.219.234,443,6,06/08/2017 04:17:37,36697,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.50036787748317,36697.0,0.0,36697.0,36697.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.250183938741586,27.250183938741586,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-53341-6,10.42.0.211,53341,216.58.219.234,443,6,06/08/2017 04:17:39,431645,11,11,1389.0,4634.0,1037.0,0.0,126.27272727272728,310.9546883097571,1418.0,0.0,421.27272727272725,552.1934608285561,13953.5961264465,50.96780919505612,20554.52380952381,36563.26909566354,145398.0,20.0,431645.0,43164.5,45210.72317554272,145398.0,1010.0,247203.0,24720.300000000003,40540.78708343542,106459.0,20.0,0,0,0,0,360,360,25.48390459752806,25.48390459752806,0.0,1418.0,261.8695652173913,455.59325004456105,207565.20948616593,0,0,0,1,0,0,0,0,1.0,273.77272727272725,126.27272727272727,421.27272727272725,360,0,0,0,0,0,0,11,1389,11,4634,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-48798-6,10.42.0.211,48798,216.58.219.234,443,6,06/08/2017 04:17:39,36494,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,849.4547048829945,54.80352934728997,36494.0,0.0,36494.0,36494.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.401764673644983,27.401764673644983,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1637,309,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-52855-6,10.42.0.211,52855,172.217.12.206,443,6,06/08/2017 04:17:40,73,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,424657.5342465753,27397.260273972603,73.0,0.0,73.0,73.0,73.0,73.0,0.0,73.0,73.0,0,0,0,0,0,1,0,0,0,64,0,27397.260273972603,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1727,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-52855-6,172.217.12.206,443,10.42.0.211,52855,6,06/08/2017 04:17:40,43,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,0,0,0,0,64,0,46511.62790697674,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.204.139-10.42.0.211-443-45361-6,10.42.0.211,45361,173.194.204.139,443,6,06/08/2017 04:17:41,87,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,264367.816091954,22988.505747126437,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0,0,0,0,0,1,0,0,0,64,0,22988.505747126437,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-59129-6,10.42.0.211,59129,172.217.12.206,443,6,06/08/2017 04:17:42,98,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,234693.8775510204,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,1,0,0,0,64,0,20408.163265306124,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2769,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.206-10.42.0.211-443-59129-6,172.217.12.206,443,10.42.0.211,59129,6,06/08/2017 04:17:42,44,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,45454.545454545456,44.0,0.0,44.0,44.0,44.0,44.0,0.0,44.0,44.0,0,0,0,0,0,0,0,0,0,64,0,45454.545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-37835-6,10.42.0.211,37835,216.58.219.234,443,6,06/08/2017 04:17:43,36548,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.722556637846125,36548.0,0.0,36548.0,36548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.361278318923063,27.361278318923063,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,189,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-34487-6,10.42.0.211,34487,216.58.219.234,443,6,06/08/2017 04:17:48,36787,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.36703183189714,36787.0,0.0,36787.0,36787.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18351591594857,27.18351591594857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-111.221.77.148-39610-40010-6,10.42.0.211,39610,111.221.77.148,40010,6,06/08/2017 04:17:26,24146354,3,2,272.0,4.0,272.0,0.0,90.66666666666666,157.0392732195782,4.0,0.0,2.0,2.8284271247461903,11.430297095785145,0.2070705995613251,6036588.5,1.1916712019092865E7,2.3910957E7,82.0,2.4146354E7,1.2073177E7,1.6741149024388976E7,2.3910957E7,235397.0,82.0,82.0,0.0,82.0,82.0,1,0,0,0,96,64,0.12424235973679505,0.08282823982453004,0.0,272.0,91.33333333333333,139.95237285114771,19586.666666666664,0,1,0,0,1,0,0,0,0.0,109.6,90.66666666666667,2.0,96,0,0,0,0,0,0,3,272,2,4,1417,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.216.63-42466-12350-6,10.42.0.211,42466,91.190.216.63,12350,6,06/08/2017 04:17:26,24147989,3,1,5.0,5.0,5.0,0.0,1.6666666666666665,2.886751345948129,5.0,5.0,5.0,0.0,0.41411315865681403,0.16564526346272562,8049329.666666667,1.3796453979701173E7,2.3980048E7,47881.0,2.4147989E7,1.20739945E7,1.683770233403966E7,2.3980048E7,167941.0,0,0,0,0,0,1,0,0,0,96,32,0.12423394759704422,0.041411315865681406,0.0,5.0,3.0,2.7386127875258306,7.5,0,1,0,0,1,0,0,0,0.0,3.75,1.6666666666666667,5.0,96,0,0,0,0,0,0,3,5,1,5,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.156.39-59633-443-6,10.42.0.211,59633,104.208.156.39,443,6,06/08/2017 04:17:22,28380889,4,2,186.0,101.0,101.0,0.0,46.5,54.08943211632626,101.0,0.0,50.5,71.4177848998413,10.112438690697815,0.21140986809821213,5676177.8,1.2597273411655702E7,2.8210827E7,10150.0,2.8380889E7,9460296.333333334,1.6238435902202198E7,2.8210827E7,84449.0,60491.0,60491.0,0.0,60491.0,60491.0,1,0,0,0,128,64,0.14093991206547477,0.07046995603273738,0.0,101.0,53.14285714285715,50.137905060039394,2513.809523809524,0,1,0,0,1,0,0,0,0.0,62.0,46.5,50.5,128,0,0,0,0,0,0,4,186,2,101,1595,509,1,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-42023-443-6,10.42.0.211,42023,65.52.108.74,443,6,06/08/2017 04:17:50,49860,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.16847172081829,24930.0,35191.290286092095,49814.0,46.0,0,0,0,0,0,46.0,46.0,0.0,46.0,46.0,0,0,0,0,32,64,20.056157240272764,40.11231448054553,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.189.71-48273-443-6,10.42.0.211,48273,52.179.189.71,443,6,06/08/2017 04:17:50,50089,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.928926510810754,50089.0,0.0,50089.0,50089.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.964463255405377,19.964463255405377,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-48185-443-6,10.42.0.211,48185,52.179.184.189,443,6,06/08/2017 04:17:50,50116,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.907414797669404,50116.0,0.0,50116.0,50116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.953707398834702,19.953707398834702,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-44833-6,10.42.0.211,44833,216.58.219.234,443,6,06/08/2017 04:17:53,36763,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,843.2391262954602,54.40252427712646,36763.0,0.0,36763.0,36763.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.20126213856323,27.20126213856323,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,1.0,31.0,31.0,0.0,32,0,0,0,0,0,0,1,31,1,0,1421,233,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-39439-6,10.42.0.211,39439,216.58.219.234,443,6,06/08/2017 04:18:12,36782,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.8035452123321,81.56163340764503,18391.0,25689.189360507273,36556.0,226.0,0,0,0,0,0,226.0,226.0,0.0,226.0,226.0,1,0,0,0,32,64,27.18721113588168,54.37442227176336,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2335,213,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-41787-6,10.42.0.211,41787,216.58.219.234,443,6,06/08/2017 04:18:14,88,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,352272.7272727273,22727.272727272728,88.0,0.0,88.0,88.0,88.0,88.0,0.0,88.0,88.0,0,0,0,0,0,1,0,0,0,64,0,22727.272727272728,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1950,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.234-10.42.0.211-443-41787-6,216.58.219.234,443,10.42.0.211,41787,6,06/08/2017 04:18:14,55,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,0,0,0,0,64,0,36363.63636363636,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,213,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
