Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
180.149.138.197-10.42.0.211-80-60697-6,10.42.0.211,60697,180.149.138.197,80,6,06/08/2017 05:40:22,505162,3,4,370.0,437.0,370.0,0.0,123.33333333333333,213.61959960016154,437.0,0.0,109.25,218.5,1597.5073342808842,13.856940941717706,84193.66666666666,127331.5546715215,248703.0,479.0,255398.0,127699.0,179916.24940510516,254919.0,479.0,256764.0,85588.0,147323.91285531348,255703.0,511.0,0,0,0,0,80,84,5.938688975021874,7.918251966695832,0.0,437.0,100.875,187.64056635721695,35208.98214285714,0,0,0,1,0,0,0,0,1.0,115.28571428571429,123.33333333333333,109.25,80,0,0,0,0,0,0,3,370,4,437,65535,15544,1,20,0,0,0,0,0,0,0,0,BENIGN
180.149.138.197-10.42.0.211-80-60697-6,10.42.0.211,60697,180.149.138.197,80,6,06/08/2017 05:40:22,120,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,16666.666666666668,120.0,0.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0,0,0,0,0,0,0,0,0,40,0,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-123.59.190.237-55763-80-6,10.42.0.211,55763,123.59.190.237,80,6,06/08/2017 05:40:23,538246,3,7,386.0,7006.0,386.0,0.0,128.66666666666666,222.85720390719553,1460.0,0.0,1000.8571428571429,692.0923417606999,13733.497322785492,18.578865425846175,59805.111111111124,114439.34050889629,261781.0,3.0,263985.0,131992.5,185979.6900537798,263500.0,485.0,276937.0,46156.16666666667,107050.63891152947,264457.0,3.0,0,0,0,0,80,144,5.573659627753853,13.005205798092321,0.0,1460.0,672.0,711.8657176743378,506752.8,0,0,0,1,0,0,0,0,2.0,739.2,128.66666666666666,1000.8571428571429,80,0,0,0,0,0,0,3,386,7,7006,65535,8190,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-123.59.190.237-55763-80-6,10.42.0.211,55763,123.59.190.237,80,6,06/08/2017 05:40:24,233,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,21459.227467811157,58.25,113.16764849844087,228.0,1.0,233.0,58.25,113.16764849844087,228.0,1.0,0,0,0,0,0,0,0,0,0,100,0,21459.227467811157,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,5,0,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48397-6,10.42.0.211,48397,180.76.157.91,80,6,06/08/2017 05:40:24,522489,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2421.1036021810987,13.397411237365763,87081.5,122342.65924811346,247185.0,5.0,280383.0,140191.5,188829.3303819616,273714.0,6669.0,275304.0,91768.0,158720.85549479627,275043.0,5.0,0,0,0,0,104,136,5.741747673156755,7.655663564209007,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48403-6,10.42.0.211,48403,180.76.157.91,80,6,06/08/2017 05:40:24,487255,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2596.17654000472,14.366194292516239,81209.16666666667,124559.98643772672,242313.0,5.0,244364.0,122182.0,172098.47683230668,243874.0,490.0,245543.0,81847.66666666666,141264.0399441179,244965.0,5.0,0,0,0,0,104,136,6.156940411078388,8.209253881437851,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48404-6,10.42.0.211,48404,180.76.157.91,80,6,06/08/2017 05:40:24,487250,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2596.203181118522,14.366341713699333,81208.33333333333,124606.04662802952,242206.0,4.0,244716.0,122358.0,172007.96716431482,243986.0,730.0,245313.0,81771.0,141347.5608102241,244985.0,4.0,0,0,0,0,104,136,6.157003591585428,8.209338122113904,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48405-6,10.42.0.211,48405,180.76.157.91,80,6,06/08/2017 05:40:24,489090,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2586.4360342677214,14.31229426077,81515.0,124258.71609991792,242060.0,5.0,246527.0,123263.5,171041.35219443278,244208.0,2319.0,247295.0,82431.66666666666,142340.43748117867,246792.0,5.0,0,0,0,0,104,136,6.1338403974728575,8.178453863297143,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48406-6,10.42.0.211,48406,180.76.157.91,80,6,06/08/2017 05:40:24,501106,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2524.4159918260802,13.969100350025741,83517.66666666666,123185.98000530202,242428.0,5.0,258126.0,129063.0,181416.729994783,257344.0,782.0,258768.0,86256.0,148921.97501040602,258216.0,5.0,0,0,0,0,104,136,5.986757292868175,7.982343057157567,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
180.76.157.91-10.42.0.211-80-48407-6,10.42.0.211,48407,180.76.157.91,80,6,06/08/2017 05:40:24,498001,3,4,442.0,823.0,442.0,0.0,147.33333333333334,255.1888189818146,823.0,0.0,205.75,411.49999999999994,2540.1555418563416,14.056196674303866,83000.16666666666,123688.98290376014,242594.0,5.0,255024.0,127512.0,179887.96513385768,254712.0,312.0,255407.0,85135.66666666666,147088.78981531304,254979.0,5.0,0,0,0,0,104,136,6.024084288987371,8.032112385316495,0.0,823.0,158.125,309.99190657637683,96094.98214285716,0,0,0,1,0,0,0,0,1.0,180.71428571428572,147.33333333333334,205.75,104,0,0,0,0,0,0,3,442,4,823,65535,400,1,32,0,0,0,0,0,0,0,0,BENIGN
