Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-52857-6,157.240.18.36,443,10.42.0.211,52857,6,06/08/2017 09:40:49,45,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,933333.3333333333,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,1,0,0,0,64,0,44444.444444444445,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-52857-6,157.240.18.36,443,10.42.0.211,52857,6,06/08/2017 09:40:49,68321,1,4,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,10.5,21.0,614.7451003351824,73.18394051609314,17080.25,33693.58317123109,67620.0,101.0,0,0,0,0,0,701.0,233.66666666666669,205.18365756885544,470.0,101.0,0,0,0,0,32,140,14.636788103218628,58.54715241287451,0.0,42.0,7.0,17.146428199482248,294.0,0,0,0,0,1,1,0,0,4.0,8.4,0.0,10.5,32,0,0,0,0,0,0,1,0,4,42,148,1453,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-45805-6,10.42.0.211,45805,172.217.10.74,443,6,06/08/2017 09:40:52,1104,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,28079.710144927536,1811.5942028985507,1104.0,0.0,1104.0,1104.0,1104.0,1104.0,0.0,1104.0,1104.0,0,0,0,0,0,1,0,0,0,64,0,1811.5942028985507,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-45805-6,172.217.10.74,443,10.42.0.211,45805,6,06/08/2017 09:40:52,53,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37735.84905660377,53.0,0.0,53.0,53.0,53.0,53.0,0.0,53.0,53.0,0,0,0,0,0,0,0,0,0,64,0,37735.84905660377,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,426,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-33315-6,10.42.0.211,33315,172.217.3.110,443,6,06/08/2017 09:40:53,36712,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,626.4981477446066,54.47809980387884,36712.0,0.0,36712.0,36712.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.23904990193942,27.23904990193942,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-48341-6,10.42.0.211,48341,172.217.10.74,443,6,06/08/2017 09:40:56,36944,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.135989605889996,36944.0,0.0,36944.0,36944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.067994802944998,27.067994802944998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,360,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.7.228-10.42.0.211-443-40032-6,10.42.0.211,40032,172.217.7.228,443,6,06/08/2017 09:40:56,41781,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,550.4894569301836,47.868648428711616,41781.0,0.0,41781.0,41781.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,23.934324214355808,23.934324214355808,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-58651-80-6,10.42.0.211,58651,36.110.213.49,80,6,06/08/2017 09:40:57,586224,3,4,365.0,364.0,365.0,0.0,121.66666666666667,210.73284825421342,364.0,0.0,91.0,181.99999999999997,1243.5519528371408,11.940828079368979,97704.0,119136.2801181907,243606.0,14.0,342569.0,171284.5,242026.38774418793,342423.0,146.0,343343.0,114447.66666666666,198186.73850773502,343294.0,14.0,0,0,0,0,80,92,5.117497748300991,6.8233303310679885,0.0,365.0,91.125,168.730924847818,28470.125000000004,0,0,0,1,0,0,0,0,1.0,104.14285714285714,121.66666666666667,91.0,80,0,0,0,0,0,0,3,365,4,364,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-58651-80-6,10.42.0.211,58651,36.110.213.49,80,6,06/08/2017 09:40:57,10479,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,190.857906288768,10479.0,0.0,10479.0,10479.0,10479.0,10479.0,0.0,10479.0,10479.0,0,0,0,0,0,0,0,0,0,40,0,190.857906288768,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1386,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-55731-6,10.42.0.211,55731,172.217.10.74,443,6,06/08/2017 09:40:58,391593,10,10,1432.0,4603.0,1080.0,0.0,143.2,338.01538426527276,1418.0,0.0,460.3,566.5949072211017,15411.409294854606,51.07343593986614,20610.157894736843,27846.550574858076,86600.0,31.0,391593.0,43510.333333333336,35825.93738131635,101713.0,1242.0,280296.0,31144.0,47805.9206715026,128690.0,31.0,0,0,0,0,328,328,25.53671796993307,25.53671796993307,0.0,1418.0,287.38095238095235,474.7123841012024,225351.84761904756,0,0,0,1,0,0,0,0,1.0,301.75,143.2,460.3,328,0,0,0,0,0,0,10,1432,10,4603,65535,362,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-49335-443-6,10.42.0.211,49335,36.110.213.49,443,6,06/08/2017 09:40:57,1757175,24,60,793.0,81076.0,394.0,0.0,33.04166666666667,95.27510700331307,1460.0,0.0,1351.2666666666664,363.501095359675,46591.261541963664,47.80400358530027,21170.783132530123,60403.66630793366,242813.0,4.0,1516937.0,65953.78260869565,118315.59601527854,347183.0,14.0,1516024.0,25695.322033898316,81240.18814589681,344709.0,4.0,0,0,0,0,500,1212,13.658286738657221,34.14571684664305,0.0,1460.0,963.1647058823528,679.0469134340115,461104.71064425784,0,0,0,1,0,0,0,0,2.0,974.6309523809524,33.041666666666664,1351.2666666666667,500,0,0,0,0,0,0,24,793,60,81076,65535,140,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-49335-443-6,10.42.0.211,49335,36.110.213.49,443,6,06/08/2017 09:40:59,6344,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,945.7755359394704,1268.8,1094.1127455614435,2948.0,276.0,6344.0,1268.8,1094.1127455614435,2948.0,276.0,0,0,0,0,0,0,0,0,0,120,0,945.7755359394704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,120,0,0,0,0,0,0,6,0,0,0,3422,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.10.74-10.42.0.211-443-51293-6,10.42.0.211,51293,172.217.10.74,443,6,06/08/2017 09:40:59,37083,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.93306906129494,37083.0,0.0,37083.0,37083.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.96653453064747,26.96653453064747,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-45553-6,10.42.0.211,45553,172.217.3.110,443,6,06/08/2017 09:40:59,1150,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,20000.0,1739.1304347826087,1150.0,0.0,1150.0,1150.0,1150.0,1150.0,0.0,1150.0,1150.0,0,0,0,0,0,1,0,0,0,64,0,1739.1304347826087,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2813,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-45553-6,172.217.3.110,443,10.42.0.211,45553,6,06/08/2017 09:40:59,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.192.110.245-51950-443-6,10.42.0.211,51950,104.192.110.245,443,6,06/08/2017 09:40:59,993957,13,15,1138.0,15411.0,399.0,0.0,87.53846153846155,152.87664710729769,1460.0,0.0,1027.4,638.3755947716047,16649.613615075905,28.17023271630463,36813.22222222222,123459.62475778603,638081.0,6.0,993957.0,82829.75,179823.49945388368,638081.0,109.0,253612.0,18115.14285714286,42200.21294488224,133947.0,6.0,0,0,0,0,280,312,13.079036618284292,15.091196098020337,0.0,1460.0,570.655172413793,667.481689201074,445531.8054187192,0,0,0,1,0,0,0,0,1.0,591.0357142857143,87.53846153846153,1027.4,280,0,0,0,0,0,0,13,1138,15,15411,65535,33,4,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.190.179.118-46372-443-6,10.42.0.211,46372,54.190.179.118,443,6,06/08/2017 09:41:01,123,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,252032.52032520322,16260.162601626014,123.0,0.0,123.0,123.0,123.0,123.0,0.0,123.0,123.0,0,0,0,0,0,1,0,0,0,64,0,16260.162601626014,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1595,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-49335-443-6,36.110.213.49,443,10.42.0.211,49335,6,06/08/2017 09:41:00,633798,1,2,207.0,0.0,207.0,207.0,207.0,0.0,0.0,0.0,0.0,0.0,326.6024821788646,4.733369306940066,316899.0,326814.85476948565,547992.0,85806.0,0,0,0,0,0,547992.0,547992.0,0.0,547992.0,547992.0,1,0,0,0,20,52,1.577789768980022,3.155579537960044,0.0,207.0,103.5,119.51150572225254,14283.0,0,1,0,0,1,1,0,0,2.0,138.0,207.0,0.0,20,0,0,0,0,0,0,1,207,2,0,140,4015,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.189.147.53-57604-80-6,10.42.0.211,57604,54.189.147.53,80,6,06/08/2017 09:41:01,85046,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.516685088069988,85046.0,0.0,85046.0,85046.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.758342544034994,11.758342544034994,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,243,0,32,0,0,0,0,0,0,0,0,BENIGN
209.85.232.138-10.42.0.211-443-37213-6,10.42.0.211,37213,209.85.232.138,443,6,06/08/2017 09:41:01,367,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,62670.29972752044,5449.591280653951,367.0,0.0,367.0,367.0,367.0,367.0,0.0,367.0,367.0,0,0,0,0,0,1,0,0,0,64,0,5449.591280653951,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
209.85.232.138-10.42.0.211-443-37213-6,209.85.232.138,443,10.42.0.211,37213,6,06/08/2017 09:41:01,39,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,51282.05128205128,39.0,0.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,0,0,0,0,0,0,0,0,0,64,0,51282.05128205128,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,179,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-58657-80-6,10.42.0.211,58657,36.110.213.49,80,6,06/08/2017 09:41:00,5598988,6,9,364.0,8213.0,364.0,0.0,60.666666666666664,148.60237772884614,1460.0,0.0,912.5555555555555,706.8194803326927,1531.8839761756944,2.6790555721855447,399927.7142857143,1324866.5413510338,4992685.0,7.0,606303.0,121260.6,169796.87811264375,354548.0,14.0,5356828.0,669603.5,1753611.5005166582,4998576.0,7.0,0,0,0,0,140,192,1.0716222288742179,1.6074333433113268,0.0,1460.0,536.0625,684.4100592237571,468417.1291666667,0,0,0,1,0,0,0,0,1.0,571.8,60.666666666666664,912.5555555555555,140,0,0,0,0,0,0,6,364,9,8213,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-58657-80-6,10.42.0.211,58657,36.110.213.49,80,6,06/08/2017 09:41:05,1963866,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0183994223638477,1963866.0,0.0,1963866.0,1963866.0,1963866.0,1963866.0,0.0,1963866.0,1963866.0,0,0,0,0,0,0,0,0,0,40,0,1.0183994223638477,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1643,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-58652-80-6,10.42.0.211,58652,36.110.213.49,80,6,06/08/2017 09:40:57,10447459,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38286821704684365,3482486.3333333335,5648743.1655833265,1.0005044E7,199288.0,1.0447459E7,5223729.5,6761799.811871134,1.0005044E7,442415.0,0,0,0,0,0,0,0,0,0,80,32,0.2871511627851327,0.09571705426171091,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,3,0,1,0,65535,14600,0,20,0,0,0,0,0,0,0,0,BENIGN
180.163.251.231-10.42.0.211-80-45771-6,10.42.0.211,45771,180.163.251.231,80,6,06/08/2017 09:41:07,745654,3,3,481.0,253.0,481.0,0.0,160.33333333333334,277.70547948021,253.0,0.0,84.33333333333333,146.06961810497532,984.370767138646,8.04662752429411,149130.8,170356.6629712498,332652.0,192.0,411229.0,205614.5,290511.28551658714,411037.0,192.0,413002.0,206501.0,289151.5191763654,410962.0,2040.0,0,0,0,0,80,72,4.023313762147055,4.023313762147055,0.0,481.0,104.85714285714286,190.78996180042998,36400.80952380953,0,0,0,1,0,0,0,0,1.0,122.33333333333333,160.33333333333334,84.33333333333333,80,0,0,0,0,0,0,3,481,3,253,65535,30,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-36.110.213.49-49334-443-6,10.42.0.211,49334,36.110.213.49,443,6,06/08/2017 09:40:57,10505872,7,8,399.0,4627.0,208.0,0.0,57.0,97.46965339701036,1460.0,0.0,578.375,723.6127491374691,478.3991276497562,1.4277729635388667,750419.4285714285,2550807.7442204827,9606547.0,5.0,899279.0,149879.83333333334,152126.55730991438,315643.0,339.0,1.0264796E7,1466399.4285714284,3610572.8240462923,9647681.0,5.0,0,0,0,0,160,172,0.6662940496514711,0.7614789138873955,0.0,1460.0,314.125,568.1784784144269,322826.7833333334,0,0,0,1,0,0,0,0,1.0,335.06666666666666,57.0,578.375,160,0,0,0,0,0,0,7,399,8,4627,65535,131,2,20,899279.0,0.0,899279.0,899279.0,9606547.0,0.0,9606547.0,9606547.0,BENIGN
