Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.211-13.32.234.230-41797-443-6,10.42.0.211,41797,13.32.234.230,443,6,06/08/2017 11:22:23,261,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,118773.94636015326,7662.835249042146,261.0,0.0,261.0,261.0,261.0,261.0,0.0,261.0,261.0,0,0,0,0,0,1,0,0,0,64,0,7662.835249042146,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,2727,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.24.220.202-38294-80-6,10.42.0.211,38294,52.24.220.202,80,6,06/08/2017 11:22:23,298909,5,3,186.0,441.0,186.0,0.0,37.2,83.18172876299218,441.0,0.0,147.0,254.61146871262497,2097.628375191112,26.763998407542097,42701.28571428571,51982.74028853002,121733.0,246.0,298909.0,74727.25,97565.36251961213,205676.0,246.0,207192.0,103596.0,144846.58148537713,206018.0,1174.0,0,0,0,0,168,104,16.72749900471381,10.036499402828285,0.0,441.0,69.66666666666667,152.2317312520619,23174.5,0,0,0,1,0,0,0,0,0.0,78.375,37.2,147.0,168,0,0,0,0,0,0,5,186,3,441,65535,110,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-42838-6,10.42.0.211,42838,172.217.6.202,443,6,06/08/2017 11:22:29,36700,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,844.6866485013624,81.74386920980926,18350.0,25888.593472801876,36656.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,32,64,27.247956403269754,54.49591280653951,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2333,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.211-443-35864-6,10.42.0.211,35864,172.217.12.142,443,6,06/08/2017 11:22:29,98,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,234693.8775510204,20408.163265306124,98.0,0.0,98.0,98.0,98.0,98.0,0.0,98.0,98.0,0,0,0,0,0,1,0,0,0,64,0,20408.163265306124,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2643,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.142-10.42.0.211-443-35864-6,172.217.12.142,443,10.42.0.211,35864,6,06/08/2017 11:22:29,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,648,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.211-80-48627-6,10.42.0.211,48627,208.80.154.224,80,6,06/08/2017 11:22:26,5062892,4,4,372.0,490.0,372.0,0.0,93.0,186.0,490.0,0.0,122.5,245.00000000000003,170.25842147136458,1.580124561219161,723270.2857142858,1884537.0433324568,4996902.0,44.0,65990.0,21996.666666666668,18866.148449891232,33458.0,222.0,5034136.0,1678045.3333333333,2877291.8653849373,5000399.0,44.0,0,0,0,0,136,136,0.7900622806095805,0.7900622806095805,0.0,490.0,95.77777777777779,192.32900052889696,36990.444444444445,0,0,0,1,0,0,0,0,1.0,107.75,93.0,122.5,136,0,0,0,0,0,0,4,372,4,490,65535,59,1,32,0,0,0,0,0,0,0,0,BENIGN
208.80.154.224-10.42.0.211-80-48627-6,10.42.0.211,48627,208.80.154.224,80,6,06/08/2017 11:22:31,4895504,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.4085381198748893,4895504.0,0.0,4895504.0,4895504.0,4895504.0,4895504.0,0.0,4895504.0,4895504.0,0,0,0,0,0,0,0,0,0,64,0,0.4085381198748893,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58751-443-6,10.42.0.211,58751,74.6.105.9,443,6,06/08/2017 11:22:36,454709,8,9,1347.0,5603.0,704.0,0.0,168.375,280.8100209343371,1448.0,0.0,622.5555555555555,668.7217491436761,15284.500636670926,37.386548319914496,28419.3125,53676.67027641059,199249.0,1.0,428308.0,61186.85714285714,77999.64274368735,199249.0,635.0,429688.0,53711.0,86584.67208131339,228877.0,1.0,0,0,0,0,264,296,17.59366979760682,19.792878522307674,0.0,1448.0,386.1111111111111,550.9882980383189,303588.10457516334,0,0,0,1,0,0,0,0,1.0,408.8235294117647,168.375,622.5555555555555,264,0,0,0,0,0,0,8,1347,9,5603,65535,133,3,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58751-443-6,10.42.0.211,58751,74.6.105.9,443,6,06/08/2017 11:22:36,136,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,227941.17647058822,14705.882352941177,136.0,0.0,136.0,136.0,136.0,136.0,0.0,136.0,136.0,0,0,0,0,0,1,0,0,0,64,0,14705.882352941177,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-42920-6,10.42.0.211,42920,172.217.6.202,443,6,06/08/2017 11:22:36,36866,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.25052894265718,36866.0,0.0,36866.0,36866.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.12526447132859,27.12526447132859,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2080,199,0,32,0,0,0,0,0,0,0,0,BENIGN
