Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.15-10.42.0.211-443-46254-6,157.240.18.15,443,10.42.0.211,46254,6,06/08/2017 01:24:38,54,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,777777.7777777778,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,1,0,0,0,64,0,37037.03703703704,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,114,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-46254-6,157.240.18.15,443,10.42.0.211,46254,6,06/08/2017 01:24:39,113902,2,2,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0.0,0.0,0.0,0.0,368.7380379624589,35.11790837737704,37967.333333333336,45290.113383975244,88126.0,71.0,113902.0,113902.0,0.0,113902.0,113902.0,71.0,71.0,0.0,71.0,71.0,0,0,0,0,64,76,17.55895418868852,17.55895418868852,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,1.0,10.5,21.0,0.0,64,0,0,0,0,0,0,2,42,2,0,114,1386,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-46255-6,157.240.18.15,443,10.42.0.211,46255,6,06/08/2017 01:24:42,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,235,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-46255-6,157.240.18.15,443,10.42.0.211,46255,6,06/08/2017 01:24:42,98202,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,427.6898637502291,20.366183988106147,98202.0,0.0,98202.0,98202.0,98202.0,98202.0,0.0,98202.0,98202.0,0,0,0,0,0,0,0,0,0,64,0,20.366183988106147,0.0,0.0,42.0,14.0,24.24871130596428,588.0,0,0,0,0,1,1,0,0,0.0,21.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,235,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.15-10.42.0.211-443-46255-6,10.42.0.211,46255,157.240.18.15,443,6,06/08/2017 01:24:42,310,4,0,42.0,0.0,42.0,0.0,10.5,21.0,0,0,0,0,135483.87096774194,12903.225806451614,103.33333333333333,14.153915830374762,112.0,87.0,310.0,103.33333333333333,14.153915830374762,112.0,87.0,0,0,0,0,0,0,0,0,0,140,0,12903.225806451614,0.0,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,0,0,0,0.0,10.5,10.5,0.0,140,0,0,0,0,0,0,4,42,0,0,2232,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-49230-6,157.240.18.36,443,10.42.0.211,49230,6,06/08/2017 01:24:43,43,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,976744.1860465116,46511.62790697674,43.0,0.0,43.0,43.0,43.0,43.0,0.0,43.0,43.0,0,0,0,0,0,1,0,0,0,64,0,46511.62790697674,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,120,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-49230-6,10.42.0.211,49230,157.240.18.36,443,6,06/08/2017 01:24:43,2193,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,19151.846785225716,1367.9890560875513,1096.5,1083.9946955589774,1863.0,330.0,2193.0,1096.5,1083.9946955589774,1863.0,330.0,0,0,0,0,0,0,0,0,0,96,0,1367.9890560875513,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1431,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.42-10.42.0.211-443-51670-6,10.42.0.211,51670,172.217.10.42,443,6,06/08/2017 01:25:02,36725,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.45881552076242,36725.0,0.0,36725.0,36725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.22940776038121,27.22940776038121,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,340,0,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.211-80-43685-6,10.42.0.211,43685,202.77.129.230,80,6,06/08/2017 01:25:02,922420,9,19,392.0,23014.0,392.0,0.0,43.555555555555564,130.66666666666666,1460.0,0.0,1211.2631578947367,512.4248283195913,25374.55822727174,30.35493592940309,34163.70370370371,83042.28181188313,286614.0,5.0,675934.0,84491.75,156922.00635961982,405790.0,53.0,674994.0,37499.66666666667,88916.78472726786,293559.0,5.0,0,0,0,0,212,392,9.75694369159385,20.59799223780924,0.0,1460.0,807.103448275862,703.6901887715921,495179.881773399,0,0,0,1,0,0,0,0,2.0,835.9285714285714,43.55555555555556,1211.2631578947369,212,0,0,0,0,0,0,9,392,19,23014,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.211-80-43685-6,10.42.0.211,43685,202.77.129.230,80,6,06/08/2017 01:25:03,1802,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2219.7558268590456,600.6666666666666,131.2300778531101,690.0,450.0,1802.0,600.6666666666666,131.2300778531101,690.0,450.0,0,0,0,0,0,0,0,0,0,80,0,2219.7558268590456,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,80,0,0,0,0,0,0,4,0,0,0,1825,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.211-80-47698-6,10.42.0.211,47698,202.77.129.150,80,6,06/08/2017 01:25:05,592027,3,3,497.0,900.0,497.0,0.0,165.66666666666666,286.943083787244,900.0,0.0,300.0,519.6152422706632,2359.6896763154386,10.134672911877331,118405.4,137405.20366711006,287493.0,360.0,267510.0,133755.0,188649.018152759,267150.0,360.0,344627.0,172313.5,191328.24574667483,307603.0,37024.0,0,0,0,0,80,72,5.0673364559386656,5.0673364559386656,0.0,900.0,199.57142857142856,360.1406471287096,129701.28571428572,0,0,0,1,0,0,0,0,1.0,232.83333333333334,165.66666666666666,300.0,80,0,0,0,0,0,0,3,497,3,900,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.211-80-47698-6,10.42.0.211,47698,202.77.129.150,80,6,06/08/2017 01:25:06,171266,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,11.677741057769785,171266.0,0.0,171266.0,171266.0,171266.0,171266.0,0.0,171266.0,171266.0,0,0,0,0,0,0,0,0,0,40,0,11.677741057769785,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1397,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.211-80-43686-6,10.42.0.211,43686,202.77.129.230,80,6,06/08/2017 01:25:03,4223148,3,4,797.0,1964.0,797.0,0.0,265.6666666666667,460.14816454413176,1460.0,0.0,491.0,688.3051648796484,653.7777032677992,1.657531301294674,703858.0,1446637.401422485,3645620.0,35.0,3896368.0,1948184.0,2400537.012460337,3645620.0,250748.0,3975063.0,1325021.0,2261072.0727228047,3935784.0,35.0,0,0,0,0,80,92,0.7103705576977174,0.9471607435969566,0.0,1460.0,345.125,543.5248548660336,295419.2678571429,0,0,0,1,0,0,0,0,1.0,394.42857142857144,265.6666666666667,491.0,80,0,0,0,0,0,0,3,797,4,1964,65535,127,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.211-80-43686-6,10.42.0.211,43686,202.77.129.230,80,6,06/08/2017 01:25:07,5499,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,363.7024913620658,5499.0,0.0,5499.0,5499.0,5499.0,5499.0,0.0,5499.0,5499.0,0,0,0,0,0,0,0,0,0,40,0,363.7024913620658,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1415,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.211-80-38655-6,10.42.0.211,38655,202.77.129.185,80,6,06/08/2017 01:25:07,595442,4,4,1514.0,290.0,1102.0,0.0,378.5,519.9676271974374,290.0,0.0,72.5,145.0,3029.6821520819826,13.435397570208348,85063.14285714286,114328.22915102605,248184.0,391.0,270331.0,90110.33333333334,144970.62178363357,257360.0,391.0,347258.0,115752.66666666667,138751.57579045123,269847.0,716.0,0,0,0,0,100,92,6.717698785104174,6.717698785104174,0.0,1102.0,200.44444444444446,371.928457875675,138330.77777777775,0,0,0,1,0,0,0,0,1.0,225.5,378.5,72.5,100,0,0,0,0,0,0,4,1514,4,290,65535,140,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.185-10.42.0.211-80-38654-6,10.42.0.211,38654,202.77.129.185,80,6,06/08/2017 01:25:07,595623,4,4,1644.0,290.0,1232.0,0.0,411.0,580.7707522479647,290.0,0.0,72.5,145.0,3247.020346762969,13.431314774614144,85089.00000000001,114837.11652742478,248901.0,51.0,270818.0,90272.66666666666,145051.25370479684,257592.0,52.0,346930.0,115643.33333333333,139800.98578455494,271026.0,51.0,0,0,0,0,100,92,6.715657387307072,6.715657387307072,0.0,1232.0,214.88888888888889,411.7148419854586,169509.11111111112,0,0,0,1,0,0,0,0,1.0,241.75,411.0,72.5,100,0,0,0,0,0,0,4,1644,4,290,65535,142,2,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.211-80-47714-6,10.42.0.211,47714,202.77.129.150,80,6,06/08/2017 01:25:07,586271,3,3,429.0,1357.0,429.0,0.0,143.0,247.68326548234944,1357.0,0.0,452.3333333333333,783.4643152903221,3046.372752532532,10.234174980512426,117254.2,139716.4561664087,288078.0,249.0,250374.0,125187.0,176689.01405576975,250125.0,249.0,338187.0,169093.5,171508.04267001592,290368.0,47819.0,0,0,0,0,80,72,5.117087490256213,5.117087490256213,0.0,1357.0,255.14285714285714,511.5018502968908,261634.14285714284,0,0,0,1,0,0,0,0,1.0,297.6666666666667,143.0,452.3333333333333,80,0,0,0,0,0,0,3,429,3,1357,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
202.77.129.150-10.42.0.211-80-47714-6,10.42.0.211,47714,202.77.129.150,80,6,06/08/2017 01:25:08,1032,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1937.9844961240312,1032.0,0.0,1032.0,1032.0,1032.0,1032.0,0.0,1032.0,1032.0,0,0,0,0,0,0,0,0,0,40,0,1937.9844961240312,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,1415,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
