Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
152.195.33.38-10.42.0.211-443-46342-6,10.42.0.211,46342,152.195.33.38,443,6,07/08/2017 12:37:00,320,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,96874.99999999999,6249.999999999999,320.0,0.0,320.0,320.0,320.0,320.0,0.0,320.0,320.0,0,0,0,0,0,1,0,0,0,40,0,6249.999999999999,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,2373,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
152.195.33.38-10.42.0.211-443-46342-6,10.42.0.211,46342,152.195.33.38,443,6,07/08/2017 12:37:00,19894,1,3,31.0,31.0,31.0,31.0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,3116.5175429777823,201.06564793405047,6631.333333333334,10544.822631667796,18793.0,37.0,0,0,0,0,0,1101.0,550.5,726.1986642785843,1064.0,37.0,1,0,0,0,20,60,50.26641198351262,150.79923595053785,0.0,31.0,18.6,16.97939928266015,288.30000000000007,0,1,0,0,1,1,0,0,3.0,23.25,31.0,10.333333333333334,20,0,0,0,0,0,0,1,31,3,31,2373,292,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-41941-6,10.42.0.211,41941,172.217.6.202,443,6,07/08/2017 12:37:00,36882,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.226994197711626,36882.0,0.0,36882.0,36882.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.113497098855813,27.113497098855813,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.225-10.42.0.211-443-58893-6,10.42.0.211,58893,172.217.9.225,443,6,07/08/2017 12:37:01,36571,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6881408766509,36571.0,0.0,36571.0,36571.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.34407043832545,27.34407043832545,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,350,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.196-10.42.0.211-443-33891-6,10.42.0.211,33891,172.217.12.196,443,6,07/08/2017 12:37:01,36707,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.485520472934326,36707.0,0.0,36707.0,36707.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.242760236467163,27.242760236467163,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.202-10.42.0.211-443-41926-6,10.42.0.211,41926,172.217.6.202,443,6,07/08/2017 12:37:01,38067,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.53894449260515,38067.0,0.0,38067.0,38067.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.269472246302573,26.269472246302573,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58617-443-6,10.42.0.211,58617,74.6.105.9,443,6,07/08/2017 12:37:10,462316,8,10,1985.0,5603.0,1448.0,0.0,248.125,493.5377934580376,1448.0,0.0,560.3,660.4988098231348,16413.016205366028,38.934408499813976,27195.058823529405,77777.3058541746,326305.0,7.0,435374.0,62196.28571428571,117228.22590672478,326305.0,129.0,437123.0,48569.22222222222,116132.40275842244,355496.0,7.0,0,0,0,0,264,328,17.30418155547288,21.6302269443411,0.0,1448.0,399.36842105263156,588.4474120302904,346270.3567251463,0,0,0,1,0,0,0,0,1.0,421.55555555555554,248.125,560.3,264,0,0,0,0,0,0,8,1985,10,5603,65535,145,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-74.6.105.9-58617-443-6,10.42.0.211,58617,74.6.105.9,443,6,07/08/2017 12:37:11,100,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,310000.0,20000.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0,0,0,0,0,1,0,0,0,64,0,20000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1641,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.42-10.42.0.211-80-39427-6,10.42.0.211,39427,205.185.216.42,80,6,07/08/2017 12:37:10,1490703,29,65,1753.0,81378.0,609.0,0.0,60.44827586206896,181.1965361949947,1448.0,0.0,1251.9692307692305,444.3381654646172,55766.30623269692,63.057497033278935,16029.064516129034,108999.9615784542,980070.0,2.0,1490703.0,53239.392857142855,196082.25277207847,980070.0,4.0,1049971.0,16405.796874999996,125909.2362230018,1007438.0,2.0,0,0,0,0,936,2088,19.453908659203076,43.60358837407586,0.0,1448.0,875.0631578947367,674.7661030616351,455309.2938409853,0,0,0,1,0,0,0,0,2.0,884.3723404255319,60.44827586206897,1251.9692307692308,936,0,0,0,0,0,0,29,1753,65,81378,65535,30,3,32,0,0,0,0,0,0,0,0,BENIGN
205.185.216.42-10.42.0.211-80-39427-6,205.185.216.42,80,10.42.0.211,39427,6,07/08/2017 12:37:12,20410,4,2,667.0,0.0,346.0,0.0,166.75,192.81662272739868,0.0,0.0,0.0,0.0,32680.058794708475,293.97354238118567,4082.0,7109.418400966425,16662.0,66.0,20410.0,6803.333333333333,10948.307692668,19436.0,66.0,124.0,124.0,0.0,124.0,124.0,0,0,0,0,128,40,195.98236158745712,97.99118079372856,0.0,346.0,95.28571428571429,162.89128714750655,26533.57142857143,0,0,0,0,1,0,0,0,0.0,111.16666666666667,166.75,0.0,128,0,0,0,0,0,0,4,667,2,0,29,0,2,32,0,0,0,0,0,0,0,0,BENIGN
