Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.6-10.42.0.211-443-40718-6,10.42.0.211,40718,172.217.11.6,443,6,07/08/2017 05:56:58,36614,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6239143497023,36614.0,0.0,36614.0,36614.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.31195717485115,27.31195717485115,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-58116-6,10.42.0.211,58116,172.217.3.106,443,6,07/08/2017 05:57:02,467690,11,11,1349.0,4637.0,997.0,0.0,122.63636363636364,299.2531612956738,1418.0,0.0,421.54545454545456,552.0772343859803,12799.076311231798,47.03970578802198,22270.95238095238,37692.02963820891,153323.0,11.0,467690.0,46769.0,50234.51150797074,153323.0,592.0,271199.0,27119.899999999998,40588.17421764894,114504.0,11.0,0,0,0,0,360,360,23.51985289401099,23.51985289401099,0.0,1418.0,260.2608695652174,452.55027017511884,204801.74703557306,0,0,0,1,0,0,0,0,1.0,272.09090909090907,122.63636363636364,421.54545454545456,360,0,0,0,0,0,0,11,1349,11,4637,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.211-443-53138-6,10.42.0.211,53138,172.217.11.14,443,6,07/08/2017 05:57:02,36758,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,625.714130257359,54.409924370205125,36758.0,0.0,36758.0,36758.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.204962185102563,27.204962185102563,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1520,217,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.98-10.42.0.211-443-44134-6,10.42.0.211,44134,172.217.10.98,443,6,07/08/2017 05:57:04,296,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,77702.7027027027,6756.756756756757,296.0,0.0,296.0,296.0,296.0,296.0,0.0,296.0,296.0,0,0,0,0,0,1,0,0,0,64,0,6756.756756756757,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.132-10.42.0.211-443-35436-6,10.42.0.211,35436,172.217.12.132,443,6,07/08/2017 05:57:05,37203,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,618.2297126575813,53.759105448485336,37203.0,0.0,37203.0,37203.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,26.879552724242668,26.879552724242668,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.98-10.42.0.211-443-55178-6,10.42.0.211,55178,172.217.10.98,443,6,07/08/2017 05:57:06,412,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,55825.24271844661,4854.368932038835,412.0,0.0,412.0,412.0,412.0,412.0,0.0,412.0,412.0,0,0,0,0,0,1,0,0,0,64,0,4854.368932038835,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1549,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-48126-6,10.42.0.211,48126,172.217.3.106,443,6,07/08/2017 05:57:07,36116,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.37711817477018,36116.0,0.0,36116.0,36116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.68855908738509,27.68855908738509,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,180,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.225-10.42.0.211-443-40763-6,10.42.0.211,40763,172.217.6.225,443,6,07/08/2017 05:57:07,36751,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.42028788332291,36751.0,0.0,36751.0,36751.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.210143941661453,27.210143941661453,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-48120-6,10.42.0.211,48120,172.217.3.106,443,6,07/08/2017 05:57:07,36811,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.331585667327694,36811.0,0.0,36811.0,36811.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.165792833663847,27.165792833663847,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.132-10.42.0.211-443-36940-6,10.42.0.211,36940,172.217.12.132,443,6,07/08/2017 05:57:07,37409,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.463070384132166,37409.0,0.0,37409.0,37409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.731535192066083,26.731535192066083,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,BENIGN
