Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.11.1-10.42.0.211-443-56705-6,10.42.0.211,56705,172.217.11.1,443,6,07/08/2017 07:18:36,36758,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.409924370205125,36758.0,0.0,36758.0,36758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.204962185102563,27.204962185102563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.4-10.42.0.211-443-42580-6,10.42.0.211,42580,172.217.10.4,443,6,07/08/2017 07:18:36,36453,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.86516884755713,36453.0,0.0,36453.0,36453.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.432584423778565,27.432584423778565,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-37768-6,10.42.0.211,37768,172.217.11.10,443,6,07/08/2017 07:18:36,36912,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1829215431296,36912.0,0.0,36912.0,36912.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.0914607715648,27.0914607715648,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-59273-6,10.42.0.211,59273,172.217.6.206,443,6,07/08/2017 07:18:40,36473,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.83508348641461,36473.0,0.0,36473.0,36473.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.417541743207305,27.417541743207305,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.211-443-58355-6,10.42.0.211,58355,172.217.6.206,443,6,07/08/2017 07:18:40,36758,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.409924370205125,36758.0,0.0,36758.0,36758.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.204962185102563,27.204962185102563,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,181,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.94.1-38307-443-6,10.42.0.211,38307,106.11.94.1,443,6,07/08/2017 07:18:43,5805747,7,9,1178.0,3809.0,840.0,0.0,168.28571428571428,307.72808033809883,1452.0,0.0,423.2222222222222,612.602803164044,858.9764590155237,2.7558899828049688,387049.8,1222041.957674192,4788244.0,6.0,1017457.0,169576.16666666666,187854.07567089587,468366.0,6318.0,5569335.0,696166.875,1743478.5010871172,5000061.0,6.0,0,0,0,0,160,200,1.2057018674771738,1.550188115327795,0.0,1452.0,293.3529411764706,494.8345608858165,244861.24264705883,0,0,0,1,0,0,0,0,1.0,311.6875,168.28571428571428,423.22222222222223,160,0,0,0,0,0,0,7,1178,9,3809,65535,16800,3,20,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-34679-6,10.42.0.211,34679,172.217.11.10,443,6,07/08/2017 07:18:49,36767,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.39660565180733,36767.0,0.0,36767.0,36767.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.198302825903664,27.198302825903664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2949,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-34381-6,10.42.0.211,34381,172.217.11.10,443,6,07/08/2017 07:18:53,36713,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.47661591261951,36713.0,0.0,36713.0,36713.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.238307956309754,27.238307956309754,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.211-443-48642-6,10.42.0.211,48642,172.217.11.10,443,6,07/08/2017 07:18:55,36808,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,842.2082156053032,81.50402086502935,18404.0,25953.64729667104,36756.0,52.0,0,0,0,0,0,52.0,52.0,0.0,52.0,52.0,1,0,0,0,32,64,27.16800695500978,54.33601391001956,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,2335,213,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-60918-6,10.42.0.211,60918,198.11.136.24,443,6,07/08/2017 07:18:45,10505341,16,13,4190.0,5237.0,808.0,0.0,261.87500000000006,359.5914116512425,1452.0,0.0,402.8461538461538,498.3266743402106,897.3530702144748,2.7605005872727024,375190.74999999994,1040167.1330784485,4991492.0,8.0,5513798.0,367586.53333333327,666894.4198510057,2201212.0,374.0,1.0417285E7,868107.0833333333,1509872.2750761798,4999461.0,8.0,0,0,0,0,340,280,1.5230348067711463,1.2374657805015563,0.0,1452.0,314.2333333333333,421.9914759176143,178076.80574712646,0,0,0,1,0,0,0,0,0.0,325.0689655172414,261.875,402.84615384615387,340,0,0,0,0,0,0,16,4190,13,5237,65535,22624,7,20,0,0,0,0,0,0,0,0,BENIGN
