Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.9.234-10.42.0.211-443-59383-6,10.42.0.211,59383,172.217.9.234,443,6,07/08/2017 10:21:00,641841,10,10,1399.0,4537.0,1047.0,0.0,139.9,327.86191198938207,1418.0,0.0,453.7,570.8500581491509,9248.396409702715,31.160365261801598,33781.10526315789,50211.50836311748,199191.0,20.0,641841.0,71315.66666666667,75015.29942285107,236044.0,70.0,529756.0,58861.77777777778,84612.03345827616,239844.0,20.0,0,0,0,0,328,328,15.580182630900799,15.580182630900799,0.0,1418.0,282.66666666666663,473.1023497440414,223825.8333333333,0,0,0,1,0,0,0,0,1.0,296.8,139.9,453.7,328,0,0,0,0,0,0,10,1399,10,4537,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.234-10.42.0.211-443-44307-6,10.42.0.211,44307,172.217.9.234,443,6,07/08/2017 10:21:01,37341,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,830.1866580969979,80.34064433196754,18670.5,25674.340118102355,36825.0,516.0,0,0,0,0,0,516.0,516.0,0.0,516.0,516.0,1,0,0,0,32,64,26.780214777322513,53.560429554645026,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,1637,309,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-33197-6,10.42.0.211,33197,172.217.6.238,443,6,07/08/2017 10:21:05,276,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,112318.84057971014,7246.376811594203,276.0,0.0,276.0,276.0,276.0,276.0,0.0,276.0,276.0,0,0,0,0,0,1,0,0,0,64,0,7246.376811594203,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1683,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.238-10.42.0.211-443-33197-6,172.217.6.238,443,10.42.0.211,33197,6,07/08/2017 10:21:05,45,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,44444.444444444445,45.0,0.0,45.0,45.0,45.0,45.0,0.0,45.0,45.0,0,0,0,0,0,0,0,0,0,64,0,44444.444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-47252-443-6,10.42.0.211,47252,65.52.108.74,443,6,07/08/2017 10:21:05,50109,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.86948452373825,25054.5,35375.845155981784,50069.0,40.0,0,0,0,0,0,40.0,40.0,0.0,40.0,40.0,0,0,0,0,32,64,19.956494841246084,39.91298968249217,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.189.71-49679-443-6,10.42.0.211,49679,52.179.189.71,443,6,07/08/2017 10:21:05,51049,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.17804462379283,51049.0,0.0,51049.0,51049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.589022311896414,19.589022311896414,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.28.54-42490-443-6,10.42.0.211,42490,104.208.28.54,443,6,07/08/2017 10:21:05,51584,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77171215880893,51584.0,0.0,51584.0,51584.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.385856079404466,19.385856079404466,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,513,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-23.101.116.26-32985-443-6,10.42.0.211,32985,23.101.116.26,443,6,07/08/2017 10:21:05,52386,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.17813919749551,52386.0,0.0,52386.0,52386.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.089069598747756,19.089069598747756,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2048,1025,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-60833-443-6,10.42.0.211,60833,52.179.184.189,443,6,07/08/2017 10:21:05,54227,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.88199605362642,54227.0,0.0,54227.0,54227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18.44099802681321,18.44099802681321,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.217.43-54749-12350-6,10.42.0.211,54749,91.190.217.43,12350,6,07/08/2017 10:21:05,119895,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.681262771591808,119895.0,0.0,119895.0,119895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,8.340631385795904,8.340631385795904,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
