Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.10.78-10.42.0.42-443-56252-6,10.42.0.42,56252,172.217.10.78,443,6,07/08/2017 05:29:54,218313,6,8,1341.0,1712.0,773.0,0.0,223.5,336.95860279862274,1418.0,0.0,214.0,491.0056735197379,13984.508480942499,64.12810964074517,16793.30769230769,23437.8061309238,76066.0,9.0,159572.0,31914.4,32006.288503979962,78484.0,753.0,182076.0,26010.857142857145,29643.34172248788,79536.0,9.0,0,0,0,0,200,264,27.483475560319356,36.64463408042581,0.0,1418.0,203.53333333333333,405.322246872194,164286.1238095238,0,0,0,1,0,0,0,0,1.0,218.07142857142858,223.5,214.0,200,0,0,0,0,0,0,6,1341,8,1712,65535,176,3,32,0,0,0,0,0,0,0,0,BENIGN
206.126.112.142-10.42.0.42-443-48125-6,10.42.0.42,48125,206.126.112.142,443,6,07/08/2017 05:29:54,562449,194,957,1016.0,1371904.0,627.0,0.0,5.237113402061849,48.7389733927139,1448.0,0.0,1433.5464994775348,127.5323208716817,2440967.9810969527,2046.4077631927519,489.0860869565215,3694.151123647934,101930.0,2.0,562449.0,2914.243523316064,12641.862013752663,164204.0,2.0,524416.0,548.5523012552302,4324.483330018426,101930.0,2.0,0,0,0,0,6216,30632,344.92016165021187,1701.48760154254,0.0,1448.0,1191.7708333333326,548.6693559147399,301038.0621198955,0,0,0,1,0,0,0,0,4.0,1192.806255430061,5.237113402061856,1433.5464994775339,6216,0,0,0,0,0,0,194,1016,957,1371904,65535,123,4,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.143-51666-443-6,10.42.0.42,51666,23.194.141.143,443,6,07/08/2017 05:29:56,23672,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,1309.5640419060494,126.73200405542414,11836.0,16700.44795806388,23645.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,32,64,42.244001351808045,84.48800270361609,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,1641,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.107.3.128-34123-443-6,10.42.0.42,34123,13.107.3.128,443,6,07/08/2017 05:29:56,35738,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9442610106889,17869.0,25232.398379860762,35711.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,32,64,27.981420336896303,55.962840673792606,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1550,1028,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.194.141.191-38455-443-6,10.42.0.42,38455,23.194.141.191,443,6,07/08/2017 05:29:56,36885,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,840.4500474447607,81.3338755591704,18442.5,26046.27828500648,36860.0,25.0,0,0,0,0,0,25.0,25.0,0.0,25.0,25.0,0,0,0,0,32,64,27.111291853056798,54.222583706113596,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,1,0,0,2.0,10.333333333333334,0.0,15.5,32,0,0,0,0,0,0,1,0,2,31,2093,972,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-65.52.108.74-52815-443-6,10.42.0.42,52815,65.52.108.74,443,6,07/08/2017 05:29:56,49856,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.17329910141207,24928.0,35215.33191665244,49829.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,32,64,20.057766367137358,40.115532734274716,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1641,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-52.177.171.143-55364-443-6,10.42.0.42,55364,52.177.171.143,443,6,07/08/2017 05:29:56,50052,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.958443219052185,50052.0,0.0,50052.0,50052.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,19.979221609526093,19.979221609526093,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1686,511,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-48005-6,10.42.0.42,48005,157.56.52.23,40033,6,07/08/2017 05:29:56,84521,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.662758367742928,84521.0,0.0,84521.0,84521.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.831379183871464,11.831379183871464,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1425,35,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-13.88.145.72-60590-443-6,10.42.0.42,60590,13.88.145.72,443,6,07/08/2017 05:29:56,86310,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.172285946008575,86310.0,0.0,86310.0,86310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,11.586142973004288,11.586142973004288,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,512,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-91.190.219.39-59047-12350-6,10.42.0.42,59047,91.190.219.39,12350,6,07/08/2017 05:29:56,98080,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.391517128874387,98080.0,0.0,98080.0,98080.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.195758564437194,10.195758564437194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
