Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-23.23.165.17-36317-80-6,10.42.0.42,36317,23.23.165.17,80,6,07/08/2017 05:53:25,231410,3,4,140.0,413.0,140.0,0.0,46.666666666666664,80.82903768654761,413.0,0.0,103.25,206.49999999999997,2389.697938723478,30.24934099649972,38568.33333333333,49917.58832181966,127213.0,24.0,178757.0,89378.5,125722.87858818697,178278.0,479.0,180345.0,60115.0,102599.87678842504,178583.0,24.0,0,0,0,0,104,136,12.964003284214165,17.285337712285553,0.0,413.0,69.125,147.32998676440585,21706.125,0,0,0,1,0,0,0,0,1.0,79.0,46.666666666666664,103.25,104,0,0,0,0,0,0,3,140,4,413,65535,61,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-49955-6,10.42.0.42,49955,172.217.11.14,443,6,07/08/2017 05:53:26,212,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,108490.56603773584,9433.962264150943,212.0,0.0,212.0,212.0,212.0,212.0,0.0,212.0,212.0,0,0,0,0,0,1,0,0,0,64,0,9433.962264150943,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1453,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-49955-6,172.217.11.14,443,10.42.0.42,49955,6,07/08/2017 05:53:26,207,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,9661.835748792271,207.0,0.0,207.0,207.0,207.0,207.0,0.0,207.0,207.0,0,0,0,0,0,0,0,0,0,64,0,9661.835748792271,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,213,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-23.23.165.17-36317-80-6,10.42.0.42,36317,23.23.165.17,80,6,07/08/2017 05:53:26,1202849,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.4940786416250087,601424.5,805419.3725088192,1170942.0,31907.0,1202849.0,601424.5,805419.3725088192,1170942.0,31907.0,0,0,0,0,0,0,0,0,0,96,0,2.4940786416250087,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,96,0,0,0,0,0,0,3,0,0,0,1386,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-46705-6,10.42.0.42,46705,172.217.11.14,443,6,07/08/2017 05:53:33,36546,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,629.3438406391944,54.725551359929945,36546.0,0.0,36546.0,36546.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.362775679964972,27.362775679964972,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-74.6.105.9-41697-80-6,10.42.0.42,41697,74.6.105.9,80,6,07/08/2017 05:53:35,66267,4,5,552.0,149.0,365.0,0.0,138.0,175.13613752354672,149.0,0.0,29.8,66.63482572949373,10578.417613593492,135.81420616596495,8283.375,10205.928598298708,24976.0,24.0,32522.0,10840.666666666668,14429.253249331141,27454.0,1438.0,41291.0,10322.75,14370.174236359604,31131.0,24.0,0,0,0,0,136,168,60.36186940709553,75.45233675886942,0.0,365.0,70.1,125.27964275527324,15694.988888888889,0,0,0,1,0,0,0,0,1.0,77.88888888888889,138.0,29.8,136,0,0,0,0,0,0,4,552,5,149,65535,130,2,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-43941-443-6,31.13.80.37,443,10.42.0.42,43941,6,07/08/2017 05:53:39,27,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1555555.5555555555,74074.07407407407,27.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,0,1,0,0,0,64,0,74074.07407407407,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,135,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.42-31.13.80.37-43941-443-6,10.42.0.42,43941,31.13.80.37,443,6,07/08/2017 05:53:39,2368,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,17736.486486486487,1266.8918918918919,1184.0,1038.0327547818517,1918.0,450.0,2368.0,1184.0,1038.0327547818517,1918.0,450.0,0,0,0,0,0,0,0,0,0,96,0,1266.8918918918919,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1678,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.46-10.42.0.42-443-42545-6,10.42.0.42,42545,172.217.11.46,443,6,07/08/2017 05:53:30,10092245,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39634392545959796,3364081.6666666665,5791658.827495395,1.0051687E7,4057.0,40558.0,40558.0,0.0,40558.0,40558.0,1.0055744E7,1.0055744E7,0.0,1.0055744E7,1.0055744E7,0,0,0,0,72,72,0.19817196272979898,0.19817196272979898,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,72,0,0,0,0,0,0,2,0,2,0,65535,166,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-47594-6,10.42.0.42,47594,172.217.3.106,443,6,07/08/2017 05:53:41,36646,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.57621568520439,36646.0,0.0,36646.0,36646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.288107842602194,27.288107842602194,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.14-10.42.0.42-443-42715-6,10.42.0.42,42715,172.217.11.14,443,6,07/08/2017 05:53:43,36650,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.5579809004092,54.57025920873124,36650.0,0.0,36650.0,36650.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.28512960436562,27.28512960436562,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,249,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.42-443-33231-6,10.42.0.42,33231,172.217.3.106,443,6,07/08/2017 05:53:45,64,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,484375.0,31250.0,64.0,0.0,64.0,64.0,64.0,64.0,0.0,64.0,64.0,0,0,0,0,0,1,0,0,0,64,0,31250.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1421,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
