Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
10.42.0.42-91.190.219.146-42316-443-6,10.42.0.42,42316,91.190.219.146,443,6,07/08/2017 08:30:48,14098,2,0,85.0,0.0,85.0,0.0,42.5,60.10407640085654,0,0,0,0,6029.224003404738,141.86409419775856,14098.0,0.0,14098.0,14098.0,14098.0,14098.0,0.0,14098.0,14098.0,0,0,0,0,0,1,0,0,0,40,0,141.86409419775856,0.0,0.0,85.0,56.66666666666667,49.074772881118186,2408.333333333333,0,1,0,0,1,0,0,0,0.0,85.0,42.5,0.0,40,0,0,0,0,0,0,2,85,0,0,65535,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-50239-6,10.42.0.42,50239,172.217.11.10,443,6,07/08/2017 08:30:49,36911,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.18438947739156,36911.0,0.0,36911.0,36911.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.09219473869578,27.09219473869578,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1726,228,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-51704-6,10.42.0.42,51704,172.217.10.238,443,6,07/08/2017 08:30:49,36755,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.41436539246361,36755.0,0.0,36755.0,36755.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.207182696231804,27.207182696231804,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1727,213,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-52032-6,10.42.0.42,52032,172.217.10.238,443,6,07/08/2017 08:30:49,36733,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.446955054038604,36733.0,0.0,36733.0,36733.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.223477527019302,27.223477527019302,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1441,202,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.6.206-10.42.0.42-443-60163-6,10.42.0.42,60163,172.217.6.206,443,6,07/08/2017 08:30:50,36640,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.58515283842795,36640.0,0.0,36640.0,36640.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.292576419213976,27.292576419213976,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-40651-6,10.42.0.42,40651,172.217.11.10,443,6,07/08/2017 08:30:50,36790,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.36259853220984,36790.0,0.0,36790.0,36790.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.18129926610492,27.18129926610492,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1637,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.10-10.42.0.42-443-50179-6,10.42.0.42,50179,172.217.11.10,443,6,07/08/2017 08:30:50,36561,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70309893055441,36561.0,0.0,36561.0,36561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.351549465277206,27.351549465277206,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1868,373,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-52951-6,10.42.0.42,52951,172.217.10.238,443,6,07/08/2017 08:30:50,36635,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.592602702333835,36635.0,0.0,36635.0,36635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.296301351166917,27.296301351166917,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,192,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.204.139-10.42.0.42-443-53332-6,10.42.0.42,53332,173.194.204.139,443,6,07/08/2017 08:30:50,49024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.79634464751958,49024.0,0.0,49024.0,49024.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.39817232375979,20.39817232375979,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1638,179,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.238-10.42.0.42-443-33222-6,10.42.0.42,33222,172.217.10.238,443,6,07/08/2017 08:30:56,36675,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.1301976823449,54.53306066803,36675.0,0.0,36675.0,36675.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.266530334015,27.266530334015,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,196,0,32,0,0,0,0,0,0,0,0,BENIGN
157.56.52.23-10.42.0.42-40033-42828-6,10.42.0.42,42828,157.56.52.23,40033,6,07/08/2017 08:30:51,14523129,4,3,14.0,22.0,14.0,0.0,3.4999999999999996,7.0,19.0,0.0,7.333333333333333,10.214368964029708,2.478804670811641,0.48198979710226353,2420521.5,5528310.866654471,1.3700164E7,14536.0,1.4523129E7,4841043.0,7678594.0054720305,1.3700164E7,98773.0,681994.0,340997.0,201601.8001705342,483551.0,198443.0,1,0,0,0,128,96,0.27542274120129345,0.20656705590097008,0.0,19.0,6.25,8.013381665332416,64.21428571428571,0,1,0,0,1,0,0,0,0.0,7.142857142857143,3.5,7.333333333333333,128,0,0,0,0,0,0,4,14,3,22,1417,33,0,32,0,0,0,0,0,0,0,0,BENIGN
