Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-47168-6,157.240.18.36,443,10.42.0.211,47168,6,08/08/2017 01:24:32,55,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,763636.3636363636,36363.63636363636,55.0,0.0,55.0,55.0,55.0,55.0,0.0,55.0,55.0,0,0,0,0,0,1,0,0,0,64,0,36363.63636363636,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,149,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47168-6,157.240.18.36,443,10.42.0.211,47168,6,08/08/2017 01:24:32,12607,1,3,0.0,42.0,0.0,0.0,0.0,0.0,42.0,0.0,14.0,24.24871130596428,3331.482509716824,317.28404854445944,4202.333333333334,7206.8351121233045,12524.0,12.0,0,0,0,0,0,83.0,41.5,41.71930009000631,71.0,12.0,0,0,0,0,32,96,79.32101213611486,237.96303640834458,0.0,42.0,8.4,18.782971010998235,352.8,0,0,0,0,1,1,0,0,3.0,10.5,0.0,14.0,32,0,0,0,0,0,0,1,0,3,42,149,1453,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-47168-6,10.42.0.211,47168,157.240.18.36,443,6,08/08/2017 01:24:32,241587,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,173.85041413652226,12.417886724037304,120793.5,170815.0780244531,241578.0,9.0,241587.0,120793.5,170815.0780244531,241578.0,9.0,0,0,0,0,0,0,0,0,0,108,0,12.417886724037304,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,108,0,0,0,0,0,0,3,42,0,0,1453,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.33-10.42.0.211-443-33499-6,10.42.0.211,33499,172.217.10.33,443,6,08/08/2017 01:24:41,36273,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.13743004438563,36273.0,0.0,36273.0,36273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.568715022192816,27.568715022192816,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-40749-6,10.42.0.211,40749,172.217.3.106,443,6,08/08/2017 01:24:41,36821,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.31683006979713,36821.0,0.0,36821.0,36821.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.158415034898564,27.158415034898564,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1814,183,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.36-10.42.0.211-443-34317-6,10.42.0.211,34317,172.217.11.36,443,6,08/08/2017 01:24:41,36944,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.135989605889996,36944.0,0.0,36944.0,36944.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.067994802944998,27.067994802944998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1593,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-34701-6,10.42.0.211,34701,172.217.3.106,443,6,08/08/2017 01:24:55,912,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,33991.228070175435,2192.9824561403507,912.0,0.0,912.0,912.0,912.0,912.0,0.0,912.0,912.0,0,0,0,0,0,1,0,0,0,64,0,2192.9824561403507,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1949,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-34701-6,172.217.3.106,443,10.42.0.211,34701,6,08/08/2017 01:24:55,58,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34482.75862068965,58.0,0.0,58.0,58.0,58.0,58.0,0.0,58.0,58.0,0,0,0,0,0,0,0,0,0,64,0,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,213,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-36227-6,10.42.0.211,36227,172.217.3.106,443,6,08/08/2017 01:24:56,37162,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8184166621818,37162.0,0.0,37162.0,37162.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,26.9092083310909,26.9092083310909,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-36227-6,10.42.0.211,36227,172.217.3.106,443,6,08/08/2017 01:24:56,16595,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.7773425730642,8297.5,7927.374123882384,13903.0,2692.0,2692.0,2692.0,0.0,2692.0,2692.0,0,0,0,0,0,0,0,0,0,64,32,120.51822838204279,60.259114191021396,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,2089,175,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-42845-6,10.42.0.211,42845,172.217.10.110,443,6,08/08/2017 01:24:57,36719,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.467714262370976,36719.0,0.0,36719.0,36719.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.233857131185488,27.233857131185488,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1594,181,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.10.110-10.42.0.211-443-58953-6,10.42.0.211,58953,172.217.10.110,443,6,08/08/2017 01:24:57,36887,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.21964377694038,36887.0,0.0,36887.0,36887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.10982188847019,27.10982188847019,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1774,196,0,32,0,0,0,0,0,0,0,0,BENIGN
198.11.132.221-10.42.0.211-443-34532-6,10.42.0.211,34532,198.11.132.221,443,6,08/08/2017 01:24:50,7413938,9,10,1569.0,4034.0,623.0,0.0,174.33333333333334,261.0277762997647,1452.0,0.0,403.4,575.4167958001303,755.7387180739844,2.5627406109951285,411885.44444444444,1226110.3433241148,4959682.0,7.0,2454210.0,306776.25,683849.337646354,1995047.0,350.0,7325543.0,813949.2222222222,1710825.1871216106,5000020.0,7.0,0,0,0,0,200,220,1.2139297631029555,1.3488108478921728,0.0,1452.0,280.15,450.50781580929663,202957.29210526313,0,0,0,1,0,0,0,0,1.0,294.89473684210526,174.33333333333334,403.4,200,0,0,0,0,0,0,9,1569,10,4034,65535,18067,4,20,0,0,0,0,0,0,0,0,BENIGN
