Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
216.58.219.202-10.42.0.211-443-36271-6,10.42.0.211,36271,216.58.219.202,443,6,08/08/2017 01:44:27,413912,11,10,1348.0,4680.0,996.0,0.0,122.54545454545453,298.9609886377698,1418.0,0.0,467.99999999999994,562.5693043725566,14563.482092811999,50.73542202207233,20695.6,33921.96444534985,118743.0,18.0,413912.0,41391.200000000004,40713.287991350764,118743.0,93.0,293351.0,32594.555555555555,56026.65879987649,160186.0,18.0,0,0,0,0,360,328,26.575697249656933,24.15972477241539,0.0,1418.0,274.0,460.11872173955067,211709.23809523805,0,0,0,1,0,0,0,0,0.0,287.04761904761904,122.54545454545455,468.0,360,0,0,0,0,0,0,11,1348,10,4680,65535,181,3,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.211-443-50503-6,10.42.0.211,50503,172.217.12.174,443,6,08/08/2017 01:44:28,36673,1,1,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,627.1643988765577,54.536034684918064,36673.0,0.0,36673.0,36673.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,32,27.268017342459032,27.268017342459032,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,1.0,23.0,23.0,0.0,32,0,0,0,0,0,0,1,23,1,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
173.194.175.113-10.42.0.211-443-53577-6,10.42.0.211,53577,173.194.175.113,443,6,08/08/2017 01:44:30,97,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,237113.40206185568,20618.556701030928,97.0,0.0,97.0,97.0,97.0,97.0,0.0,97.0,97.0,0,0,0,0,0,1,0,0,0,64,0,20618.556701030928,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1638,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.211-443-39882-6,10.42.0.211,39882,172.217.12.174,443,6,08/08/2017 01:44:31,36921,1,2,23.0,0.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,622.9517077002248,81.25457056959453,18460.5,26044.864071444106,36877.0,44.0,0,0,0,0,0,44.0,44.0,0.0,44.0,44.0,1,0,0,0,32,64,27.084856856531513,54.169713713063025,0.0,23.0,11.5,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,2.0,15.333333333333334,23.0,0.0,32,0,0,0,0,0,0,1,23,2,0,1419,185,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.211-443-57754-6,10.42.0.211,57754,172.217.12.174,443,6,08/08/2017 01:44:31,342,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,67251.46198830409,5847.953216374269,342.0,0.0,342.0,342.0,342.0,342.0,0.0,342.0,342.0,0,0,0,0,0,1,0,0,0,64,0,5847.953216374269,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,2813,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.12.174-10.42.0.211-443-57754-6,172.217.12.174,443,10.42.0.211,57754,6,08/08/2017 01:44:31,18,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,64,0,111111.11111111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-48070-6,10.42.0.211,48070,216.58.219.202,443,6,08/08/2017 01:44:34,37003,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04967164824473,37003.0,0.0,37003.0,37003.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.024835824122366,27.024835824122366,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1903,189,0,32,0,0,0,0,0,0,0,0,BENIGN
216.58.219.202-10.42.0.211-443-57176-6,10.42.0.211,57176,216.58.219.202,443,6,08/08/2017 01:44:36,36706,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.48700484934343,36706.0,0.0,36706.0,36706.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.243502424671714,27.243502424671714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1548,170,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-56440-6,157.240.18.36,443,10.42.0.211,56440,6,08/08/2017 01:44:43,28,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,1500000.0,71428.57142857143,28.0,0.0,28.0,28.0,28.0,28.0,0.0,28.0,28.0,0,0,0,0,0,1,0,0,0,64,0,71428.57142857143,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,148,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.120-57318-443-6,10.42.0.211,57318,64.71.142.120,443,6,08/08/2017 01:44:39,5084020,62,99,2429.0,133016.0,420.0,0.0,39.177419354838705,117.38510590493608,1460.0,0.0,1343.5959595959598,353.0319092703949,26641.319270970613,31.66785339160743,31775.125000000004,280310.8398043739,3526630.0,4.0,5084020.0,83344.59016393442,451770.98302098364,3526630.0,8.0,4893770.0,49936.42857142856,367448.82231191365,3609461.0,4.0,0,0,0,0,1260,1992,12.195073976892303,19.472779414715127,0.0,1460.0,836.0802469135803,698.8298025265645,488363.0928993172,0,0,0,1,0,0,0,0,1.0,841.2732919254659,39.17741935483871,1343.5959595959596,1260,0,0,0,0,0,0,62,2429,99,133016,65535,39,7,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-49749-443-6,10.42.0.211,49749,64.71.142.124,443,6,08/08/2017 01:44:36,8007705,44,77,1518.0,102990.0,784.0,0.0,34.5,134.7082117971336,1460.0,0.0,1337.5324675324675,378.82604619283285,13050.930322732918,15.11044675097297,66730.875,574151.6609038634,6208043.0,5.0,8007705.0,186225.6976744186,956918.6572497893,6208043.0,8.0,1695065.0,22303.486842105256,126721.49734463559,1091158.0,5.0,0,0,0,0,900,1552,5.494707909444716,9.615738841528254,0.0,1460.0,856.6229508196723,703.9902601677493,495602.2864110553,0,0,0,1,0,0,0,0,1.0,863.702479338843,34.5,1337.5324675324675,900,0,0,0,0,0,0,44,1518,77,102990,65535,33,4,20,1772256.0,0.0,1772256.0,1772256.0,6208043.0,0.0,6208043.0,6208043.0,BENIGN
10.42.0.211-64.71.142.120-57318-443-6,64.71.142.120,443,10.42.0.211,57318,6,08/08/2017 01:44:44,26519,3,2,2588.0,0.0,1429.0,0.0,862.6666666666667,759.1905777427254,0.0,0.0,0.0,0.0,97590.40687808741,188.54406274746407,6629.75,9312.242851035762,20425.0,56.0,26519.0,13259.5,18672.56877079316,26463.0,56.0,3546.0,3546.0,0.0,3546.0,3546.0,1,0,0,0,60,40,113.12643764847844,75.41762509898562,0.0,1429.0,669.5,739.997499995777,547596.3,0,1,0,0,1,0,0,0,0.0,803.4,862.6666666666666,0.0,60,0,0,0,0,0,0,3,2588,2,0,42,0,1,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-64.71.142.124-49749-443-6,64.71.142.124,443,10.42.0.211,49749,6,08/08/2017 01:44:44,33,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,939393.9393939393,90909.0909090909,16.5,4.949747468305833,20.0,13.0,33.0,16.5,4.949747468305833,20.0,13.0,0,0,0,0,0,0,0,0,0,60,0,90909.0909090909,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,0,0,0,0,1,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,60,0,0,0,0,0,0,3,31,0,0,36,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
198.11.136.24-10.42.0.211-443-38713-6,10.42.0.211,38713,198.11.136.24,443,6,08/08/2017 01:44:42,5365258,9,9,813.0,3655.0,476.0,0.0,90.33333333333333,163.37533473569383,1452.0,0.0,406.1111111111111,610.0416880108368,832.7651717773871,3.354917880929491,315603.4117647059,1205805.1133385454,4993106.0,11.0,372114.0,46514.25,38497.68397764802,91839.0,374.0,5277506.0,659688.25,1754598.662787163,4999689.0,11.0,0,0,0,0,200,200,1.6774589404647455,1.6774589404647455,0.0,1452.0,235.1578947368421,453.24941173681196,205435.0292397661,0,0,0,1,0,0,0,0,1.0,248.22222222222223,90.33333333333333,406.1111111111111,200,0,0,0,0,0,0,9,813,9,3655,65535,16616,3,20,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-106.11.176.1-52772-443-6,10.42.0.211,52772,106.11.176.1,443,6,08/08/2017 01:44:42,6295363,9,10,1507.0,4133.0,723.0,0.0,167.44444444444446,257.4214011650503,1452.0,0.0,413.3,576.2366508456207,895.8975042424082,3.018094429185418,349742.3888888889,1155573.4619652063,4958425.0,6.0,1336695.0,167086.875,137675.91449429086,324707.0,14766.0,6018113.0,668679.2222222222,1631999.7364795115,4999284.0,6.0,0,0,0,0,200,220,1.4296236769825663,1.5884707522028516,0.0,1452.0,281.99999999999994,452.39665874330376,204662.73684210522,0,0,0,1,0,0,0,0,1.0,296.8421052631579,167.44444444444446,413.3,200,0,0,0,0,0,0,9,1507,10,4133,65535,18075,4,20,0,0,0,0,0,0,0,0,BENIGN
