Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
157.240.18.36-10.42.0.211-443-59505-6,157.240.18.36,443,10.42.0.211,59505,6,08/08/2017 07:32:34,57,2,0,42.0,0.0,42.0,0.0,21.0,29.698484809834994,0,0,0,0,736842.1052631579,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0,0,0,0,0,1,0,0,0,64,0,35087.71929824561,0.0,0.0,42.0,28.0,24.24871130596428,588.0,0,1,0,0,1,0,0,0,0.0,42.0,21.0,0.0,64,0,0,0,0,0,0,2,42,0,0,132,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
157.240.18.36-10.42.0.211-443-59505-6,10.42.0.211,59505,157.240.18.36,443,6,08/08/2017 07:32:34,470,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,89361.70212765958,6382.978723404255,235.0,176.7766952966369,360.0,110.0,470.0,235.0,176.7766952966369,360.0,110.0,0,0,0,0,0,0,0,0,0,96,0,6382.978723404255,0.0,0.0,42.0,10.5,21.0,441.0,0,0,0,0,1,0,0,0,0.0,14.0,14.0,0.0,96,0,0,0,0,0,0,3,42,0,0,1436,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-44837-6,10.42.0.211,44837,172.217.9.238,443,6,08/08/2017 07:32:46,158,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,145569.62025316455,12658.227848101267,158.0,0.0,158.0,158.0,158.0,158.0,0.0,158.0,158.0,0,0,0,0,0,1,0,0,0,64,0,12658.227848101267,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,0,1,0,0,1,0,0,0,0.0,23.0,11.5,0.0,64,0,0,0,0,0,0,2,23,0,0,1908,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.9.238-10.42.0.211-443-44837-6,172.217.9.238,443,10.42.0.211,44837,6,08/08/2017 07:32:46,54,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,64,0,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,324,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.11.3-10.42.0.211-443-54738-6,10.42.0.211,54738,172.217.11.3,443,6,08/08/2017 07:32:47,36430,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.899807850672524,36430.0,0.0,36430.0,36430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.449903925336262,27.449903925336262,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1775,175,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-35.163.151.130-33243-443-6,35.163.151.130,443,10.42.0.211,33243,6,08/08/2017 07:32:55,278682,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,111.23789839315062,10.764957909014576,139341.0,140797.68805630298,238900.0,39782.0,0,0,0,0,0,238900.0,238900.0,0.0,238900.0,238900.0,1,0,0,0,32,64,3.588319303004859,7.176638606009718,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,119,1455,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-35.163.151.130-33229-443-6,35.163.151.130,443,10.42.0.211,33229,6,08/08/2017 07:32:55,278393,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,111.35337454605539,10.776133020586006,139196.5,141885.92539254908,239525.0,38868.0,0,0,0,0,0,239525.0,239525.0,0.0,239525.0,239525.0,1,0,0,0,32,64,3.5920443401953355,7.184088680390671,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,128,1664,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-35.163.151.130-33230-443-6,35.163.151.130,443,10.42.0.211,33230,6,08/08/2017 07:32:55,278413,1,2,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,111.34537539554546,10.775358909246334,139206.5,141864.71218911346,239520.0,38893.0,0,0,0,0,0,239520.0,239520.0,0.0,239520.0,239520.0,1,0,0,0,32,64,3.5917863030821113,7.183572606164223,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,2.0,20.666666666666668,31.0,0.0,32,0,0,0,0,0,0,1,31,2,0,124,1489,0,32,0,0,0,0,0,0,0,0,BENIGN
192.229.173.173-10.42.0.211-80-32960-6,10.42.0.211,32960,192.229.173.173,80,6,08/08/2017 07:32:55,1648578,30,45,936.0,59967.0,549.0,0.0,31.200000000000006,120.62578211288343,1448.0,0.0,1332.6000000000004,380.88869765326456,36942.74702197894,45.493752797865795,22278.081081081084,113935.83621840784,876712.0,6.0,1648578.0,56847.517241379304,189454.951639588,876712.0,8.0,1496133.0,34003.02272727273,150671.61945297086,909296.0,6.0,0,0,0,0,968,1448,18.197501119146317,27.296251678719475,0.0,1448.0,801.3552631578946,711.2581098110094,505888.09877192986,0,0,0,1,0,0,0,0,1.0,812.04,31.2,1332.6,968,0,0,0,0,0,0,30,936,45,59967,65535,288,2,32,0,0,0,0,0,0,0,0,BENIGN
202.77.129.230-10.42.0.211-80-42836-6,10.42.0.211,42836,202.77.129.230,80,6,08/08/2017 07:32:55,1154418,9,20,392.0,24070.0,392.0,0.0,43.555555555555564,130.66666666666666,1460.0,0.0,1203.4999999999998,534.4966643586528,21189.898286409258,25.120883423508644,41229.21428571427,93274.2976984419,319468.0,6.0,1149178.0,143647.25,200364.22721758494,461803.0,83.0,874559.0,46029.42105263157,118487.65102383537,441316.0,6.0,0,0,0,0,212,412,7.796136234881993,17.324747188626652,0.0,1460.0,815.3999999999999,709.6293641632642,503573.83448275866,0,0,0,1,0,0,0,0,2.0,843.5172413793103,43.55555555555556,1203.5,212,0,0,0,0,0,0,9,392,20,24070,65535,123,1,20,0,0,0,0,0,0,0,0,BENIGN
