Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
172.217.3.110-10.42.0.211-443-50295-6,10.42.0.211,50295,172.217.3.110,443,6,08/08/2017 12:07:03,1148,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,27003.484320557494,1742.1602787456447,1148.0,0.0,1148.0,1148.0,1148.0,1148.0,0.0,1148.0,1148.0,0,0,0,0,0,1,0,0,0,64,0,1742.1602787456447,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,1,0,0,1,0,0,0,0.0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,1420,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.110-10.42.0.211-443-50295-6,172.217.3.110,443,10.42.0.211,50295,6,08/08/2017 12:07:03,60,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,33333.333333333336,60.0,0.0,60.0,60.0,60.0,60.0,0.0,60.0,60.0,0,0,0,0,0,0,0,0,0,64,0,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,175,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.243.202.47-54153-443-6,54.243.202.47,443,10.42.0.211,54153,6,08/08/2017 12:07:05,5013330,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.18351474967736,0.5984046531945832,2506665.0,3404842.187993153,4914252.0,99078.0,5013330.0,5013330.0,0.0,5013330.0,5013330.0,0,0,0,0,0,1,0,0,0,64,32,0.3989364354630555,0.19946821773152776,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,128,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-54.235.173.224-40206-443-6,54.235.173.224,443,10.42.0.211,40206,6,08/08/2017 12:07:06,5022043,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,6.172786652762631,0.5973664502673514,2511021.5,3436767.3520569443,4941183.0,80860.0,5022043.0,5022043.0,0.0,5022043.0,5022043.0,0,0,0,0,0,1,0,0,0,64,32,0.39824430017823426,0.19912215008911713,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,1,0,0,1,0,0,0,0.0,20.666666666666668,15.5,0.0,64,0,0,0,0,0,0,2,31,1,0,127,1641,0,32,0,0,0,0,0,0,0,0,BENIGN
172.217.3.106-10.42.0.211-443-60803-6,10.42.0.211,60803,172.217.3.106,443,6,08/08/2017 12:07:22,36446,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.87570652472151,36446.0,0.0,36446.0,36446.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,27.437853262360754,27.437853262360754,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,2904,181,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.184.189-47322-443-6,10.42.0.211,47322,52.179.184.189,443,6,08/08/2017 12:07:28,49975,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.020010005002504,49975.0,0.0,49975.0,49975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.010005002501252,20.010005002501252,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1550,510,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-65.52.108.74-45524-443-6,10.42.0.211,45524,65.52.108.74,443,6,08/08/2017 12:07:28,50188,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.77524507850482,25094.0,35450.091368006375,50161.0,27.0,0,0,0,0,0,27.0,27.0,0.0,27.0,27.0,0,0,0,0,32,64,19.92508169283494,39.85016338566988,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1595,514,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-52.179.189.71-54728-443-6,10.42.0.211,54728,52.179.189.71,443,6,08/08/2017 12:07:28,49983,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0136046255727,49983.0,0.0,49983.0,49983.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20.00680231278635,20.00680231278635,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1595,1029,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-91.190.218.60-42360-12350-6,10.42.0.211,42360,91.190.218.60,12350,6,08/08/2017 12:07:28,97722,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4662205030597,97722.0,0.0,97722.0,97722.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.23311025152985,10.23311025152985,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1386,9,0,32,0,0,0,0,0,0,0,0,BENIGN
10.42.0.211-104.208.28.54-35238-443-6,10.42.0.211,35238,104.208.28.54,443,6,08/08/2017 12:07:28,173749,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26628642467007,86874.5,32104.769186212816,109576.0,64173.0,0,0,0,0,0,64173.0,64173.0,0.0,64173.0,64173.0,0,0,0,0,32,64,5.755428808223357,11.510857616446714,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,1731,513,0,32,0,0,0,0,0,0,0,0,BENIGN
